,WT-W Total Reads,WT-X Total Reads,WT-Y Total Reads,dLiaF-W Total Reads,dLiaF-X Total Reads,dLiaF-Y Total Reads,dLiaR-W Total Reads,dLiaR-Y Total Reads,dLiaR-Z Total Reads
SpyM3_1397,9008,12599,13010,7001,8138,8854,9242,17754,15738
SpyM3_1398,6805,8080,8689,5757,6702,6669,6681,11830,11278
SpyM3_1399,13660,17599,17105,12854,14424,16366,12517,23654,19340
SpyM3_1400,14848,20332,17873,14552,16381,19057,13346,22200,20368
SpyM3_1401,23550,30428,28999,24748,28343,32580,21387,36259,27998
SpyM3_1402,1541,2013,1887,1557,1918,2073,1427,2186,1880
SpyM3_1403,10864,13993,13797,12286,14167,15662,9421,17186,14156
SpyM3_1404,286,381,378,299,334,390,251,450,386
SpyM3_1405,369,490,424,392,457,472,331,534,377
SpyM3_1406,4198,5175,4824,4196,4940,5472,3530,5934,5024
SpyM3_1407,3281,4890,4644,3565,4157,4676,3186,5348,4735
SpyM3_1408,46,57,48,24,41,30,51,83,66
SpyM3_1409,10628,12021,10359,2321,3331,3304,12665,21443,14429
SpyM3_1410,1537,2137,2047,1208,1283,1311,1525,2584,1908
SpyM3_1411,52,29,48,26,40,13,6,25,78
SpyM3_1412,59,67,39,35,42,37,28,29,20
SpyM3_1413,196,267,193,123,175,187,83,163,81
SpyM3_1414,157,261,186,96,114,141,67,164,113
SpyM3_1415,388,656,437,270,346,394,227,425,234
SpyM3_1416,188,260,210,140,151,196,102,153,106
SpyM3_1417,943,1487,1031,674,777,1027,511,840,562
SpyM3_1418,679,1043,776,467,548,553,346,543,399
SpyM3_1419,1159,2170,1489,838,996,1128,678,1110,736
SpyM3_1420,405,671,413,284,312,354,224,373,222
SpyM3_1421,2451,3772,2582,1632,2112,2346,1303,2256,1440
SpyM3_1422,185,331,236,111,132,176,104,162,122
SpyM3_1423,447,723,536,304,370,443,230,366,245
SpyM3_1424,510,796,592,354,426,467,312,464,316
SpyM3_1425,164,245,193,123,113,147,83,133,99
SpyM3_1426,322,540,400,195,277,285,204,231,188
SpyM3_1427,296,561,388,239,248,315,186,330,223
SpyM3_1428,198,313,228,145,159,156,108,163,111
SpyM3_1429,833,1427,870,533,649,694,399,763,443
SpyM3_1430,756,1281,861,506,574,714,445,746,475
SpyM3_1431,99,155,102,55,72,97,46,91,52
SpyM3_1432,54,132,64,31,63,55,33,55,27
SpyM3_1433,516,806,517,346,367,451,284,476,309
SpyM3_1434,532,799,600,311,427,410,287,487,331
SpyM3_1435,475,618,419,271,317,386,239,327,266
SpyM3_1436,174,218,149,102,104,140,79,135,111
SpyM3_1437,153,337,183,115,153,129,84,158,130
SpyM3_1438,58,125,80,41,64,47,46,70,46
SpyM3_1439,74,133,101,68,69,75,55,75,52
SpyM3_1440,324,518,349,301,323,325,192,320,239
SpyM3_1441,33,36,35,32,43,29,17,37,24
SpyM3_1442,966,1630,1079,693,1052,1041,690,1091,865
SpyM3_1443,693,1174,870,631,935,819,547,945,644
SpyM3_1444,542,843,666,443,581,631,381,643,491
SpyM3_1445,975,1469,1167,796,1084,1183,802,1155,961
SpyM3_1446,249,381,264,193,220,236,209,316,231
SpyM3_1447,67,155,133,100,111,119,91,150,121
SpyM3_1448,7,11,6,4,6,4,6,24,8
SpyM3_1449,148,277,196,176,194,226,175,282,193
SpyM3_1450,8,12,9,5,9,12,6,14,7
SpyM3_1451,34,54,31,17,47,37,31,55,30
SpyM3_1452,112,145,108,92,90,129,100,114,131
SpyM3_1453,524,683,727,599,688,785,533,691,744
SpyM3_1454,184,287,281,183,222,277,221,321,313
SpyM3_1455,2659,4824,4726,3106,4425,5380,3798,6145,6029
SpyM3_1456,2559,4487,3821,2861,3695,4541,3443,4707,4346
SpyM3_1457,3283,5736,4929,3549,4883,5826,4019,6488,5564
SpyM3_1458,4336,5635,5472,7382,9446,11566,3635,6276,5058
SpyM3_1459,6683,8727,8463,8170,11067,13012,7145,11593,9778
SpyM3_1460,3922,5561,4955,3523,4533,5130,4723,8023,5463
SpyM3_1461,1009,1172,1270,862,856,1059,1417,1510,1766
SpyM3_1462,21400,31934,27625,28420,34191,37382,23476,43427,35758
SpyM3_1463,486,628,599,684,674,779,504,911,730
SpyM3_1464,665,984,980,1146,1182,1414,644,1030,930
SpyM3_1465,441,781,696,796,821,956,500,749,594
SpyM3_1466,289,303,331,218,254,232,261,565,418
SpyM3_1467,1005,973,1109,615,710,656,716,1663,1247
SpyM3_1468,845,938,1007,491,517,529,737,1411,1134
SpyM3_1469,26693,31208,32841,16753,16040,18913,21938,52168,34834
SpyM3_1470,1514,2071,2019,1736,2187,2448,1233,2378,1788
