,WT,T287A,D53E
HSISS4_00670,3453,2515,2292
HSISS4_00671,5058,2023,7196
HSISS4_00672,101009,61930,71443
HSISS4_00673,6771,3857,4601
HSISS4_00674,50514,73806,204769
HSISS4_00675,61394,38847,102720
HSISS4_00676,782,258,513
HSISS4_00677,32976,17770,117252
HSISS4_00678,45725,70530,145603
HSISS4_00679,6394,5665,8024
HSISS4_00680,39708,48750,52595
HSISS4_00681,90285,87985,44597
HSISS4_00682,11275,1250,8530
HSISS4_00683,11885,10113,11811
HSISS4_00684,9019,5487,7242
HSISS4_00685,6883,2358,5178
HSISS4_00686,62522,58528,32201
HSISS4_00687,62756,68622,27472
HSISS4_00688,26209,8729,11688
HSISS4_00689,30897,26066,13871
HSISS4_00690,8130,4156,3857
HSISS4_00691,34659,11886,16677
HSISS4_00692,40389,19536,23961
HSISS4_00693,80004,76410,29890
HSISS4_00694,23904,18433,37425
HSISS4_00695,39173,26641,75340
HSISS4_00696,2162,365,6021
HSISS4_00697,8224,12017,6137
HSISS4_00698,2272,3585,1679
HSISS4_00699,2801,5728,2399
HSISS4_00700,105742,98321,62835
HSISS4_00701,533319,638786,310474
HSISS4_00702,183618,211842,272929
HSISS4_00703,15340,13763,11042
HSISS4_00704,15378,12726,10165
HSISS4_00705,28143,19249,21445
HSISS4_00706,7900,6017,5441
HSISS4_00707,16377,14415,14130
HSISS4_00708,18251,17378,10480
HSISS4_00709,6491,4978,9953
HSISS4_00710,5477,3976,6951
HSISS4_00711,21419,13212,20693
HSISS4_00712,9951,11238,13282
HSISS4_00713,13815,14252,16181
HSISS4_00714,9973,10060,8753
HSISS4_00715,12587,14322,10870
HSISS4_00716,36624,40128,36651
HSISS4_00717,11447,7999,11298
HSISS4_00718,3245,3012,2842
HSISS4_00719,4619,3650,3299
HSISS4_00720,6082,6041,4073
HSISS4_00721,6803,6893,6068
HSISS4_00722,1991,988,1137
HSISS4_00723,20248,20787,16222
HSISS4_00724,15539,15550,11525
HSISS4_00725,31494,32558,26757
HSISS4_00726,7815,3615,7034
HSISS4_00727,17890,16941,66032
HSISS4_00728,9885,8615,4630
HSISS4_00729,5636,3607,2070
HSISS4_00730,6419,6221,2938
HSISS4_00731,6163,4245,2942
HSISS4_00732,6305,4046,4120
HSISS4_00733,1508,3110,16981
HSISS4_00734,416,865,7481
HSISS4_00735,5520,4879,569
HSISS4_00736,7220,6321,906
HSISS4_00737,5847,4673,636
HSISS4_00738,13146,11583,1671
HSISS4_00739,6084,5048,900
HSISS4_00740,6873,6326,1179
HSISS4_00741,11037,10355,1688
HSISS4_00742,10562,9903,1865
HSISS4_00743,5533,5037,1075
HSISS4_00744,6765,6121,1541
HSISS4_00745,3081,1366,2691
HSISS4_00746,646,365,1000
HSISS4_00747,598,296,1022
HSISS4_00748,1028,1398,4294
HSISS4_00749,1012,1013,2924
HSISS4_00750,65410,56490,44771
HSISS4_00751,76623,64941,51549
HSISS4_00752,346,99,731
HSISS4_00753,302,147,1053
HSISS4_00754,39912,5977,58519
HSISS4_00755,2228,1941,2801
HSISS4_00756,503,200,258
HSISS4_00757,904,487,751
HSISS4_00758,26353,27850,39855
HSISS4_00759,13398,10637,18439
HSISS4_00760,10558,9853,9058
HSISS4_00761,6242,3523,4723
HSISS4_00762,9048,9776,7932
HSISS4_00763,8914,9727,8230
HSISS4_00764,7555,9526,8422
HSISS4_00765,13160,13331,16931
HSISS4_00766,20559,19260,22848
HSISS4_00767,7267,5316,4338
HSISS4_00768,5191,4325,3844
HSISS4_00769,4981,5170,4268
HSISS4_00770,17347,16090,29074
HSISS4_00771,15229,13935,9204
HSISS4_00772,1878,1744,961
HSISS4_00773,11757,11457,5558
HSISS4_00774,13006,12974,5403
HSISS4_00775,7520,6587,3330
HSISS4_00776,20487,22080,10291
HSISS4_00777,14757,16527,9741
HSISS4_00778,9321,6373,5837
HSISS4_00779,7125,7364,4988
HSISS4_00780,61181,50425,174814
HSISS4_00781,4596,3434,7687
HSISS4_00782,14048,9151,9180
HSISS4_00783,232598,247031,177985
HSISS4_00784,18964,8256,27298
