,sczA_Ctrl1,sczA_Ctrl2,sczA_Ctrl3,sczA_Ctrl4
CHF17_RS02565,178,103,118,141
CHF17_RS02570,3400,2912,2716,2118
CHF17_RS02575,149,134,114,193
CHF17_RS02580,3242,1472,1611,2913
CHF17_RS02585,9593,5959,5858,5566
CHF17_RS02590,35368,26686,23945,18526
CHF17_RS02595,7829,6372,5245,5024
CHF17_RS02600,17082,15131,11799,13482
CHF17_RS02605,236,234,189,241
CHF17_RS02610,4898,3421,3059,2684
CHF17_RS02615,9688,7594,6863,4885
CHF17_RS02620,6847,5499,5982,3008
CHF17_RS02625,10613,8062,8543,10418
CHF17_RS02630,1157,719,787,678
CHF17_RS02635,3394,3008,2681,2946
CHF17_RS02640,11776,6439,7195,6720
CHF17_RS02645,4534,2138,2593,4876
CHF17_RS02650,327,99,116,791
CHF17_RS02655,94310,96556,75954,77078
CHF17_RS02660,3314,1468,1528,887
CHF17_RS02665,2590,1325,1293,2826
CHF17_RS02670,7580,11084,5255,4395
CHF17_RS02675,17866,16448,18666,10772
CHF17_RS02680,12864,10533,12483,11246
CHF17_RS02685,3281,1636,1619,1033
CHF17_RS02690,24470,15225,16517,12612
CHF17_RS02695,31840,21143,18580,19431
CHF17_RS02700,1845,1301,1012,237012
CHF17_RS02705,2,1,2,5785
CHF17_RS02710,376,197,298,251370
CHF17_RS02715,2,0,2,7152
CHF17_RS02720,22,19,7,108
CHF17_RS02725,55,53,21,158
CHF17_RS02730,116,111,48,174
CHF17_RS02735,222,225,109,191
CHF17_RS02740,182,171,87,84
CHF17_RS02745,157,115,71,69
CHF17_RS02750,105,45,33,39
CHF17_RS02755,9645,8733,8313,5562
CHF17_RS02760,2867,2222,2441,1478
CHF17_RS02765,5171,3343,3086,3913
CHF17_RS02770,1116,831,885,565
CHF17_RS02775,2505,1907,2228,2319
CHF17_RS02780,4488,7238,5648,5117
CHF17_RS02785,5177,4299,4725,4380
CHF17_RS02790,834,1553,972,780
CHF17_RS02795,261,433,254,306
CHF17_RS02800,1881,3338,2146,1768
CHF17_RS02805,3705,5887,3981,3382
CHF17_RS02810,766,1066,694,616
CHF17_RS02815,950,986,794,1147
CHF17_RS02820,348,411,278,167
CHF17_RS02825,280,339,250,103
CHF17_RS02830,305,415,240,164
CHF17_RS02835,356,544,331,210
CHF17_RS02840,450,401,365,268
CHF17_RS02845,1313,902,892,1133
CHF17_RS02850,637,683,628,391
CHF17_RS02855,3572,3744,3278,1555
CHF17_RS02860,549,609,469,235
CHF17_RS02865,5770,5745,5762,2883
CHF17_RS02870,431011,326858,408379,425286
CHF17_RS02875,31,51,22,9
CHF17_RS02880,771,512,405,500
CHF17_RS02885,1765,1286,1131,937
CHF17_RS02890,4231,2975,3127,1555
CHF17_RS02895,55,71,50,7
CHF17_RS02900,1033,764,967,285
CHF17_RS02905,735,653,401,332
CHF17_RS02910,30810,27354,18431,15394
CHF17_RS02915,358,196,158,320
CHF17_RS02920,2847,2301,2186,2489
CHF17_RS02925,2720,2870,2960,3743
CHF17_RS02930,4697,4807,5689,7004
CHF17_RS02935,17052,17730,19092,17288
