gene,IU1824.1,IU1824.2,IU1824.4,IU9036.1,IU9036.3,IU9036.4
Inter.NC_008533.1.518221.183,0,0,1,0,0,0
Inter.NC_008533.1.343145.78,1,0,0,0,0,0
Inter.NC_008533.0.636860.15,0,1,2,1,3,0
Inter.NC_008533.1.479581.12,0,0,0,0,0,1
Inter.NC_008533.0.1190379.62,0,0,0,1,0,0
Inter.NC_008533.0.459448.2,6,6,6,3,5,1
Inter.NC_008533.0.669885.0,5,3,5,6,5,7
Inter.NC_008533.0.1084820.14,1,0,0,0,0,0
Inter.NC_008533.1.564781.186,0,0,0,0,1,0
Inter.NC_008533.0.589594.0,0,0,0,0,0,0
Inter.NC_008533.1.666908.228,0,1,0,0,0,1
Inter.NC_008533.0.1586901.21,0,1,1,0,0,0
Inter.NC_008533.0.967853.1,11,17,9,16,16,8
Inter.NC_008533.0.1447242.65,0,0,0,1,0,0
Inter.NC_008533.1.916617.22,1,0,0,0,0,0
Inter.NC_008533.0.256276.0,0,0,1,0,1,0
Inter.NC_008533.0.1633846.22,0,0,0,2,0,0
Inter.NC_008533.0.741386.2,7,20,12,10,11,11
Inter.NC_008533.1.435802.22,0,0,0,1,0,0
Inter.NC_008533.0.764165.0,7,3,3,7,7,0
Inter.NC_008533.1.949173.151,0,1,1,0,0,1
ABJ53898.1,288,323,369,397,406,323
ABJ54361.1,206,226,241,226,204,167
ABJ54990.1,2,1,0,1,1,3
Inter.NC_008533.0.1552680.24,0,0,1,0,0,1
Inter.NC_008533.0.579350.2,1,0,1,1,0,0
ABJ54257.1,8,8,6,10,11,7
Inter.NC_008533.0.260365.23,0,0,1,1,0,0
Inter.NC_008533.1.1005112.101,0,0,0,1,0,1
Inter.NC_008533.0.1048680.203,1,3,0,1,0,3
Inter.NC_008533.1.916617.274,0,0,1,0,0,0
Inter.NC_008533.1.693148.21,0,0,0,0,0,0
Inter.NC_008533.1.179084.296,2,1,2,3,2,0
Inter.NC_008533.1.1427612.3,0,0,0,1,0,0
ABJ53900.1,337,406,401,360,378,319
ABJ55468.1,348,323,351,244,283,259
Inter.NC_008533.1.31054.19,1,1,0,0,2,1
Inter.NC_008533.1.1239807.0,4,7,0,2,3,2
Inter.NC_008533.0.1850193.128,0,0,0,0,0,1
ABJ54614.1,9,6,6,18,7,15
ABJ53726.1,12,8,6,6,9,7
Inter.NC_008533.0.1504856.64,0,1,0,0,0,0
Inter.NC_008533.0.213160.13,0,1,0,0,0,0
Inter.NC_008533.0.1750693.75,0,0,1,0,0,0
Inter.NC_008533.1.1809633.10,3,5,2,9,3,5
Inter.NC_008533.1.1178191.0,2,2,0,2,0,0
Inter.NC_008533.0.1902224.47,0,0,1,1,0,0
Inter.NC_008533.0.537864.46,0,1,0,0,1,0
Inter.NC_008533.0.1216026.234,0,0,0,0,1,0
Inter.NC_008533.1.137708.128,0,0,0,0,0,0
Inter.NC_008533.0.258814.0,0,1,0,1,1,0
Inter.NC_008533.0.1972472.45,1,0,0,0,0,0
Inter.NC_008533.0.1455480.6,0,0,0,0,0,0
Inter.NC_008533.0.1946501.18,0,1,0,0,0,0
Inter.NC_008533.1.1466093.15,3,3,5,0,1,2
Inter.NC_008533.1.1015892.70,0,0,0,0,0,0
Inter.NC_008533.0.1048680.161,0,0,0,1,0,1
Inter.NC_008533.0.134257.28,0,0,0,0,0,0
Inter.NC_008533.1.746571.12,0,0,1,0,0,0
Inter.NC_008533.1.666908.159,0,0,0,0,0,0
Inter.NC_005022.0.0.3,1,0,0,0,0,0
Inter.NC_008533.1.1139149.0,0,0,1,0,0,0
Inter.NC_008533.0.1321450.70,5,1,4,0,1,2
Inter.NC_008533.1.916617.139,0,0,0,0,0,1
Inter.NC_008533.0.123434.3,0,1,1,0,0,0
Inter.NC_008533.1.310564.11,2,1,0,2,0,2
Inter.NC_008533.1.757283.163,3,1,0,2,0,3
ABJ53689.1,147,139,130,145,140,127
Inter.NC_008533.1.247146.40,0,0,0,0,0,1
Inter.NC_008533.1.848842.26,3,2,1,1,2,2
Inter.NC_008533.0.111937.13,0,1,0,0,0,0
Inter.NC_008533.1.1531369.0,1,0,0,0,0,0
ABJ55310.1,165,148,113,159,151,111
Inter.NC_008533.1.1662045.26,0,0,0,1,1,0
Inter.NC_008533.0.557907.0,0,0,1,0,0,0
Inter.NC_008533.0.1709836.39,0,0,1,0,1,0
ABJ54308.1,100,92,81,91,93,85
Inter.NC_008533.1.413745.20,0,0,0,0,0,0
Inter.NC_008533.0.1461354.6,1,0,0,1,0,0
Inter.NC_008533.1.423164.7,1,1,1,0,1,0
Inter.NC_008533.1.1843473.1,0,0,1,0,1,0
Inter.NC_008533.0.1770050.55,0,0,0,0,0,0
Inter.NC_008533.1.1944246.10,0,0,0,1,0,0
ABJ54507.1,8,3,5,8,7,8
Inter.NC_008533.1.343145.112,0,0,0,1,0,0
Inter.NC_008533.0.568719.2,108,91,88,91,89,125
Inter.NC_008533.0.459448.67,0,1,0,0,1,0
Inter.NC_008533.0.1956770.54,0,0,0,1,0,0
Inter.NC_008533.1.1005112.84,0,0,1,0,0,0
Inter.NC_008533.0.1447242.17,0,0,0,0,0,0
Inter.NC_008533.1.1651909.2,0,0,0,0,0,1
Inter.NC_008533.0.1850193.174,0,0,0,2,0,0
Inter.NC_008533.0.1644695.40,0,0,0,1,0,0
Inter.NC_008533.0.93647.24,0,1,0,0,1,1
Inter.NC_008533.0.1770050.173,0,0,0,1,0,1
Inter.NC_008533.0.730753.31,0,0,0,0,1,0
Inter.NC_008533.0.1633846.12,0,0,0,0,0,1
Inter.NC_008533.0.1709836.32,0,0,0,0,1,0
Inter.NC_008533.0.646558.3,2,1,2,4,4,2
Inter.NC_008533.0.1678487.34,1,0,0,0,0,0
Inter.NC_008533.1.448351.102,1,0,0,0,1,0
Inter.NC_008533.1.218389.59,0,0,0,0,0,0
Inter.NC_008533.1.0.292,0,0,0,0,0,0
Inter.NC_008533.0.415772.9,8,13,8,11,5,8
Inter.NC_008533.0.1908891.0,8,6,7,2,2,1
Inter.NC_008533.1.1981671.2,0,0,0,0,0,1
Inter.NC_008533.0.616359.9,0,0,0,0,0,0
Inter.NC_008533.0.1479761.242,0,0,1,0,0,0
Inter.NC_008533.0.1349452.127,0,0,1,1,1,0
ABJ54924.1,199,180,145,168,129,153
ABJ54065.1,39,37,49,58,29,35
Inter.NC_008533.1.137708.82,0,0,0,0,0,0
Inter.NC_008533.0.1709836.201,0,0,0,0,0,0
Inter.NC_008533.1.300862.28,0,0,0,0,0,1
Inter.NC_008533.0.1818322.295,1,0,0,0,0,1
Inter.NC_008533.1.35663.7,0,0,0,0,1,0
Inter.NC_008533.0.1145128.11,0,0,0,0,0,0
ABJ54871.1,149,124,114,163,119,139
Inter.NC_008533.1.0.41,0,0,1,0,0,0
Inter.NC_008533.0.764914.0,0,1,0,0,0,0
Inter.NC_008533.0.126429.11,0,0,0,0,1,0
Inter.NC_008533.1.1198260.1,0,1,0,1,0,0
Inter.NC_008533.0.1770050.34,0,0,0,0,1,1
Inter.NC_008533.1.113089.173,0,1,1,0,0,0
Inter.NC_008533.1.104786.41,0,1,0,0,0,0
ABJ53757.1,11,7,12,10,10,9
Inter.NC_008533.1.399679.57,0,0,0,0,0,0
Inter.NC_008533.0.20118.14,1,3,2,0,0,0
Inter.NC_008533.1.399679.60,0,0,0,0,0,0
Inter.NC_008533.1.1510533.0,0,1,0,0,1,2
Inter.NC_008533.1.746571.22,0,0,0,0,1,0
Inter.NC_008533.0.727105.2,0,2,1,1,1,0
ABJ54710.1,2,4,1,5,3,4
Inter.NC_008533.1.372903.48,0,0,0,0,0,0
Inter.NC_008533.0.1275753.35,0,0,0,1,0,0
ABJ55467.1,95,123,98,91,97,83
ABJ54784.1,1,9,6,7,10,8
Inter.NC_008533.1.757283.17,0,0,0,0,0,0
Inter.NC_008533.0.260365.7,0,3,0,2,1,0
Inter.NC_008533.0.210876.9,0,3,2,1,0,1
Inter.NC_008533.0.1106643.4,0,0,1,0,1,0
ABJ54185.1,76,47,66,99,73,75
Inter.NC_008533.0.1897432.17,0,0,0,0,0,0
Inter.NC_008533.1.479581.25,0,0,0,0,0,1
Inter.NC_008533.1.1907070.45,0,0,0,0,0,0
Inter.NC_008533.0.1586901.12,0,1,0,0,0,0
Inter.NC_008533.0.1188350.12,0,0,0,0,0,1
Inter.NC_008533.0.559539.1,0,1,0,1,1,1
ABJ54055.1,62,47,50,49,63,63
Inter.NC_008533.0.1972472.10,1,0,0,0,0,0
ABJ54179.1,1654,1595,1753,1689,1765,1688
ABJ55046.1,156,181,183,172,181,97
Inter.NC_008533.1.361081.5,0,0,0,0,0,0
ABJ54095.1,85,100,94,141,176,134
Inter.NC_008533.1.1334112.3,4,2,2,8,4,1
Inter.NC_008533.1.1316775.0,0,1,2,1,1,0
ABJ53943.1,3,4,3,5,4,0
Inter.NC_008533.1.247146.106,0,0,0,2,0,1
Inter.NC_008533.1.361081.71,4,2,2,2,3,1
Inter.NC_008533.1.949173.297,0,0,1,0,0,1
ABJ54412.1,30,49,25,47,34,39
ABJ54222.1,6,10,7,7,18,17
Inter.NC_008533.0.1936699.29,1,0,0,0,1,0
Inter.NC_008533.0.1540553.32,0,0,1,1,1,0
Inter.NC_008533.0.1598143.2,0,1,0,0,0,0
Inter.NC_008533.1.788482.105,1,0,0,0,0,0
Inter.NC_008533.1.916617.108,0,0,0,0,0,0
ABJ53714.1,98,87,98,106,81,90
Inter.NC_008533.1.479581.84,1,0,0,0,1,1
ABJ54067.1,48,29,31,55,55,35
Inter.NC_008533.0.1405462.24,2,2,1,1,0,1
Inter.NC_008533.0.213160.18,0,1,0,0,0,0
Inter.NC_008533.0.1994815.20,0,1,0,1,1,0
Inter.NC_008533.0.1122434.4,5,5,5,3,3,1
Inter.NC_008533.1.247146.35,0,1,0,3,3,4
Inter.NC_008533.1.35663.141,0,0,0,0,0,0
Inter.NC_008533.1.1466093.29,12,18,19,15,29,19
Inter.NC_008533.1.1582555.40,0,0,0,0,0,1
Inter.NC_008533.0.1447242.8,0,0,0,1,0,1
