,"M1GAS2221_1 Mid-exponential, 35°C","M1GAS2221_21 Mid-exponential, 35°C","M1GAS2221_31 Mid-exponential, 35°C","M1GAS2221DfabT_11 Mid-exponential, 35°C","M1GAS2221DfabT_21 Mid-exponential, 35°C","M1GAS2221DfabT_31 Mid-exponential, 35°C","M1GAS2221_11 Mid-exponential, 40°C","M1GAS2221_2 Mid-exponential, 40°C","M1GAS2221_3 Mid-exponential, 40°C","M1GAS2221DfabT_1 Mid-exponential, 40°C","M1GAS2221DfabT_2 Mid-exponential, 40°C","M1GAS2221DfabT_3 Mid-exponential, 40°C","M1GAS2221_1 Early stationary, 35°C","M1GAS2221_2 Early stationary, 35°C","M1GAS2221_3 Early stationary, 35°C","M1GAS2221DfabT_1 Early stationary, 35°C","M1GAS2221DfabT_2 Early stationary, 35°C","M1GAS2221DfabT_3 Early stationary, 35°C","M1GAS2221_1 Early stationary, 40°C","M1GAS2221_2 Early stationary, 40°C","M1GAS2221_3 Early stationary, 40°C","M1GAS2221DfabT_1 Early stationary, 40°C","M1GAS2221DfabT_2 Early stationary, 40°C","M1GAS2221DfabT_3 Early stationary, 40°C"
M5005_Spy0181,3249,2951,3210,5204,5327,6323,3657,5897,3811,4752,4956,6115,1814,1879,1302,1552,2288,1641,1476,1850,3372,615,849,966
M5005_Spy0182,3933,3356,3326,5183,4938,5792,3805,6473,4388,4612,4593,5376,12941,13637,9200,7705,9647,7244,5294,7417,11910,5057,6119,7507
M5005_Spy0183,19411,19279,20865,27008,22128,26233,19961,33458,19359,21360,20021,23968,10644,9893,6914,5794,8500,6315,7208,8409,17576,5440,7642,6006
M5005_Spy0184,23368,21871,20946,18606,13418,28354,24816,25622,22179,20479,16932,23771,12333,12259,9344,15134,18297,23051,9245,9420,18453,21620,17043,15673
M5005_Spy0185,2978,2883,3467,4347,3867,4800,3547,5889,4023,4130,3778,5164,2087,1900,1382,2139,2923,2795,2314,2474,5053,3900,4531,3711
M5005_Spy0186,284269,304938,252980,515891,509915,556225,345204,528969,301647,444953,424851,479282,69613,59328,43252,87116,120148,92355,72011,86614,170195,40158,60662,64555
M5005_Spy0187,454,454,489,642,703,739,595,1119,639,648,543,711,252,252,193,193,244,214,291,295,627,234,290,303
M5005_Spy0188,1726,1555,1696,1343,1366,1840,1774,2916,2008,1686,1347,1813,6156,5409,3486,2489,2668,2212,4220,4300,8006,4536,8310,6559
M5005_Spy0189,98858,105204,103050,164210,163180,179255,119178,178945,120145,128877,124162,147691,53321,54413,36788,49062,75520,45329,52265,70398,107104,38288,48806,57293
M5005_Spy0190,403,362,347,514,558,580,513,921,615,381,414,524,537,482,321,812,871,698,496,496,866,1040,1385,1264
M5005_Spy0191,525,577,652,935,775,887,748,1291,838,819,734,1038,378,381,320,360,497,485,396,421,929,595,657,607
M5005_Spy0192,7062,6078,6133,10669,9962,11177,8168,13282,8819,9460,8449,11019,5189,4300,3080,5803,6553,6791,3774,4093,8517,4773,5382,5482
M5005_Spy0194,1136,1203,1360,2023,2190,2054,1388,2932,1573,1724,1700,2003,648,674,448,441,770,604,611,684,1303,799,845,955
M5005_Spy0195,841,883,1166,2207,2174,2429,1319,2153,1365,1735,1712,2295,613,594,488,424,745,474,541,610,1354,342,492,536
M5005_Spy0196,6710,9942,6888,70588,73283,75134,8486,13028,7104,39676,54504,59200,2537,2872,3217,55502,75697,62649,2636,2866,5889,43757,70801,72091
M5005_Spy0197,26105,35260,25787,270755,257662,283713,29236,48079,26045,156630,221877,247434,12039,12619,13642,273373,335364,268064,9133,10023,20889,171279,292207,276978
M5005_Spy0198,26826,26282,16700,68690,53901,52879,29153,32329,21283,31108,43859,49321,5114,5319,4308,43845,54031,49771,3784,3979,8116,21623,40119,36368
M5005_Spy0199,10826,15522,10888,108042,111937,113684,13001,20455,11256,56119,83553,89569,3888,4615,5219,87063,113519,95636,4076,4729,9183,62845,101164,102496
M5005_Spy0200,6576,8790,7293,73919,63427,75734,7454,13061,6512,41344,55025,65900,3613,3689,3762,66062,94190,68565,2862,3477,6561,55283,94220,97072
M5005_Spy0201,1545,1514,1520,1350,1409,1960,1746,2424,1908,1592,1366,1708,841,797,640,984,1335,1442,846,850,1566,1611,1764,1511
M5005_Spy0202,1778,1796,1673,1654,1572,2479,2148,2546,2059,1790,1539,2072,1063,1012,845,1281,1777,1527,1495,1666,3306,1833,2180,1836
M5005_Spy0203,2253,2246,2188,2012,1960,3133,2756,3544,2830,2321,2080,2659,1204,1247,1016,1615,2233,2208,1416,1441,2599,2846,3051,2741
M5005_Spy0204,1196,1089,1250,2078,1504,1637,1393,2198,1293,1449,1322,1661,659,603,391,323,524,300,456,548,1148,257,452,279
M5005_Spy0205,34833,38190,37865,50584,55462,52964,39531,64424,37808,36031,35633,44938,12127,12543,9430,16295,27589,15611,11481,13978,24349,8907,11731,13728
M5005_Spy0206,2071,2105,2100,2100,2274,2784,2134,3594,2210,1951,1954,2624,773,840,590,1246,1506,1244,861,963,2044,860,1015,1097
M5005_Spy0207,13212,13483,12945,16416,16637,21404,13900,19920,14175,12477,12465,15885,7717,7635,5427,7255,9816,6723,5634,6194,12223,4686,4825,5355
M5005_Spy0208,8957,8902,10002,12016,11205,12148,8876,17987,9765,9776,10469,12143,4723,4408,3189,5164,6470,4595,4553,5016,10559,3999,3883,3694
M5005_Spy0209,1455,1140,1765,1674,1802,1604,1073,1677,1238,923,1212,1249,3415,3612,2812,2401,3236,2289,1553,1607,3189,1925,3001,3237
M5005_Spy0210,44,30,28,37,35,39,51,65,43,44,24,31,224,212,169,122,123,118,161,198,370,193,272,244
M5005_Spy0211,693,784,648,625,591,731,689,812,656,481,380,497,166,190,136,299,394,250,154,178,295,286,384,290
M5005_Spy0212,725,813,701,610,692,938,811,1017,827,564,478,672,322,350,253,651,964,602,254,266,495,891,978,879
M5005_Spy0213,221,205,237,180,185,199,289,367,340,217,173,223,460,398,279,353,436,370,416,535,835,1664,1858,1589
M5005_Spy0214,1004,1116,1026,918,919,1242,1092,1384,1036,761,608,830,434,400,320,1039,1429,748,389,407,745,1028,1144,919
M5005_Spy0215,678,720,625,571,604,887,808,967,738,615,474,587,318,289,271,497,805,548,298,292,537,923,971,875
M5005_Spy0216,364,360,421,405,336,475,477,965,540,480,446,526,693,617,407,315,437,261,682,795,1659,576,816,727
M5005_Spy0217,308,385,355,650,696,894,475,776,449,573,700,981,209,191,159,153,291,151,293,344,774,92,114,156
M5005_Spy0218,9225,9212,9480,17165,18044,22469,11971,25036,13574,18753,18192,23408,17714,17794,13490,15784,22897,19425,14922,18794,34246,22219,24044,35521
M5005_Spy0219,2127,2175,2299,4437,4913,5221,3303,5439,4034,4430,4319,5550,3392,3203,2495,3176,3933,4031,2954,3549,6935,4604,6165,5358
M5005_Spy0220,1236,1277,1469,2119,2057,2158,1328,2809,1388,1554,1524,1933,490,469,355,414,592,416,552,605,1341,521,707,508
M5005_Spy0221,4592,3661,4709,9449,7949,8654,5964,10606,6575,8499,7978,10650,8682,7924,5218,4602,6684,5371,7231,8262,15445,7093,8902,8645
M5005_Spy0222,5046,4010,5666,8868,8252,9382,5711,11229,7451,8761,9075,11840,7513,7280,5064,4821,6146,6647,6070,6885,15171,7199,8588,8658
M5005_Spy0223,3401,2622,3643,6792,5691,6558,4376,7537,4987,6327,6023,7899,7753,6873,4784,4219,5591,5027,5823,6792,12591,6359,7572,7875
M5005_Spy0224,1749,1246,1913,3266,2688,3234,2152,3751,2508,3185,3088,3888,3620,3219,2217,1958,2723,2529,2598,3268,6125,2885,3447,3558
M5005_Spy0225,861,683,712,1091,1031,970,1221,1470,1249,1211,1089,1225,922,787,492,696,805,958,870,971,1722,993,1245,1093
M5005_Spy0226,2513,2464,2588,3665,3283,4341,1822,2916,2423,3144,3104,3565,1775,1598,1152,2258,2791,2375,1287,1646,2794,1996,2369,2190
M5005_Spy0227,14974,11397,18460,14944,14445,18247,11298,15712,14167,12365,13286,16164,35108,43079,31367,57669,74665,51797,18972,32037,45430,18489,11599,13788
M5005_Spy0228,11380,8335,10991,10704,8735,12013,8963,11541,10634,8979,9653,11088,8644,8707,5726,27794,30667,24447,4493,6553,10186,5012,4605,3956
M5005_Spy0229,6923,5622,6707,6460,5749,7904,5678,7839,6682,6017,6548,7517,3300,3400,2565,15338,18137,12224,1870,2630,4489,1949,2202,1955
M5005_Spy0230,28325,25875,27561,39028,29285,33108,26567,37945,23548,25309,23650,27392,14752,12553,8615,13526,16706,13392,9807,9929,19694,9477,13370,10390
M5005_Spy0231,3883,3767,3830,6167,6979,6909,5038,8673,6053,6138,5710,7407,3966,3974,2920,5201,6412,5274,4601,4970,9612,4989,5197,5155
M5005_Spy0232,22441,24103,25327,58280,55126,58881,27964,56859,30137,51026,50735,66220,17011,16176,11283,18243,23987,21148,19693,19757,38929,17374,17692,19985
M5005_Spy0233,5305,5240,5580,5528,5284,6894,5014,10353,5844,6316,5186,6524,4014,3607,2646,3012,4222,3236,3102,3548,6846,4094,4891,4546
M5005_Spy0234,552,578,568,760,834,1003,764,1364,926,995,812,1078,288,255,213,243,345,299,392,419,870,484,568,528
M5005_Spy0235,3828,3686,3959,6421,5749,6665,4359,6362,4776,5012,4578,5795,2096,2046,1563,2457,3210,2360,1701,1868,3930,1330,1552,1272
M5005_Spy0236,7726,7141,6614,12390,10932,12377,9990,15669,11421,12553,10909,13677,7263,6437,4434,9069,11147,9478,7704,8614,16450,8696,9472,8966
M5005_Spy0237,5503,4968,5715,9573,8760,9021,7771,12548,8702,8875,8117,11008,6378,5540,3946,7270,9228,7067,5121,6019,11223,7100,7081,7990
M5005_Spy0238,25403,24897,25412,33208,32015,35865,25069,39017,24446,27004,25441,30244,19849,18224,12564,29175,35586,30800,14799,14414,26272,23863,24499,25904
M5005_Spy0239,86189,95957,90631,117895,132511,146946,96453,158002,97285,102245,100325,124498,51845,50414,36468,76129,102609,74431,37574,42843,80407,57419,72053,64366
M5005_Spy0240,1670,1351,1798,2252,2477,2493,1550,2510,1843,1668,1800,1942,11220,11441,8382,5214,5475,4806,6094,7694,14688,3097,3500,4210
M5005_Spy0241,33662,36721,33534,19843,18540,20773,44945,69938,41201,16362,15946,19748,23705,22784,16069,6886,9439,7124,19486,21829,41842,3763,4591,4858
M5005_Spy0242,7560,8342,8132,9421,10000,10804,8040,11829,7884,7675,7318,8658,4664,4809,3239,5196,7256,5372,3149,3645,6455,3882,4717,4109
M5005_Spy0243,7966,8163,7878,8736,9907,9265,8144,11957,8044,6803,7116,8083,5911,5639,4017,6610,8434,6078,3676,4264,7382,4380,5334,4976
M5005_Spy0244,1641,1700,1752,2181,1628,2026,1569,2285,1510,1555,1303,1666,629,512,411,513,743,547,425,477,997,392,826,453
M5005_Spy0245,13057,13225,12773,20518,20373,22583,13951,27299,15324,16964,16466,19379,9177,7580,5525,10633,11705,10894,7282,8122,16671,7230,8275,8322
M5005_Spy0246,2277,1808,1940,2765,2393,2731,2304,2882,2135,2107,2248,2990,1233,1109,830,1698,2021,1816,990,985,2115,1342,1599,1400
M5005_Spy0247,5666,5384,4813,7730,7372,10693,8673,18340,10253,10208,9204,12847,4841,4567,3266,5010,6509,8259,5949,6629,13195,7110,8754,10355
M5005_Spy0248,1786,1731,1823,2379,2350,2819,1633,3180,1788,2009,1702,2151,752,677,506,483,740,644,522,586,1306,259,373,299
M5005_Spy0249,2820,2744,2668,2818,2617,3101,2802,5078,2727,2583,2587,2814,1784,1660,1074,1876,2373,1524,1611,1790,2905,1657,2264,1681
M5005_Spy0250,1081,748,1057,1021,1043,1710,654,779,883,901,889,1168,3912,4024,2789,3509,4849,3522,2062,3133,4338,4546,5666,6261
M5005_Spy0251,1656,1004,1581,1103,1153,1663,1246,2100,1607,1347,1242,1602,7318,7489,5431,7777,6329,5903,8089,15171,15122,8891,9363,9556
M5005_Spy0252,11794,13906,14819,21045,23036,20802,12260,28268,13599,23725,18472,22414,17850,16081,10384,8614,11123,10380,15421,14040,27929,15834,15531,15835
M5005_Spy0253,54045,55604,45461,66876,52815,78164,29448,78191,17196,58038,56479,60604,12020,11126,8440,17332,25759,20644,9759,14368,22533,14508,16718,21149
M5005_Spy0254,20409,30382,22550,52468,54646,57922,9690,54045,7312,47692,46188,46340,2906,2722,2051,3500,5308,5978,2934,3620,7310,2847,4306,4385
M5005_Spy0255,4083,6065,5299,10964,10973,11672,2379,11097,1653,8898,9169,10087,1108,1018,809,1209,2106,2337,887,1343,2416,1539,1666,2091
M5005_Spy0256,1500,1342,1999,2869,2647,2820,1908,3628,2760,2445,2429,3031,4130,4310,2778,2968,3902,3215,2272,4514,5874,2662,2574,3724
M5005_Spy0257,62,44,89,61,60,55,50,109,89,57,54,74,1300,1411,952,316,359,242,540,696,1257,295,449,523
M5005_Spy0258,3629,4449,4426,4921,5726,5674,3912,6629,3296,3473,3268,3844,768,806,656,749,1368,759,846,854,1786,644,682,711
M5005_Spy0259,116,104,136,122,108,118,93,166,153,83,72,103,2172,2259,1547,469,370,338,684,729,1406,415,564,562
M5005_Spy0260,188,114,182,159,144,196,151,234,237,112,102,150,3079,3363,2311,741,810,533,1030,1277,2225,765,967,1137
M5005_Spy0261,1787,1743,1962,2635,2665,2894,2385,4706,2593,2881,2805,3360,1595,1480,1011,1185,1614,1316,2542,2600,5285,1574,1987,1871
M5005_Spy0262,10261,10172,10969,14766,14640,16628,12492,18469,13334,12326,12091,14705,8182,7622,5600,9646,12512,9754,7642,8643,16034,8521,8728,9273
M5005_Spy0263,2669,2920,2858,3709,3969,4642,3240,6680,3508,3521,3162,4120,2989,2813,2098,3637,4712,3702,5469,5832,11480,4457,4911,5670
M5005_Spy0264,3880,4183,4309,6988,6748,7850,4352,6779,4850,4949,4829,5777,3401,3084,2093,4225,5507,4860,2410,2882,4478,2955,2324,2837
M5005_Spy0265,7414,8034,7551,12326,13333,14928,9114,14468,9994,10122,9661,12112,8095,7213,4836,9872,13389,12134,5664,7443,10713,8889,6622,9890
M5005_Spy0266,6084,6226,6554,7726,7910,8943,6643,14169,7262,7156,7162,8185,1999,1877,1395,1925,2289,1498,2104,2641,5193,1159,1514,1330
M5005_Spy0267,1657,1305,1680,2423,2117,2221,2388,3497,2612,2241,2224,2783,3812,3663,2406,2693,3529,2541,2553,3651,5888,2219,2733,2986
M5005_Spy0268,13288,15040,14782,19972,18071,19698,13828,26573,13245,13758,13604,16147,4275,3893,2847,4459,6094,3826,3788,4652,8839,5132,5929,5041
M5005_Spy0269,6008,6096,5910,10210,10597,12278,7696,14548,8183,10624,9730,11766,6194,5454,3940,5795,7578,6276,4992,5200,10297,3705,3961,4361
M5005_Spy0270,7320,9105,8706,24986,23091,23173,4728,3225,3921,10477,10919,12494,2662,2651,1854,2930,4918,3048,1735,1752,2927,1143,1783,1714
M5005_Spy0271,2542,2685,2935,3791,3400,3859,2953,5216,3422,3327,2846,3808,1352,1285,918,875,1326,973,1346,1522,3191,559,779,647
M5005_Spy0272,19071,15374,33046,33610,35132,35606,26580,59595,44197,37628,50007,44848,156096,165820,92878,61092,80772,120739,177282,215340,288688,162495,123671,182330
M5005_Spy0273,3881,3218,6699,7625,6947,7341,6145,12423,8859,7994,9496,9115,24045,23909,12733,7957,12234,15865,32590,32260,48060,16680,16448,22047
M5005_Spy0274,6704,5625,12208,7405,8925,11971,3792,7331,8401,5719,9650,7542,49494,54361,34185,22893,30766,29560,47501,52485,73148,34929,31135,41986
M5005_Spy0275,8242,8903,9368,12854,14001,15507,7858,15049,7816,8880,8991,10855,3105,3124,2418,3606,4872,3106,2428,2750,5688,1529,1946,1928
M5005_Spy0276,12032,12370,11929,16110,17775,15788,15438,23707,13656,10738,10567,12266,5642,5199,3635,11663,12610,6550,5837,6149,11782,5029,4711,5313
M5005_Spy0277,384,354,542,188,227,247,681,1487,639,492,490,886,333,294,212,142,243,151,344,367,875,149,188,206
M5005_Spy0278,12921,13154,13256,20617,20388,26294,12842,25978,15313,19425,17381,21371,8319,7682,5266,6056,8859,7026,5438,6233,12389,2752,3499,3796
M5005_Spy0279,14477,14874,15551,18912,19447,22608,13331,27083,16560,18582,16916,20299,13161,12202,8042,9444,13006,11490,8656,9563,18370,8093,8751,8082
M5005_Spy0280,228,220,238,257,223,396,201,371,201,163,144,192,142,110,82,174,249,193,133,130,238,166,197,181
M5005_Spy0281,227,225,226,230,263,387,245,399,243,218,158,194,98,126,101,179,273,211,209,194,387,130,178,173
M5005_Spy0282,238,227,227,265,269,380,295,471,259,243,208,256,149,126,114,238,301,239,283,290,631,252,281,291
M5005_Spy0283,7121,6915,7303,12884,11642,13807,8815,16666,9796,11750,10831,14610,7634,6766,4833,6651,9218,7866,5202,6029,12270,6447,5933,6471
M5005_Spy0284,4050,3856,3885,5106,4741,5588,3879,6577,3820,3924,3641,4650,1915,1746,1240,2115,2760,2571,2297,2526,5099,1731,2046,1906
M5005_Spy0285,3159,3222,2944,4564,4348,5344,3222,4694,3525,3699,3585,4308,2627,2489,1759,2265,3378,2476,1726,1869,3967,1377,2233,1775
M5005_Spy0286,3239,3239,3575,4322,3942,5085,3962,6073,4232,4380,4146,5241,2547,2213,1679,2435,3464,2778,2681,2973,5683,3667,4378,3646
M5005_Spy0287,5261,4902,4380,5798,5112,6173,5812,7791,5278,4631,4458,5595,2692,2395,1664,2926,3680,2857,2012,2243,4312,1312,1501,1390
M5005_Spy0288,1128,1067,1051,1700,1767,2173,1427,2345,1609,1753,1510,2002,1595,1379,1007,1169,1708,1034,1270,1531,2523,1289,2307,1684
M5005_Spy0289,7438,7015,8066,12230,10932,11579,7820,16372,8996,10285,9562,11042,3802,3467,2361,2667,3637,2841,2783,3088,6613,3222,4135,3113
M5005_Spy0290,10738,10291,9446,12083,12117,12974,12478,21880,12998,11790,10967,13501,6848,6407,4639,6461,8412,7542,7127,7537,14341,6709,6966,7565
M5005_Spy0291,12731,10773,21096,14541,15515,21489,7219,13286,13396,10556,15983,13392,76537,76279,46677,32098,45334,37370,57828,63289,90277,39093,47758,55589
M5005_Spy0292,2805,2590,2736,3707,3652,4486,3384,5539,3683,3747,3553,4508,2584,2283,1707,1995,2649,2663,1875,2130,3927,2693,3191,2903
M5005_Spy0293,5098,4830,5013,6944,6680,7709,6344,10117,6728,7007,6565,8072,4616,4009,2843,3852,4883,4776,3477,3970,7804,4710,5921,5156
M5005_Spy0294,2268,1985,2111,2908,3052,3462,2718,4295,3013,3090,2877,3623,2013,1850,1371,1599,1966,2194,1444,1740,3136,2090,2466,2328
M5005_Spy0295,16408,17759,14958,21741,24058,24503,25810,55530,28382,28904,21669,30765,30144,29369,21177,29430,37589,27498,43084,45194,91883,17777,19094,18474
M5005_Spy0296,2143,1945,1844,2149,1826,2316,2944,3383,2953,2187,1756,2312,2558,1991,1335,2570,2800,1935,1860,2502,4271,2458,3392,2834
M5005_Spy0297,63,39,65,41,52,57,85,98,100,66,38,61,288,296,231,177,228,137,234,216,453,300,404,343
M5005_Spy0298,25,31,45,34,33,46,29,43,37,30,22,26,196,234,191,104,134,89,156,159,334,185,200,205
M5005_Spy0299,40,42,44,28,46,63,72,109,65,51,36,44,337,324,274,183,222,167,295,340,647,366,463,482
M5005_Spy0300,851,472,1047,600,671,749,545,964,1138,669,710,786,4852,5619,3808,4826,6286,3824,5809,12714,15233,18342,23963,23933
M5005_Spy0301,5608,5727,5079,6976,7379,9924,5528,7627,6425,6306,5991,6896,5495,5291,3863,7159,8633,7503,3472,4308,7608,4367,4745,5375
M5005_Spy0302,128,117,118,214,223,196,178,311,216,172,172,197,216,176,113,203,211,195,207,222,418,199,312,250
M5005_Spy0303,2806,2500,2860,4063,4177,4802,4284,7195,5436,5703,5123,6650,7464,6548,4454,4036,5852,5537,7897,8393,15247,10123,10606,12454
M5005_Spy0304,10958,13633,12162,19852,22068,22866,13363,23436,13954,16047,15282,19503,14979,14393,10207,15700,22614,17493,8252,11565,17737,11236,10929,14633
M5005_Spy0305,23904,26063,23265,27113,22725,29089,22446,36062,21184,20656,20096,23636,6008,5190,3882,5514,8003,6985,4520,4605,10667,4524,5615,4646
M5005_Spy0306,38656,39185,39730,39094,38120,45492,36855,59421,37665,32827,31716,39638,46558,45292,30240,27234,38913,31184,32764,32899,57319,32095,33537,31742
M5005_Spy0307,24462,26429,25998,20770,20594,28301,20914,34791,23100,20080,19322,22221,9731,8793,6220,4545,6463,4871,8192,6727,14445,1925,4773,3195
M5005_Spy0308,403,437,341,410,373,495,442,602,464,394,314,439,269,251,176,336,406,311,235,216,407,393,420,385
M5005_Spy0309,546,438,606,576,655,834,1012,3115,1556,1083,1298,1459,1165,1102,707,440,535,511,1251,1621,2806,681,1244,790
M5005_Spy0310,536,509,603,843,819,942,1154,2415,1289,1516,1726,1756,608,512,339,398,509,430,1447,1501,2782,1519,4004,1588
M5005_Spy0311,669,686,759,929,1071,1112,1113,2678,1504,1546,1622,1700,1074,866,577,430,589,497,1699,2149,3488,2628,5857,2576
M5005_Spy0312,2271,1983,2196,3742,3058,3699,3573,5950,4349,4778,3992,5433,6203,4760,3117,3104,4337,4304,5932,6372,11755,7300,8090,8648
M5005_Spy0313,7465,5882,7948,10210,9561,10982,10879,17841,13848,13037,12647,17191,24243,19856,14412,14236,16401,16356,22352,23456,49281,26905,27993,33031
M5005_Spy0314,18021,17496,17502,31464,29854,32235,24840,41791,30622,36164,31498,40209,36461,33914,22484,33060,44209,31656,22186,29000,47885,31467,35723,35035
M5005_Spy0315,107,79,94,163,167,161,145,274,171,128,129,166,223,171,148,229,260,211,206,218,463,234,285,325
M5005_Spy0316,1797,1943,2102,2603,2761,3000,1979,3465,2049,2249,1936,2773,1823,1715,1241,1332,1739,1259,1385,1648,2917,1323,1417,1685
M5005_Spy0317,228,58,328,53,62,93,68,118,159,78,72,111,9819,9039,6350,2274,2343,1550,5038,5819,9769,1471,1833,2643
M5005_Spy0318,125,68,146,81,96,127,102,253,130,60,56,40,6835,6629,4889,2393,2145,1756,4918,6564,11219,1224,1707,2269
M5005_Spy0319,469,101,767,123,127,159,131,212,307,169,145,175,18323,17441,11781,4297,4017,2948,8983,10224,16950,2414,3138,4150
M5005_Spy0320,273,114,291,133,153,235,205,459,297,101,98,116,11546,11198,8376,4324,3611,3229,8228,10587,17888,2601,3837,4212
M5005_Spy0321,176,84,204,119,144,220,160,398,224,126,97,134,13952,12852,9235,4528,3767,3482,8425,11245,16683,3092,4222,5122
M5005_Spy0322,1310,347,1981,518,507,617,483,797,899,570,531,618,44016,41781,28773,10231,9134,6946,21545,24704,41107,5078,6739,8905
M5005_Spy0323,287,107,372,137,186,283,204,464,315,141,126,161,27655,26296,17774,8547,7557,6037,14789,21243,28728,4796,6632,9118
M5005_Spy0324,350,175,535,226,262,368,271,476,416,237,212,274,34688,36556,27837,8685,8526,6489,18939,27781,34705,3908,5136,9483
M5005_Spy0325,124,40,146,51,62,123,76,165,143,58,61,80,9907,9150,6468,3225,2705,2290,4963,7215,10405,1675,2221,3222
M5005_Spy0326,428,176,729,355,352,491,363,647,561,378,318,450,26209,27249,20241,6987,6012,5656,12557,15050,21576,2021,2596,4244
M5005_Spy0327,809,744,794,858,764,1042,789,1151,775,718,734,814,4606,4528,3636,2048,2313,1601,3996,4632,8461,1412,1559,2048
M5005_Spy0328,1305,1228,1362,2458,1753,1989,1506,2201,1432,1615,1612,1910,2892,2741,2054,1094,1126,961,2271,2926,6358,577,953,822
M5005_Spy0329,1210,980,1262,1396,1523,1709,1166,1518,1503,1359,1348,1554,4333,4309,3321,3278,4214,2862,3014,3837,6733,4871,6339,7000
M5005_Spy0330,448,69,464,236,240,160,61,166,240,81,221,165,16973,18650,13628,10565,10702,6117,9525,15385,25323,11453,13439,18259
M5005_Spy0331,18852,20349,21755,27144,24322,28161,20483,32453,19093,18233,19502,23212,5941,5657,4188,12922,19648,8668,4671,6624,10438,6201,7197,6853
M5005_Spy0332,5038,4845,5194,11285,9633,10923,6202,9192,6119,7135,6298,7756,6765,6991,5338,5970,8292,6421,4257,4928,9696,2985,3820,3789
M5005_Spy0333,7563,7665,7774,10073,10778,11747,8529,16572,9586,10169,9825,12147,7168,7174,4882,6373,7933,6328,6316,6948,13036,4795,5136,6027
M5005_Spy0334,8140,8697,8452,10573,11558,12911,9968,17148,9756,9976,9462,11780,6581,5653,4239,9539,12642,9064,5504,6138,10913,8230,9250,9805
