,"M1GAS2221_1 Mid-exponential, 35°C","M1GAS2221_21 Mid-exponential, 35°C","M1GAS2221_31 Mid-exponential, 35°C","M1GAS2221DfabT_11 Mid-exponential, 35°C","M1GAS2221DfabT_21 Mid-exponential, 35°C","M1GAS2221DfabT_31 Mid-exponential, 35°C","M1GAS2221_11 Mid-exponential, 40°C","M1GAS2221_2 Mid-exponential, 40°C","M1GAS2221_3 Mid-exponential, 40°C","M1GAS2221DfabT_1 Mid-exponential, 40°C","M1GAS2221DfabT_2 Mid-exponential, 40°C","M1GAS2221DfabT_3 Mid-exponential, 40°C","M1GAS2221_1 Early stationary, 35°C","M1GAS2221_2 Early stationary, 35°C","M1GAS2221_3 Early stationary, 35°C","M1GAS2221DfabT_1 Early stationary, 35°C","M1GAS2221DfabT_2 Early stationary, 35°C","M1GAS2221DfabT_3 Early stationary, 35°C","M1GAS2221_1 Early stationary, 40°C","M1GAS2221_2 Early stationary, 40°C","M1GAS2221_3 Early stationary, 40°C","M1GAS2221DfabT_1 Early stationary, 40°C","M1GAS2221DfabT_2 Early stationary, 40°C","M1GAS2221DfabT_3 Early stationary, 40°C"
M5005_Spy1315,641,708,568,1122,1129,1368,825,1585,851,1057,1068,1291,961,894,741,599,836,635,746,965,1648,559,703,796
M5005_Spy1316,3974,3374,3896,6470,6189,7228,3921,7396,4156,4531,4515,5233,4691,4355,3163,7022,9402,6124,2443,3183,5122,4387,5205,6022
M5005_Spy1317,19940,19772,20582,26853,26655,27519,22755,44121,23952,26150,25137,31388,13040,12269,8552,11090,13669,9416,9575,10739,22002,6278,7839,8419
M5005_Spy1318,24,18,13,16,11,27,19,17,24,17,11,17,77,77,42,29,57,29,39,70,95,43,65,60
M5005_Spy1319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M5005_Spy1320,7496,7788,7704,12511,12896,13427,8517,16129,9332,11678,11044,13719,3638,3308,2436,3111,4660,2926,2936,3248,6968,1852,2385,2340
M5005_Spy1321,1838,1801,2002,2687,2623,3576,1899,3197,2296,2406,2515,2918,1313,1291,877,1087,1637,1299,1075,1180,2370,1083,1325,1399
M5005_Spy1322,3099,2553,3084,3970,3695,4361,3114,4575,3641,3630,3504,4597,3485,3223,2367,3111,4051,3094,2160,2624,4714,3818,4456,4622
M5005_Spy1323,1815,1197,1491,1942,1681,1801,1720,2330,2026,1738,1740,2093,1835,1733,1230,1508,1801,1578,1170,1228,2388,1706,2119,2050
M5005_Spy1324,5039,4199,4472,6520,6388,6030,5353,8023,6154,6459,5472,7812,6387,5753,4106,5040,6647,4812,3645,4632,8714,4298,6467,5796
M5005_Spy1325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M5005_Spy1326,616,592,661,749,650,854,840,1344,909,788,656,857,257,203,158,218,292,247,335,371,755,541,846,512
M5005_Spy1327,133,127,150,163,120,193,166,282,176,204,153,217,145,158,112,67,89,88,137,135,290,90,122,117
M5005_Spy1328,1359,1359,1282,1558,1498,2030,1666,2895,1712,1795,1704,2103,1368,1431,1073,771,935,838,1142,1226,2305,766,997,917
M5005_Spy1329,61,53,66,76,79,94,107,173,88,75,70,86,529,471,327,150,154,137,279,278,545,108,217,175
M5005_Spy1330,288,209,255,388,299,391,299,621,332,387,367,499,352,319,235,215,261,184,386,505,959,212,462,334
M5005_Spy1331,42,43,77,80,70,81,67,165,81,79,93,131,71,59,52,54,99,59,111,139,249,76,147,121
M5005_Spy1332,1,0,1,0,2,2,3,0,1,0,1,1,0,0,2,0,0,0,1,1,1,0,5,1
M5005_Spy1333,2,1,0,1,0,0,2,0,0,1,1,1,0,1,0,1,0,1,4,3,3,2,0,1
M5005_Spy1334,2,0,0,0,1,1,1,4,2,3,1,3,0,1,0,1,0,2,1,2,4,1,2,1
M5005_Spy1335,0,1,0,1,3,0,0,1,2,2,0,0,0,1,0,0,0,0,1,0,5,1,0,0
M5005_Spy1336,137,118,105,141,226,218,162,298,161,191,185,205,77,87,70,107,149,86,152,119,220,87,138,115
M5005_Spy1337,670,629,581,901,824,884,784,1371,732,879,858,1025,420,361,229,441,491,308,465,491,957,254,551,401
M5005_Spy1338,5248,6114,5509,16143,13216,14650,7291,11986,6180,13672,13381,16400,2911,2718,1976,7964,10164,5856,2118,2560,5064,4634,4810,5370
M5005_Spy1339,4247,4099,4459,6275,5544,6144,4848,8206,5075,5122,4552,5920,3350,3263,2451,2662,3349,3516,2866,2866,5880,2472,2866,2736
M5005_Spy1340,3381,3216,3297,4661,4796,5294,3551,6434,3494,3983,3817,4553,3080,3163,2243,2288,3354,2532,2255,2580,4890,1559,2025,2293
M5005_Spy1341,1658,1619,1518,2913,3035,2726,1689,3126,1654,1849,1725,1992,1037,998,747,1470,1801,1937,975,1021,1973,824,949,1081
M5005_Spy1342,1412,1578,1612,2517,2306,2308,2137,3326,1821,2142,1921,2522,612,521,427,1131,1402,1148,726,827,1703,2133,2154,1747
M5005_Spy1343,657,634,789,1154,767,1032,897,1294,869,928,783,1037,305,254,185,466,610,471,407,395,841,861,1017,726
M5005_Spy1344,434,512,401,574,737,830,532,851,585,661,548,716,235,208,148,331,441,388,256,266,493,460,472,484
M5005_Spy1345,3180,3086,3182,4451,4135,4938,3763,5019,3573,3729,3132,4131,1657,1618,1157,3074,3879,3190,1868,1768,3507,4868,5026,4595
M5005_Spy1346,13459,12890,13019,17361,17407,19160,13647,20193,14203,15003,12329,15927,6226,5732,4198,11026,13567,10409,7247,7081,13534,14671,16221,14212
M5005_Spy1347,8,4,24,7,9,7,7,26,16,8,11,3,170,153,109,73,98,49,128,169,286,96,135,162
M5005_Spy1348,35,13,30,13,21,17,19,40,41,13,16,18,234,226,175,114,135,72,233,263,389,195,224,262
M5005_Spy1349,6,7,8,6,8,6,8,15,16,4,1,8,105,94,61,55,60,30,122,147,213,112,169,179
M5005_Spy1350,38,27,35,22,29,40,24,69,38,25,33,32,329,337,254,164,171,108,306,369,519,380,556,536
M5005_Spy1351,1,0,9,1,4,2,0,9,0,4,2,7,3,2,3,0,0,0,0,0,3,1,0,3
M5005_Spy1352,2594,3398,3949,4439,3769,4530,3907,6004,3215,2856,3526,4861,1168,1422,1297,585,1045,594,1247,1646,3805,582,902,891
M5005_Spy1353,12,18,7,12,13,15,11,38,25,19,20,15,55,52,18,12,21,14,23,23,35,7,29,23
