Locus_tag,Cont_1,Cont_2,HPUra_1,HPUra_2,Kan_1
SPD_1316,13286,14721,6499,2584,6414
SPD_1317,7543,8348,4475,1578,5559
SPD_1318,33496978,21523816,15510146,6088042,21452535
SPD_1319,9029,7528,10615,4188,3280
SPD_1320,1683864,2891688,863728,485942,1223074
SPD_1321,4023,9207,5381,2320,621
SPD_1322,4224,15624,9899,5577,1102
SPD_1323,1346,1929,1344,218,170
SPD_1324,508,1642,1220,309,0
SPD_1326,2228352,1565017,1278953,467703,1078196
SPD_1327,598736,513356,269747,87633,543807
SPD_1328,958521,1172221,614068,283016,935343
SPD_1329,312200,347520,251311,124768,302244
SPD_1330,240308,247139,178552,92069,290410
SPD_1331,378730,346181,201492,140183,205229
SPD_1332,630355,596796,358251,253873,390131
SPD_1333,613008,468002,336124,143485,362235
SPD_1334,297683,290619,147921,111222,110233
SPD_1335,3412800,3334373,1551837,948783,1176508
SPD_1336,2247500,2260947,1103433,647931,831601
SPD_1337,2256628,2203600,1032965,645734,820980
SPD_1338,948145,776680,421875,257261,355680
SPD_1339,1910027,1934698,1156548,672168,840074
SPD_1340,2744989,2860977,1364557,656932,1153890
SPD_1341,651052,647315,276021,112808,302483
SPD_1342,173877,116681,112952,56365,42429
SPD_1343,251500,153908,131120,74132,89689
SPD_1344,64430,42286,20611,8444,20304
SPD_1345,1126936,1204133,529969,259198,776145
SPD_1346,2883226,2409072,1366973,611204,1903850
SPD_1347,190049,151964,140283,62620,96273
SPD_1348,141344,117190,95934,48279,89399
SPD_1349,805027,584302,533138,282691,424231
SPD_1350,594199,384412,476396,252177,446907
SPD_1351,320626,365063,236616,150675,262641
SPD_1352,22997,35021,23380,11316,13522
SPD_1353,32288,39410,22636,14243,21012
SPD_1354,1738,6024,3079,1606,2420
SPD_1355,5434,11830,5954,5292,11168
SPD_1357,143340,295399,168273,68887,217660
SPD_1358,570270,1449346,428086,213412,315381
SPD_1359,362810,250337,190957,81511,188649
SPD_1360,386388,466043,192851,98566,371188
SPD_1362,338098,247440,141563,94080,178123
SPD_1363,498044,403974,329998,149009,449398
SPD_1364,146536,124064,104978,61773,81689
SPD_1365,872762,785417,624072,377476,574029
SPD_1366,943585,809623,636848,340870,643445
SPD_1367,2473395,1807199,1458093,817320,1532580
