,covR_Zn1,covR_Zn2,covR_Zn3,covR_Zn4
CHF17_RS02655,65430,78702,76710,62734
CHF17_RS02660,891,1626,1271,698
CHF17_RS02665,987,1499,1290,719
CHF17_RS02670,15472,10785,11669,9889
CHF17_RS02675,13505,13952,13311,13780
CHF17_RS02680,11175,11398,11063,11398
CHF17_RS02685,2388,3143,2324,1784
CHF17_RS02690,14889,20079,17027,10906
CHF17_RS02695,21244,26788,24216,15402
CHF17_RS02700,4182,3096,2297,1255
CHF17_RS02705,8,11,5,5
CHF17_RS02710,1612,1111,546,386
CHF17_RS02715,11,13,6,4
CHF17_RS02720,67,55,52,38
CHF17_RS02725,139,126,113,100
CHF17_RS02730,198,217,188,155
CHF17_RS02735,274,369,312,229
CHF17_RS02740,169,269,212,154
CHF17_RS02745,132,227,184,107
CHF17_RS02750,83,127,101,60
CHF17_RS02755,6090,6433,5934,4527
CHF17_RS02760,3056,3327,3353,2306
CHF17_RS02765,5807,6953,6493,4495
CHF17_RS02770,1297,1309,1240,1274
CHF17_RS02775,2962,2964,3254,2581
CHF17_RS02780,38965,26789,36682,33716
CHF17_RS02785,10557,7741,9984,8669
CHF17_RS02790,2594,1618,2420,2184
CHF17_RS02795,854,543,872,674
CHF17_RS02800,5026,3330,4938,4309
CHF17_RS02805,9600,6096,9509,7639
CHF17_RS02810,1708,1128,1768,1316
CHF17_RS02815,1148,1023,1211,1023
CHF17_RS02820,1534,1568,1707,1549
CHF17_RS02825,1095,959,1164,913
CHF17_RS02830,1350,1221,1487,1298
CHF17_RS02835,1464,1255,1658,1320
CHF17_RS02840,1887,1730,1964,1510
CHF17_RS02845,5184,4999,5196,4416
CHF17_RS02850,3000,3235,3112,2331
CHF17_RS02855,23344,44328,31887,23091
CHF17_RS02860,2770,2794,2759,2249
CHF17_RS02865,4675,4209,4777,4091
CHF17_RS02870,376636,287937,308996,213723
CHF17_RS02875,38,57,51,41
CHF17_RS02880,385,544,456,475
CHF17_RS02885,694,904,801,777
CHF17_RS02890,1615,1984,1792,1241
CHF17_RS02895,125,179,190,107
CHF17_RS02900,474,673,647,440
CHF17_RS02905,2263,2412,2281,2035
CHF17_RS02910,86133,99364,99195,73303
CHF17_RS02915,326,282,256,194
CHF17_RS02920,1816,1845,1789,1791
CHF17_RS02925,2363,2384,2382,2729
CHF17_RS02930,4120,4020,4132,4828
CHF17_RS02935,14146,14181,14312,16740
CHF17_RS02940,2969,2997,3207,3180
CHF17_RS02945,23,24,26,21
CHF17_RS02950,318,318,372,273
CHF17_RS02955,2171,2216,2046,1728
CHF17_RS02960,2262,2744,2435,1994
CHF17_RS02965,1099,1206,1170,803
CHF17_RS02970,7117,7185,7489,6695
CHF17_RS02975,1285,1513,1396,1235
CHF17_RS02980,3338,3858,3478,2814
