,WT1 reads,WT2 reads,metR1 reads,metR2 reads
SPD_0673,5,5,5,12
SPD_0674,37,32,2,9
SPD_0675,23,16,0,2
SPD_0676,72,83,50,59
SPD_0677,132,111,66,111
SPD_0678,275,284,195,264
SPD_0679,545,484,283,417
SPD_0680,213,203,94,155
SPD_0681,271,334,194,272
SPD_0682,206,44,27,34
SPD_0683,377,127,82,120
SPD_0684,305,338,50,81
SPD_0685,6252,5897,8489,12863
SPD_0686,250,233,51,83
SPD_0687,145,100,32,61
SPD_0688,400,267,122,238
SPD_0689,2026,1548,1445,2272
SPD_0690,2,2,3,0
SPD_0691,53,63,137,102
SPD_0692,189,220,549,568
SPD_0693,143,124,225,336
SPD_0694,10,11,3,15
SPD_0695,70,80,67,92
SPD_0696,51,41,25,54
SPD_0697,96,96,58,125
SPD_0698,119,138,72,117
SPD_0699,54,91,52,70
SPD_0700,4217,3942,947,1540
SPD_0701,1252,1354,310,497
SPD_0702,3366,3588,848,1390
SPD_0703,62,71,33,57
SPD_0704,575,491,230,331
SPD_0705,892,752,471,597
SPD_0706,269,155,53,98
SPD_0707,125,78,26,49
SPD_0708,166,89,65,65
SPD_0709,2029,1561,1092,1924
SPD_0710,3741,3247,1340,2232
SPD_0711,35,43,89,88
SPD_0712,104,119,251,276
SPD_0713,460,308,400,581
SPD_0714,1015,863,806,1061
SPD_0715,5,7,4,2
SPD_0716,84,126,86,109
SPD_0717,8676,8986,6308,10400
SPD_0718,68,74,24,45
SPD_0719,703,603,301,396
SPD_0720,719,616,328,621
SPD_0721,1365,1092,758,1219
SPD_0722,423,281,194,283
SPD_0723,226,260,87,72
SPD_0724,863,796,252,394
SPD_0725,345,396,110,153
SPD_0726,593,558,156,245
SPD_0727,704,778,200,314
SPD_0728,66,90,16,37
SPD_0729,460,375,95,162
SPD_0730,358,310,109,146
SPD_0731,32,30,42,69
SPD_0732,44,21,11,20
SPD_0733,236,173,112,185
SPD_0734,2,4,0,2
SPD_0735,62,72,38,34
SPD_0736,392,298,143,208
SPD_0737,219,195,87,145
SPD_0738,145,152,67,137
SPD_0739,1743,1280,891,1350
SPD_0740,422,346,80,106
SPD_0741,457,373,68,96
SPD_0742,432,340,73,107
SPD_0743,7,7,2,2
SPD_0744,9,10,4,2
SPD_0745,243,280,136,144
SPD_0746,721,707,228,424
SPD_0747,45,70,13,20
SPD_0748,1482,1399,138,230
SPD_0749,2476,1753,154,249
SPD_0750,1709,981,64,111
SPD_0751,1565,1163,82,121
SPD_0752,1716,1192,91,167
SPD_0753,835,354,56,81
SPD_0754,13,10,1,5
SPD_0755,1,1,0,0
SPD_0756,2,3,0,0
SPD_0757,5431,3579,1179,2237
SPD_0758,382,252,102,164
SPD_0759,70,61,13,21
SPD_0760,1408,1042,381,506
SPD_0761,20,39,10,9
SPD_0762,3367,3012,2588,4430
SPD_0763,8872,8119,8189,12128
SPD_0764,9952,8776,6796,11087
SPD_0765,1526,1701,980,1537
SPD_0766,11614,11143,7970,12477
SPD_0767,1012,1194,977,1608
SPD_0768,595,322,372,493
SPD_0769,8767,3800,7810,13640
SPD_0770,0,0,3,4
SPD_0771,96,122,40,61
SPD_0772,98,87,32,57
SPD_0773,397,248,285,503
SPD_0774,1269,1007,374,633
SPD_0775,635,1247,70,86
SPD_0776,850,934,188,357
SPD_0777,1063,865,213,382
SPD_0778,86,89,14,11
SPD_0779,31,45,5,2
SPD_0780,66,55,3,3
SPD_0781,286,174,16,16
SPD_0782,353,346,385,554
SPD_0783,116,146,97,162
SPD_0784,2202,1719,912,1481
SPD_0785,123,62,27,58
SPD_0786,32,30,21,28
SPD_0787,136,90,30,48
SPD_0788,1193,1187,654,834
SPD_0789,1230,884,362,567
SPD_0790,3399,2332,1232,1925
