,WT_Cu1,WT_Cu2,WT_Cu3,WT_Cu4
CHF17_RS02850,771,702,721,556
CHF17_RS02855,6394,6006,5214,5353
CHF17_RS02860,1872,1753,1945,1715
CHF17_RS02865,4621,3955,3882,3757
CHF17_RS02870,708280,553676,586227,353985
CHF17_RS02875,8,13,9,10
CHF17_RS02880,438,460,490,612
CHF17_RS02885,617,645,693,940
CHF17_RS02890,1157,1056,1205,1143
CHF17_RS02895,16,18,20,16
CHF17_RS02900,359,301,362,385
CHF17_RS02905,226,221,252,298
CHF17_RS02910,14173,13557,15190,14048
CHF17_RS02915,773,603,655,355
CHF17_RS02920,2993,2807,2810,2910
CHF17_RS02925,4505,4034,3894,4276
CHF17_RS02930,6622,5586,6017,7008
CHF17_RS02935,22211,17646,19272,22488
CHF17_RS02940,2263,2803,3005,3208
CHF17_RS02945,14,9,13,12
CHF17_RS02950,652,502,495,346
CHF17_RS02955,3975,3306,3656,2899
CHF17_RS02960,2831,3076,3403,2998
CHF17_RS02965,1110,996,1034,885
CHF17_RS02970,13643,13280,13750,12086
CHF17_RS02975,1667,1778,1594,1636
CHF17_RS02980,4915,4769,4974,3759
CHF17_RS02985,1926,2099,1981,1962
CHF17_RS02990,3931,3515,3898,2737
CHF17_RS02995,7912,7046,8045,5679
CHF17_RS03000,1002,1041,1169,880
CHF17_RS03005,4092,3300,3611,2748
CHF17_RS03010,11841,9811,10313,8112
CHF17_RS03015,5086,4377,4667,3683
CHF17_RS03020,1935,1941,2061,1735
CHF17_RS03025,2115,2041,2290,1828
CHF17_RS03030,1772,1639,1608,1562
CHF17_RS03035,337,384,344,382
CHF17_RS03040,184,147,194,198
CHF17_RS03045,23,18,15,25
CHF17_RS03050,79,111,104,104
CHF17_RS03055,186,175,202,194
CHF17_RS03060,2012,1684,1842,1603
CHF17_RS03065,627,605,595,585
CHF17_RS03070,778,409,473,300
CHF17_RS03075,14644,9717,10875,9315
CHF17_RS03080,7392,4973,5826,5301
CHF17_RS03085,113895,116280,127168,102440
CHF17_RS03090,11341,12286,13268,12660
CHF17_RS03095,9127,8456,8752,6737
CHF17_RS03100,7679,7107,7336,5698
CHF17_RS03105,8224,7281,7784,6016
CHF17_RS03110,36658,32082,34835,31134
CHF17_RS03115,44176,35376,41097,39891
CHF17_RS03120,21595,18768,20721,22611
CHF17_RS03125,19796,17916,20372,18925
CHF17_RS03130,6951,6311,7428,6238
CHF17_RS03135,24574,26206,29085,29183
CHF17_RS03140,29884,33655,35897,37049
CHF17_RS03145,63812,71549,74201,61549
CHF17_RS03150,6386,6511,6382,6098
CHF17_RS03155,2653,2452,2468,2226
CHF17_RS03160,16233,18793,22446,20081
CHF17_RS03165,4259,4479,4580,3575
CHF17_RS03170,1483,1401,1237,1232
CHF17_RS03175,1986,1633,1641,1549
CHF17_RS03180,21769,17797,19932,13553
CHF17_RS03185,8641,8311,8219,5897
CHF17_RS03190,8347,8382,8333,6501
CHF17_RS03195,8729,9205,10518,8548
CHF17_RS03200,1003,1042,1217,938
CHF17_RS03205,3929,3843,4349,3910
CHF17_RS03210,3069,3004,3431,3464
CHF17_RS03215,2210,2215,2336,2554
CHF17_RS03220,7167,7505,7786,8871
CHF17_RS03225,12845,12921,13786,11754
CHF17_RS03230,5253,5629,5932,5907
CHF17_RS03235,2405,2469,2776,2732
CHF17_RS03240,29189,31615,35381,26640
CHF17_RS03245,1828,1472,809,924
CHF17_RS03250,173459,113484,93268,67780
CHF17_RS03255,12275,13925,15376,13236
CHF17_RS03260,13507,14473,16228,13564
CHF17_RS03265,17784,18713,20384,16319
CHF17_RS03270,11653,12277,13271,10185
CHF17_RS03275,4290,4020,4357,3409
CHF17_RS03280,1624,1205,1486,948
CHF17_RS03285,39296,49759,66193,61785
CHF17_RS03290,1878,1928,2170,2635
CHF17_RS03295,642,557,526,564
CHF17_RS03300,2150,1722,1508,1473
CHF17_RS03305,15144,12256,14383,13019
CHF17_RS03310,9795,8321,9472,8517
CHF17_RS03315,20879,19437,19860,18974
CHF17_RS03320,2609,2659,2477,2457
CHF17_RS03325,5937,5672,6257,5696
CHF17_RS03330,5899,5727,6008,4900
CHF17_RS03335,6190,8516,9590,8562
CHF17_RS03340,8052,7561,7976,7054
CHF17_RS03345,18125,15496,16742,13002
CHF17_RS03350,25514,23223,24753,19543
CHF17_RS03355,7748,6381,6283,4800
CHF17_RS03360,13669,11311,11037,8166
CHF17_RS03365,1703,1693,1732,1704
CHF17_RS03370,5689,4795,4959,4210
CHF17_RS03375,8259,6534,7068,5843
