Synonym,Raw.Counts.Untreated.Replicate.1,Raw.Counts.Untreated.Replicate.2,Raw.Counts.Untreated.Replicate.3,Raw.Counts.Amp_treated_10min.Replicate.1,Raw.Counts.Amp_treated_10min.Replicate.2,Raw.Counts.Amp_treated_10min.Replicate.3,Raw.Counts.Amp_treated_20min.Replicate.1,Raw.Counts.Amp_treated_20min.Replicate.2,Raw.Counts.Amp_treated_20min.Replicate.3,Raw.Counts.Amp_treated_30min.Replicate.1,Raw.Counts.Amp_treated_30min.Replicate.2,Raw.Counts.Amp_treated_30min.Replicate.3
predicted RNA,28,19,17,34,21,23,16,35,21,38,28,25
SSA_0209,8609,7427,7762,11879,7734,8622,6497,12354,7574,6650,9038,8056
SSA_0210,608,588,643,222,366,293,105,142,159,49,75,79
SSA_0211,778,724,799,312,529,516,180,179,285,84,123,131
SSA_0212,2017,1895,2242,1162,1588,1321,586,832,826,370,670,605
SSA_0213,134,105,115,176,109,115,77,130,99,109,89,95
SSA_0214,8,7,9,5,2,5,2,7,8,5,6,5
SSA_0215,1440,1248,1324,866,927,993,520,849,753,553,882,607
SSA_0216,2337,2197,2169,2431,1969,2259,1384,2452,1858,1574,2332,1897
SSA_0217,1629,1463,1466,1799,1331,1843,1007,1760,1453,1230,1707,1568
SSA_0218,3347,3164,3334,4692,3049,3801,2541,4690,3155,2692,4209,3557
SSA_0219,1090,893,1043,2040,800,1110,546,1354,542,371,1346,640
SSA_0220,1450,1368,1416,3256,1215,1767,977,2745,963,1054,2931,1219
predicted RNA,94,83,77,193,63,101,57,177,64,63,197,66
SSA_0221,2816,2502,2717,7550,1967,2981,1945,6787,1743,2219,6707,3293
SSA_0222,4175,3984,4311,9028,2944,4667,3283,8696,3065,3242,9566,4809
predicted RNA,299,292,329,653,238,457,295,662,294,436,774,422
SSA_0224,1550,1388,1566,4182,992,1717,1200,3793,1103,1442,3816,1999
SSA_0225,3368,2516,2357,2750,1060,1553,872,2363,996,780,1764,917
SSA_0226,31188,23645,23226,28426,11394,16460,9303,25602,9931,7719,22898,11422
SSA_0227,2731,2745,2742,2939,1642,1938,1114,2689,1397,1204,2427,1461
SSA_0228,0,0,0,0,0,1,0,0,0,0,0,0
predicted RNA,57,58,61,110,59,91,45,79,56,44,55,58
SSA_0229,0,0,0,1,0,0,0,0,0,0,0,0
predicted RNA,198,177,216,397,206,343,167,286,196,338,181,202
SSA_0230,1148,1114,1162,2139,1072,1312,650,1315,892,907,621,620
predicted RNA,64,57,57,120,32,25,16,47,22,12,6,10
SSA_0231,7320,7616,7519,11384,8180,9743,5462,8582,7851,4462,5362,5752
SSA_0232,819,861,819,1557,873,1229,679,1317,837,702,770,817
SSA_0233,4264,4142,4377,7201,5148,6199,3304,5669,4926,2707,3658,3915
SSA_2472,3,8,3,3,6,7,1,3,4,1,3,1
SSA_0234,1544,1752,1789,1817,1336,1619,883,1446,1169,808,862,878
SSA_0235,4,3,1,8,0,1,1,2,5,5,6,4
SSA_2471,375,351,575,211,148,164,63,97,59,20,51,52
SSA_0236,444,423,454,373,352,383,222,321,300,222,198,272
SSA_0238,100,100,122,19,51,41,13,23,20,14,12,15
SSA_0239,96,100,133,36,85,64,27,34,42,27,30,37
SSA_0240,162,158,180,53,159,115,52,60,86,77,72,40
SSA_0241,623,660,720,342,616,565,358,377,416,284,404,353
SSA_0242,536,505,578,480,568,530,351,476,413,347,472,407
SSA_0243,1233,1440,1671,1178,1282,1494,759,999,918,849,874,1155
predicted RNA,137,114,195,654,117,157,275,593,190,147,376,326
SSA_0244,26,21,21,11,7,11,2,2,7,5,2,3
SSA_0245,20,29,32,3,15,17,6,6,8,6,5,4
SSA_0246,674,547,586,249,448,426,220,224,348,234,262,138
SSA_0247,5208,4562,4692,2499,3691,3945,2165,2572,3083,2178,3316,1988
SSA_0248,1812,1646,1580,964,1168,1405,737,956,1043,840,1275,746
SSA_0249,1629,1578,1468,1383,1137,1203,821,1269,1003,899,1375,837
SSA_0250,6449,6034,6590,3726,5428,5492,2707,3579,3966,2416,3723,3468
predicted RNA,247,215,225,154,156,233,121,130,159,73,180,154
SSA_0251,1252,1178,1215,1170,1060,1309,611,1020,939,540,912,816
SSA_0252,139,134,150,76,71,60,31,51,43,41,44,33
SSA_0253,23,27,18,46,16,24,16,36,18,27,40,17
SSA_0254,34,37,48,11,22,20,8,9,16,8,12,15
SSA_0255,18,28,24,4,16,5,3,5,6,6,3,5
SSA_0256,552,647,581,706,493,561,270,487,400,256,314,315
SSA_0257,8686,8070,8302,7146,7513,8366,4586,6785,6259,5020,5782,5552
SSA_0258,404,398,395,351,298,310,196,347,239,190,276,276
SSA_0259,2091,1667,1682,6601,3895,5029,3003,5384,3853,3710,3220,4596
predicted RNA,74,68,61,149,58,106,64,147,98,110,143,106
SSA_0260,27184,25584,24987,48135,25314,35246,27782,51532,35667,37510,47667,49202
SSA_0261,21606,21184,22331,38169,22606,29014,21861,43353,28274,34626,36523,36238
SSA_0262,20101,19506,20845,31481,19136,21812,19434,34151,21392,23066,29534,26103
SSA_0263,3779,3510,3728,4354,3494,4175,2571,4036,3394,2585,3072,3426
SSA_0264,558,509,647,3889,775,1670,2037,3671,1856,1882,2908,2359
predicted RNA,2,5,3,44,3,12,16,53,15,21,37,26
SSA_0265,118,102,122,257,94,117,117,189,124,121,157,131
SSA_0266,284,286,302,531,227,316,262,434,261,222,371,316
