GeneID,X51122,X51123,X51124,X51125,X51126,X51127,X51128,X51129,X51130,X51131,X51132,X51133
EW021_RS04955,2608,2665,2813,2730,2203,2738,1267,2893,877,807,755,988
EW021_RS04960,3335,3439,2876,3694,3165,3556,971,3296,943,674,704,1307
EW021_RS04965,1165,1758,1753,1913,1096,943,1380,3663,1193,765,674,1509
EW021_RS04970,1193,1656,1327,2193,1218,999,2515,3700,2102,1309,1368,2324
EW021_RS04975,413,569,384,895,412,295,381,1606,517,187,169,505
EW021_RS04980,9337,5676,6780,6075,6742,5681,4804,4025,3278,2089,3409,4365
EW021_RS04985,3330,3824,2582,3860,2936,3284,1443,4918,1732,1120,974,4397
EW021_RS04990,3807,4088,2660,4426,4253,3899,1282,4528,1590,938,794,3938
EW021_RS04995,1372,1293,1621,1852,1178,1140,446,2964,569,387,284,625
EW021_RS05000,8027,5653,13470,8800,5328,4564,1233,4789,1056,698,614,1511
EW021_RS05005,4581,2816,6158,4957,3533,3258,804,2197,652,435,464,827
EW021_RS05010,3455,3133,6126,3466,2984,2146,4718,6648,3185,2875,3859,4651
EW021_RS05015,253,390,511,690,384,281,736,2196,906,721,1369,1236
EW021_RS05020,473,478,719,788,595,406,37,2082,287,88,27,247
EW021_RS05025,6786,5239,7970,8984,6824,6538,2890,2596,2407,1106,1817,3638
EW021_RS05030,17098,16330,6451,24474,23007,23446,127944,26827,120851,58674,154866,129522
EW021_RS05035,5817,5420,2037,8395,7362,7550,43914,9425,38797,19039,52824,41762
EW021_RS05040,18601,19097,6953,28277,25424,24283,124022,27052,119536,66230,178006,132825
EW021_RS05045,2909,3264,1143,4684,4165,3790,13017,4131,15402,10360,28021,18467
EW021_RS05050,19658,21996,7526,30596,27461,22370,61460,20295,76305,60157,152375,83186
EW021_RS05055,20747,17632,8097,20161,22339,18696,15943,5571,19375,17887,50574,20536
EW021_RS05060,1098,1428,1450,1730,1437,1065,924,5113,1114,1066,899,1751
EW021_RS05065,1485,1971,1296,2251,1337,933,190,3096,600,253,174,466
EW021_RS05070,1961,2369,2445,2729,2193,1370,531,4332,914,451,550,881
EW021_RS05075,4152,3582,6355,4081,4313,3229,446,2179,524,366,189,416
EW021_RS05080,23632,21553,35610,19059,9333,10974,711,2849,570,343,204,670
EW021_RS05085,14064,10446,15005,10080,5520,6918,594,1446,443,311,204,431
EW021_RS05090,12009,8260,9521,10402,7322,7974,224,4028,886,238,104,771
EW021_RS05095,5759,4791,3817,5036,3338,3173,236,1486,307,116,85,351
EW021_RS05100,26118,22345,31841,17061,14901,11752,16420,8180,9229,6781,7284,10607
EW021_RS05105,4519,4775,3114,4604,3400,2409,1725,1647,2655,962,2430,2963
EW021_RS05110,52788,41743,52274,39669,47121,41522,53233,37415,37989,36207,32103,36090
EW021_RS05115,19616,13059,15318,17609,23923,20091,10957,7333,5796,6136,6282,8452
EW021_RS05120,11204,10132,7938,9893,8577,7895,10127,14470,7247,6843,8693,14700
EW021_RS05125,772,438,1029,780,463,500,673,719,642,159,255,365
EW021_RS05130,1985,1115,4378,1959,786,675,1421,955,1367,267,463,693
EW021_RS05135,2267,1888,7717,3187,1325,974,1000,1940,1553,319,429,823
