GeneID,X50274,X50275,X50276,X50289,X50290,X50291,X50304,X50305,X50306,X50319,X50320,X50321,X50334,X50335,X50336,X50349,X50350,X50351
EQB47_RS06035,1819,8533,8540,3412,11179,9114,2054,7593,4993,3252,8425,8298,1689,7704,8162,2279,10049,6791
EQB47_RS06040,1223,10267,10759,2357,13805,11316,1271,9328,5900,2704,10055,10290,1195,9101,10717,1716,13051,8171
EQB47_RS06045,5,138,75,13,133,92,6,93,47,10,78,65,4,92,106,8,138,75
EQB47_RS06050,755,18446,10582,2132,16889,11990,1016,13531,7725,992,9852,6873,610,13813,15744,836,19151,9589
EQB47_RS00610,220,44,116,254,71,70,267,47,74,280,56,68,179,27,107,259,59,80
EQB47_RS06055,1810,701,1283,2264,1116,2063,1761,593,756,2461,616,1251,1436,339,1965,1840,1119,1108
EQB47_RS06060,2471,887,1485,2606,1365,2451,2411,741,817,3240,775,1391,2000,482,2310,2356,1379,1223
EQB47_RS06065,3621,1486,2866,4415,2348,3873,3530,1486,1702,4711,1284,2293,2867,953,4415,3518,2399,2252
EQB47_RS06070,2105,713,916,2836,1107,1038,2266,631,539,2841,634,729,1741,524,982,2620,978,622
EQB47_RS06075,4897,1434,1511,4216,1904,1614,4743,983,875,6468,1262,1210,3649,899,1526,5270,1399,1052
EQB47_RS06080,721,1205,1249,893,1640,1355,1069,989,696,1147,1261,1076,765,958,1378,896,1439,933
EQB47_RS06085,535,884,882,543,1109,1007,651,652,458,766,850,809,536,712,755,529,978,622
EQB47_RS06090,683,1064,1121,926,1331,1243,889,774,605,1049,1087,1065,746,781,1037,772,1151,751
EQB47_RS06095,2706,4312,4710,4224,5338,4821,4211,3205,2536,4304,4262,4354,2999,3221,4172,3313,4726,3336
EQB47_RS06100,842,492,559,1560,486,421,1081,209,269,1185,361,327,713,388,303,870,290,328
EQB47_RS00615,40,28,36,48,39,30,36,16,19,54,37,33,28,26,36,45,26,39
EQB47_RS06105,49067,46886,39776,52696,53752,26249,50511,18690,11464,68465,27150,18834,44570,23667,17348,56907,23438,13041
EQB47_RS06110,21693,18380,13651,22490,17827,9894,23600,6297,4438,31091,9584,6578,19464,8758,6588,24674,7564,5376
EQB47_RS06115,32327,22708,21450,47316,24330,22511,35673,11168,9671,43161,15632,17495,30151,12925,14745,37962,15414,11126
EQB47_RS06120,1531,5099,7933,3420,8198,7046,1988,5060,4361,2330,6126,5399,1636,5209,7086,1757,7092,5459
EQB47_RS06125,736,2495,3754,1632,4215,3639,992,2412,2004,1172,3177,2898,878,2339,3487,848,3693,2612
EQB47_RS06130,762,2146,3300,1710,3617,3550,959,2051,1610,1194,2516,2581,879,1985,3477,937,3254,2273
EQB47_RS06135,3433,5979,9456,6386,10160,11174,4301,5982,5261,5190,7090,8603,3686,5296,10200,4023,9605,7032
EQB47_RS06140,262,227,456,452,396,469,279,227,259,390,287,367,210,192,462,254,344,289
EQB47_RS06150,1018,4063,2368,2410,2876,1557,1744,2033,1063,1324,1813,772,803,2242,3058,1299,3008,1350
EQB47_RS00620,18,32,26,23,35,41,30,21,18,31,40,18,20,12,32,24,33,27
EQB47_RS06155,723,412,912,1076,841,1013,853,545,447,1122,547,771,726,399,1130,935,814,568
EQB47_RS06160,621,326,667,849,626,1019,648,402,331,918,408,754,558,293,833,699,667,502
EQB47_RS06165,1384,971,1649,2022,1433,1475,1385,823,689,1960,1257,1179,975,825,1405,1196,1128,892
EQB47_RS06170,828,630,1003,1087,958,881,823,536,450,1095,749,839,569,540,832,622,741,616
EQB47_RS06175,398,319,500,536,501,532,358,253,233,509,368,455,258,259,496,294,408,295
EQB47_RS06180,1713,1565,2327,2688,2341,2443,1801,1321,1089,2307,1917,2021,1320,1273,2374,1443,2067,1465
EQB47_RS06185,1660,1564,2352,2522,2488,2638,1791,1394,1223,2419,1985,2208,1347,1435,2445,1374,2317,1644
EQB47_RS06190,1083,848,1257,1435,1328,1435,1062,761,641,1515,1029,1145,800,646,1366,835,1169,893
EQB47_RS06195,4544,2391,3068,3605,3120,2686,5094,1850,1684,6074,2678,2169,3651,1691,3090,5063,2661,2208
EQB47_RS06200,1442,1646,1976,1481,2212,1839,1626,1238,1183,1984,1680,1433,1148,1121,1889,1377,1750,1414
EQB47_RS00625,6,5,7,9,13,7,7,9,6,8,10,10,4,12,12,6,7,5
EQB47_RS06205,33663,9543,12914,54539,13354,17367,45634,9106,7545,55048,10312,14591,31236,8163,16656,46432,13098,12496
EQB47_RS06210,11728,3196,4374,18286,4542,5933,14314,2676,2347,18637,3133,5040,9344,2827,5545,13194,3965,4048
EQB47_RS06215,296,519,549,1617,604,600,208,360,328,431,499,433,124,424,487,157,362,341
EQB47_RS06220,6607,11348,12601,18553,15233,11593,5731,7723,6008,9239,11226,9084,4585,8093,8596,5939,9234,6898
EQB47_RS06225,7529,14305,15748,22297,19261,15204,6741,9619,7786,10306,14154,11729,5709,10235,11525,7162,12279,8903
EQB47_RS06230,8968,14206,15609,24652,18841,15377,7579,8693,7353,12461,14173,12190,6467,8882,11582,7940,10844,8771
EQB47_RS06235,10443,18157,20162,30757,23802,19271,9178,10846,9473,14488,17530,15127,7359,10940,14667,9810,13849,11287
EQB47_RS06240,4942,11145,12532,16245,14661,11316,3896,6139,6148,6658,10988,9305,3065,6481,8968,3899,7596,7187
EQB47_RS06245,3923,3457,3801,4874,4787,3943,4123,2486,1951,5679,3574,3296,3107,2617,3073,3922,3757,2452
EQB47_RS06250,3613,1935,2187,4374,2771,2367,3678,1478,1184,5179,2035,1942,2958,1470,1888,3757,2150,1400
EQB47_RS00630,1553,735,946,1936,1272,980,1859,809,596,2363,1043,902,1534,666,1043,1682,1184,807
EQB47_RS06255,3457,2500,2880,4466,3399,3087,3603,2050,1613,5105,2621,2398,2624,1868,2649,3539,2835,1885
EQB47_RS06260,64692,13157,10638,25854,47029,12147,115198,35330,6609,133183,49133,10039,86948,27043,13517,133524,47813,8864
EQB47_RS06265,17540,3653,2966,5692,9781,3301,29234,7648,1865,32813,10302,2750,22217,6446,3629,32211,12784,2516
EQB47_RS06270,7404,2472,2130,3444,6196,2272,13202,4757,1289,13248,6314,1946,9672,4058,2572,14447,8760,1799
EQB47_RS06275,3245,997,856,1462,1987,879,5574,1758,586,5166,2017,699,4102,1500,998,6302,3443,691
EQB47_RS06280,1588,6438,7077,2371,6943,5916,1628,4605,3871,2376,6133,5062,1284,5422,5782,1536,5428,4988
