,Acidic 1,Acidic 2,Neutral 1,Neutral 2,Neautral 3,Basic 1,Basic 2
fig|6666666.230262.peg.1298,7,3,12,9,23,15,13
fig|6666666.230262.peg.1299,141,117,218,128,200,280,194
fig|6666666.230262.peg.13,23,26,48,23,47,77,51
fig|6666666.230262.peg.130,158,123,126,70,141,211,145
fig|6666666.230262.peg.1300,279,200,395,226,390,435,410
fig|6666666.230262.peg.1301,94,74,134,87,159,239,181
fig|6666666.230262.peg.1302,546,395,670,387,741,1009,781
fig|6666666.230262.peg.1303,15,10,23,14,22,29,28
fig|6666666.230262.peg.1304,4211,3018,2835,1927,2505,3947,3313
fig|6666666.230262.peg.1305,19,16,44,22,48,53,55
fig|6666666.230262.peg.1306,22,16,34,22,36,55,54
fig|6666666.230262.peg.1307,86,57,91,61,109,195,136
fig|6666666.230262.peg.1308,272,196,508,288,529,813,640
fig|6666666.230262.peg.1309,507,342,615,359,705,1004,755
fig|6666666.230262.peg.131,161,133,130,84,151,302,187
fig|6666666.230262.peg.1310,215,184,351,217,350,473,362
fig|6666666.230262.peg.1311,131,72,186,131,233,305,216
fig|6666666.230262.peg.1312,132,89,158,109,154,261,249
fig|6666666.230262.peg.1313,213,176,416,241,444,551,422
fig|6666666.230262.peg.1314,219,185,215,123,235,343,267
fig|6666666.230262.peg.1315,356,314,465,246,394,670,538
fig|6666666.230262.peg.1316,14,14,19,9,20,46,28
fig|6666666.230262.peg.1317,8,3,21,18,25,42,42
fig|6666666.230262.peg.1318,4,1,12,3,15,28,26
fig|6666666.230262.peg.1319,2,1,5,2,4,12,8
fig|6666666.230262.peg.132,299,210,227,127,196,411,320
fig|6666666.230262.peg.1320,128,61,75,49,96,111,73
fig|6666666.230262.peg.1321,37,48,55,27,57,61,64
fig|6666666.230262.peg.1322,38,40,60,38,67,80,60
fig|6666666.230262.peg.1323,84,59,100,65,101,144,110
fig|6666666.230262.peg.1324,77,74,174,113,239,327,215
fig|6666666.230262.peg.1325,47,21,24,19,57,64,43
fig|6666666.230262.peg.1326,102,100,196,122,211,253,197
fig|6666666.230262.peg.1327,30,17,94,56,110,145,116
fig|6666666.230262.peg.1328,8,11,17,8,23,32,29
fig|6666666.230262.peg.1329,30,17,30,18,35,46,48
fig|6666666.230262.peg.133,256,158,203,142,172,433,355
fig|6666666.230262.peg.1330,18,14,20,10,20,32,29
fig|6666666.230262.peg.1331,5,8,4,1,8,13,4
fig|6666666.230262.peg.1332,0,0,0,0,3,0,2
fig|6666666.230262.peg.1333,65,45,111,77,128,162,112
fig|6666666.230262.peg.1334,8,7,14,9,22,27,17
fig|6666666.230262.peg.1335,1,1,9,5,9,13,4
fig|6666666.230262.peg.1336,11,6,14,9,18,24,16
fig|6666666.230262.peg.1337,1,0,2,2,5,3,3
fig|6666666.230262.peg.1338,23,11,21,11,35,40,41
fig|6666666.230262.peg.1339,39,34,53,41,64,93,66
fig|6666666.230262.peg.134,64,54,60,41,54,124,92
fig|6666666.230262.peg.1340,36,14,53,29,49,78,71
fig|6666666.230262.peg.1341,123,80,153,113,166,267,206
fig|6666666.230262.peg.1342,33,21,46,35,49,74,52
fig|6666666.230262.peg.1343,212,181,334,212,379,496,379
fig|6666666.230262.peg.1344,83,53,53,25,55,105,85
fig|6666666.230262.peg.1345,22,27,56,24,51,95,67
fig|6666666.230262.peg.1346,66,46,81,51,87,185,122
fig|6666666.230262.peg.1347,72,59,112,59,140,165,130
fig|6666666.230262.peg.1348,265,206,332,213,293,436,326
fig|6666666.230262.peg.1349,199,163,140,110,100,136,144
fig|6666666.230262.peg.135,693,545,578,317,493,949,896
fig|6666666.230262.peg.1350,109,83,127,90,152,220,177
fig|6666666.230262.peg.1351,286,227,279,153,335,449,372
fig|6666666.230262.peg.1352,248,197,330,205,407,528,436
fig|6666666.230262.peg.1353,32,35,30,18,37,54,41
fig|6666666.230262.peg.1354,5,2,11,9,13,28,18
fig|6666666.230262.peg.1355,56,37,68,36,51,101,73
fig|6666666.230262.peg.1356,206,160,139,73,118,185,139
fig|6666666.230262.peg.1357,144,93,150,90,141,257,178
fig|6666666.230262.peg.1358,91,60,71,41,72,137,116
fig|6666666.230262.peg.1359,67,58,120,56,145,203,126
fig|6666666.230262.peg.136,2,4,1,2,4,7,8
fig|6666666.230262.peg.1360,50,25,45,30,61,91,63
fig|6666666.230262.peg.1361,39,34,40,24,41,53,34
