,273_lact_rep1,273_lact_rep2,273_scfm_rep1,273_scfm_rep2,275_lact_rep1,275_lact_rep2,275_scfm_rep1,275_scfm_rep2,K297A_lact_rep1,K297A_lact_rep2,K297A_scfm_rep1,K297A_scfm_rep2
SMLT_RS03240,333,322,155,172,398,325,197,80,476,480,199,195
SMLT_RS03245,379,416,341,369,432,403,386,185,668,553,341,394
SMLT_RS03250,1121,1431,1251,1146,1053,881,567,343,435,433,946,834
SMLT_RS03255,5129,5753,2340,2744,6591,4755,1177,842,1143,696,785,744
SMLT_RS03270,2070,2778,346,375,21233,22467,698,889,12703,8352,1025,1016
SMLT_RS03275,2669,2533,1083,1252,3629,3456,1290,857,2859,2709,1428,1475
SMLT_RS03280,956,911,453,504,914,943,285,162,1117,988,549,514
SMLT_RS03285,1341,1376,582,600,1634,1509,379,372,1250,949,525,508
SMLT_RS03295,244,296,192,213,274,282,108,147,351,318,163,201
SMLT_RS03300,262,309,217,260,233,257,87,83,342,348,192,197
SMLT_RS03305,720,614,307,415,588,599,249,179,865,982,443,467
SMLT_RS03310,1093,992,584,684,1160,1196,490,460,1474,1574,701,676
SMLT_RS03320,491,464,305,309,584,603,195,107,543,437,255,316
SMLT_RS03325,2697,2749,1497,1859,3164,2990,1025,684,2705,2337,1462,1533
SMLT_RS03335,290,345,303,358,452,386,335,196,673,544,281,319
SMLT_RS03340,532,540,690,896,772,688,1102,613,781,695,754,668
SMLT_RS03345,2986,3438,1980,2279,1759,1665,937,394,2287,2251,1472,1331
SMLT_RS03360,123,359,7413,6034,43,35,83,18,32045,31430,18907,22926
SMLT_RS03375,452,472,309,362,2702,1699,223,115,545,631,205,203
