,CF AU1054,Soil AU1054,CF HI2424,Soil HI2424,CF AU1054,Soil AU1054,CF HI2424,Soil HI2424
Bcen_0447,1,7,43,7,109,258,5,44
Bcen_0448,3,29,84,19,215,448,10,98
Bcen_0449,1,3,8,0,33,66,0,6
Bcen_0450,3,12,15,1,22,55,1,13
Bcen_0451,7,9,9,5,13,35,2,14
Bcen_0452,54,41,80,25,77,131,26,31
Bcen_0453,0,3,15,2,35,80,1,11
Bcen_0454,0,8,17,2,115,124,3,30
Bcen_0455,2,11,15,0,67,72,3,29
Bcen_0456,1,8,8,0,119,97,1,32
Bcen_0457,0,5,26,0,137,139,5,28
Bcen_0458,0,6,17,2,164,180,2,43
Bcen_0459,0,2,17,0,101,105,5,35
Bcen_0460,0,3,11,0,80,70,0,18
Bcen_0461,0,1,5,0,69,74,2,23
Bcen_0462,0,3,9,0,68,61,3,11
Bcen_0463,0,4,13,0,44,68,1,13
Bcen_0464,0,1,6,0,43,37,0,12
Bcen_0465,1,4,10,0,102,86,3,27
Bcen_0466,2,11,24,3,99,138,3,29
Bcen_0467,0,4,7,2,30,27,1,21
Bcen_0468,1,7,13,2,30,35,4,13
Bcen_0469,6,11,33,4,90,89,5,33
Bcen_0470,3,6,6,0,95,77,3,32
Bcen_0471,4,7,7,0,32,44,2,13
Bcen_0472,3,3,9,3,75,75,2,25
Bcen_0473,10,9,46,6,131,190,10,47
Bcen_0474,4,9,73,5,123,119,18,60
Bcen_0475,8,5,53,5,133,156,6,49
Bcen_0476,5,7,32,18,55,60,16,29
Bcen_0477,40,22,46,40,81,94,21,47
Bcen_0478,27,34,65,19,127,151,23,60
Bcen_0479,8,15,34,17,61,98,5,44
Bcen_0480,2,4,43,8,77,109,8,24
Bcen_0481,7,6,31,2,162,143,26,38
Bcen_0482,24,11,54,9,143,143,30,35
Bcen_0483,4,2,17,3,32,68,2,20
Bcen_0484,7,16,28,3,54,140,3,14
Bcen_0485,0,9,20,2,129,133,6,47
Bcen_0486,43,12,201,6,251,255,120,85
Bcen_0487,29,7,29,0,100,79,50,27
Bcen_0488,45,26,182,10,166,219,68,87
Bcen_0489,197,13,163,6,204,161,315,39
Bcen_0490,63,5,129,0,100,120,64,32
Bcen_0491,48,7,112,0,84,103,77,26
Bcen_0492,44,3,154,0,177,170,80,42
Bcen_0493,3,2,13,0,65,72,4,28
Bcen_0494,3,5,6,2,68,81,6,21
Bcen_0495,48,31,65,14,122,134,32,40
Bcen_0496,11,30,112,17,233,269,23,76
Bcen_0497,10,11,34,12,119,92,18,42
Bcen_0498,3,7,45,10,145,151,10,39
Bcen_0499,1,7,7,0,36,26,0,8
Bcen_0500,16,20,90,15,163,208,23,66
Bcen_0501,1,11,54,1,138,198,5,42
Bcen_0502,2,3,12,5,35,58,1,16
Bcen_0503,15,29,33,7,72,84,10,69
Bcen_0504,10,15,38,10,79,75,4,32
Bcen_0505,23,19,96,27,95,158,23,33
Bcen_0506,6,2,11,3,24,28,5,7
Bcen_0507,1,1,13,0,43,56,4,9
Bcen_0508,1,2,2,1,20,14,2,4
Bcen_0509,6,26,42,9,133,209,3,38
Bcen_0510,4,5,27,1,92,106,2,70
Bcen_0511,4,8,6,2,19,23,1,7
Bcen_0512,1,17,40,0,142,143,9,52
Bcen_0513,1,7,14,5,57,41,1,19
Bcen_0514,2,11,8,0,27,43,3,9
Bcen_0515,1,3,11,1,36,36,2,12
Bcen_0516,5,2,44,3,147,161,10,44
Bcen_0517,6,3,22,6,79,63,5,26
Bcen_0518,15,5,29,4,133,144,13,26
