,WT_3,WT_2,WT_3,BvrS_1,BvrS_2,BvrS_3,BvrR_2,BvrR_1,BvrR_3,BvrSR_1,BvrSR_2,BvrSR_3
BPSL0176,4124,4299,3374,4147,2310,4290,1836,896,1911,1617,2073,2037
BPSL0177,2154,1984,2978,2581,1039,2173,878,941,1041,1657,1178,1092
BPSL0178,1071,917,1317,1279,584,1036,420,494,530,867,521,591
BPSL0179,505,487,509,664,280,479,243,241,323,391,219,273
BPSL0180,1536,1567,1453,1866,871,1520,571,758,702,589,857,633
BPSL0181,559,571,573,743,388,622,276,297,257,232,350,287
BPSL0184,127,103,149,136,43,167,67,75,89,117,38,68
BPSL0185,274,189,493,252,200,460,137,244,224,430,160,227
BPSL0190,1172,922,1629,1873,706,1216,579,979,758,1002,519,670
BPSL0191,961,897,1407,1456,576,1041,498,792,638,769,476,534
BPSL0193,116,134,155,98,52,115,54,72,66,80,55,48
BPSL0194,822,667,1099,1017,472,955,461,628,633,762,429,472
BPSL0195,1049,892,1590,1112,573,1234,571,808,769,1091,511,682
BPSL0196,461,448,474,587,239,452,232,202,256,238,242,267
BPSL0199,523,400,724,794,360,819,297,384,428,427,249,288
BPSL0201,1989,1770,2695,2704,1456,2565,934,1483,1228,1719,1217,1222
BPSL0202,7003,6530,8026,12319,6442,8222,4782,5966,5056,5072,3918,4572
BPSL0205,3292,2940,3704,2590,1502,2347,1282,1320,1306,2011,1467,1798
BPSL0206,5986,6033,9326,6281,3670,4692,2482,4696,2958,4778,2904,3192
BPSL0207,431,336,627,452,190,431,170,278,232,366,230,243
BPSL0209,477,370,669,473,290,570,193,306,237,464,297,328
BPSL0211,2959,4472,3054,6699,3550,3777,2546,768,1732,1276,1800,1231
BPSL0212A,2745,2346,2443,1851,848,1708,822,833,1033,821,1042,806
BPSL0213,4049,3798,3584,5068,2061,3271,1846,1840,1898,1481,1647,1519
BPSL0214,271,211,279,244,123,207,120,91,159,153,126,110
BPSL0215,3740,3749,3601,3642,1674,2987,1576,1660,1662,1416,1727,1604
BPSL0216,402,550,191,83,83,159,72,21,62,23,202,148
BPSL0217,112,117,160,143,78,144,66,67,90,108,84,85
BPSL0218,922,840,852,816,464,821,396,396,354,474,478,434
BPSL0219,571,683,485,635,386,495,297,258,273,207,274,283
BPSL0220,2123,1635,2082,1531,787,1580,742,789,719,923,902,842
BPSL0224,1269,1261,1097,808,521,809,361,239,330,323,627,491
BPSL0225,891,1008,1209,3373,1766,2260,754,1289,1081,711,521,451
BPSL0233,1425,2259,1865,3315,2175,2349,1453,566,914,871,1179,766
BPSL0234,908,1042,1190,1618,953,1524,521,301,594,756,689,488
BPSL0235,131,173,149,258,144,173,96,30,76,80,99,70
BPSL0236,171,168,215,261,101,172,76,110,102,104,115,87
BPSL0237,921,851,1060,1284,569,1133,456,545,621,604,534,447
BPSL0238,949,657,1603,838,398,912,355,445,520,999,410,590
BPSL0239,5676,5604,3973,4886,2939,4315,2626,1569,2018,1749,2534,2525
BPSL0242,372,277,472,357,238,479,135,281,185,292,213,238
BPSL0243,1217,966,1568,933,696,1107,494,942,509,800,591,595
BPSL0244,1489,1383,1883,1090,988,1580,589,881,678,873,806,750
BPSL0245,1832,1643,1214,1695,1214,1508,734,567,674,521,802,870
BPSL0246,5111,4435,5225,4444,1950,3366,1545,1643,1452,2038,2220,2183
BPSL0247,8723,6906,8236,8547,4067,7721,2282,1247,3192,3432,3861,4655
BPSL0248,532,499,535,565,245,429,157,162,188,166,248,230
BPSL0254,1396,1219,1698,1276,1003,1715,786,662,823,724,670,762
BPSL0255,632,633,614,520,236,406,262,303,229,305,325,309
BPSL0256,408,368,428,386,201,245,138,251,145,223,227,169
BPSL0257,1562,1490,1871,1830,841,1458,631,908,761,863,867,732
