,WT_3,WT_2,WT_3,BvrS_1,BvrS_2,BvrS_3,BvrR_2,BvrR_1,BvrR_3,BvrSR_1,BvrSR_2,BvrSR_3
BPSS0819,156,192,60,29,13,38,15,8,28,20,98,39
BPSS0820,663,840,321,116,100,180,96,31,72,72,392,166
BPSS0821,236,303,104,52,35,49,29,8,20,4,152,70
BPSS0822,251,254,113,75,47,81,39,37,39,39,164,77
BPSS0823,408,432,221,91,63,124,73,35,56,68,235,95
BPSS0824,237,291,149,87,78,108,49,31,53,35,135,81
BPSS0825,272,313,176,151,92,160,71,61,103,84,163,96
BPSS0826,959,957,802,587,461,659,448,298,407,369,503,506
BPSS0827,13253,12922,13059,12247,5314,7835,5653,3767,5739,4969,5082,5182
BPSS0828,403,448,460,619,407,693,508,309,567,206,222,186
BPSS0829,1199,670,2438,1209,806,1702,445,217,872,1877,376,834
BPSS0830,651,534,593,680,357,595,373,400,435,351,251,283
BPSS0831,289,295,229,273,68,131,135,244,109,117,147,105
BPSS0832,853,840,1157,830,675,692,363,846,392,747,597,522
BPSS0833,1626,1539,1587,1452,1226,1022,804,1743,768,1036,932,915
BPSS0834,677,693,583,684,495,429,373,592,290,366,385,356
BPSS0835,2643,2555,2517,2679,1351,2094,1104,927,1261,1020,1365,1237
BPSS0836,2773,2441,2340,2690,1879,1974,1328,2502,1485,1458,1487,1339
BPSS0837,6494,5753,6519,3772,4603,4393,2385,5151,2306,3570,4108,3963
BPSS0838,3624,3219,3390,2151,2349,1911,1284,2728,1164,1865,2050,1817
BPSS0839,15066,13432,12483,11055,10784,9105,6798,14400,6193,8531,8331,8662
BPSS0840,9794,7337,9601,7075,6963,6401,3931,6035,3216,3883,4783,6251
BPSS0841,973,789,1216,856,496,993,411,455,576,672,466,511
BPSS0842,323,229,377,396,164,335,154,212,236,253,143,152
BPSS0843,121,106,172,151,77,178,40,89,93,86,80,77
BPSS0844,267,250,243,391,153,330,165,162,197,137,163,131
BPSS0846,460,401,389,710,263,389,249,168,181,185,180,186
BPSS0847,398,370,533,531,224,382,173,206,183,226,213,209
BPSS0848,47,61,49,59,24,33,23,20,21,23,33,26
BPSS0849,32,32,41,34,18,31,19,21,22,21,27,17
BPSS0850,4,5,7,7,3,4,3,3,4,4,3,2
BPSS0851,22,34,24,24,10,26,11,9,10,10,15,9
BPSS0852,648,493,807,2141,622,1944,573,1167,1154,376,305,323
BPSS0853,381,322,433,869,221,713,265,463,416,209,172,155
BPSS0854,142,95,284,194,84,171,64,101,120,167,90,79
BPSS0855,791,636,770,756,361,783,342,546,551,464,330,307
BPSS0856,843,735,1003,1052,511,1107,403,740,682,544,494,469
BPSS0857,468,520,489,651,321,595,243,318,305,257,252,250
BPSS0860,35894,36344,46421,44012,23512,33587,13596,14337,17646,22801,17676,18571
BPSS0861,449,394,732,496,227,425,169,208,272,399,229,251
BPSS0862,149,142,192,157,73,130,67,83,101,100,84,69
BPSS0864,8249,8965,6668,7471,4204,6268,4384,3382,4431,1922,3982,3246
BPSS0865,393,410,414,337,172,361,189,141,199,172,207,161
BPSS0866,117,96,133,79,56,130,43,47,68,66,60,49
BPSS0867,34,27,52,36,15,36,24,14,21,26,22,18
BPSS0869,94,95,101,146,46,71,61,68,61,44,52,45
BPSS0870,35,45,48,44,14,27,20,22,20,17,20,16
BPSS0871,29,26,42,26,14,31,11,13,16,19,16,18
BPSS0872,461,481,521,477,201,373,183,183,208,149,245,206
BPSS0873,50,49,51,31,22,37,21,16,30,24,29,21
BPSS0874,27,23,19,29,11,20,16,6,10,5,10,17
BPSS0875,188,168,213,235,94,186,104,102,132,102,92,78
BPSS0876,343,342,339,328,173,357,195,181,230,180,152,112
BPSS0877,1198,1237,981,1303,797,1363,755,666,810,390,581,440
BPSS0878,180,205,175,147,92,210,78,60,111,61,88,72
BPSS0879,233269,244302,324259,405237,206484,345348,163951,199272,230871,167188,106465,117985
BPSS0880,1147,1274,1517,1185,557,1101,564,356,772,656,521,532
BPSS0881,5453,5946,3696,3142,2330,4764,2323,712,2716,972,2270,1991
BPSS0882,7041,7461,4938,4802,3187,5718,3158,1414,2848,1361,3121,2913
BPSS0884,3887,3516,3380,4314,1849,3897,1468,1416,2007,1371,2189,1709
BPSS0886,1355,1338,1394,1196,724,1033,469,447,595,559,671,612
BPSS0888,211,185,223,184,105,171,135,105,130,187,100,104
BPSS0889,450,280,432,506,170,496,178,295,295,247,164,166
BPSS0890,750,675,692,944,296,768,392,602,588,335,227,300
BPSS0891,745,652,700,1030,585,746,463,658,623,299,353,383
BPSS0892,1742,1389,1875,1984,890,1666,836,1029,1134,788,813,803
BPSS0893,121,111,165,151,70,132,65,75,82,92,65,79
BPSS0894,3,4,11,5,5,2,4,2,3,3,3,1
BPSS0895,5,4,10,10,2,8,3,2,0,1,4,0
BPSS0896,44,50,40,39,18,42,25,28,27,21,19,21
BPSS0897,8,17,24,23,12,15,7,9,14,6,15,3
BPSS0898,26,26,24,20,27,23,17,9,17,8,13,15
BPSS0899,24,25,28,15,21,30,9,8,18,15,15,5
BPSS0900,27,26,24,22,14,21,10,10,15,5,12,6
BPSS0901,19,29,18,25,13,16,10,9,7,13,8,9
BPSS0902,68,63,60,50,34,72,37,43,46,41,39,30
BPSS0903,97,66,89,82,34,49,34,42,51,49,37,29
BPSS0904,74,89,103,89,40,94,35,46,55,37,60,30
BPSS0905,54,46,51,47,16,45,24,33,30,23,22,26
BPSS0906,48,31,44,34,19,39,22,19,29,34,28,22
BPSS0907,57,55,49,44,23,39,19,28,28,25,27,23
BPSS0908,244,288,213,293,175,248,127,135,138,103,141,113
BPSS0909,79,102,92,70,47,74,31,40,42,45,48,53
BPSS0910,109,84,73,67,41,79,31,26,50,29,32,45
BPSS0911,1481,1508,1362,1563,656,1547,686,641,866,538,779,661
BPSS0912,680,762,662,592,347,556,356,189,299,234,322,291
BPSS0913,44985,39656,35931,27475,14013,30791,10459,4195,14752,7360,20540,18025
BPSS0914,936,986,787,346,272,624,227,59,290,168,454,452
BPSS0915,3031,2618,2917,1752,880,2279,716,262,1136,689,1478,1377
BPSS0916,919,780,974,784,318,731,339,411,459,410,339,384
BPSS0917,103,100,129,102,44,103,49,52,62,50,63,50
BPSS0918,158,160,166,111,101,171,79,75,99,62,78,88
BPSS0919,216,232,207,206,95,167,94,129,111,85,93,97
BPSS0920,507,521,391,382,216,332,250,224,184,235,198,211
BPSS0921,175,148,116,115,60,83,50,53,50,44,71,77
BPSS0922,84,89,63,58,36,53,27,18,21,36,35,40
BPSS0923,59,63,54,36,22,41,13,15,13,21,28,24
BPSS0924,152,158,161,103,64,88,43,41,53,65,68,70
BPSS0925,106,128,112,98,57,122,37,47,56,52,60,48
BPSS0926,131,195,117,104,53,106,61,36,55,53,87,63
BPSS0927,73,62,78,57,41,61,25,30,41,48,44,36
BPSS0928,546,487,714,505,281,491,232,291,325,397,250,290
BPSS0929,4181,3497,3950,3634,1716,3220,1781,2040,2343,1874,1722,1702
BPSS0930,464,355,482,323,147,315,149,213,199,244,172,212
BPSS0931,447,366,538,470,206,435,196,186,298,296,185,212
BPSS0932,500,504,658,575,246,522,249,234,305,314,274,247
BPSS0933,11092,13876,13541,19373,10482,12568,6970,3187,6040,6458,6430,5477
BPSS0934,1288,1414,1618,1689,879,1346,723,462,701,789,685,658
BPSS0935,373,333,396,465,227,332,291,343,290,179,152,153
BPSS0936,1280,1119,1139,1039,545,906,502,461,560,404,648,541
BPSS0937,321,270,359,432,206,410,182,203,250,200,155,160
BPSS0938,765,727,571,626,341,660,318,238,335,268,433,348
BPSS0939,145,135,107,128,66,101,66,56,74,56,67,54
BPSS0940,603,579,755,681,338,756,250,375,407,339,363,307
BPSS0941,330,255,340,603,265,694,254,385,442,213,169,142
BPSS0942,310,226,353,308,162,385,143,128,228,219,124,166
BPSS0943,27182,28537,23379,25389,13408,21154,11105,7209,10895,10064,13629,12278
BPSS0944,679,640,742,615,277,525,242,261,306,353,338,327
BPSS0945,274,246,272,242,124,258,168,250,275,114,203,163
BPSS0948,1541,2319,1660,3033,1685,2093,1292,716,1203,645,942,663
BPSS0949,2147,3509,1620,3883,2407,2399,1803,346,950,567,1178,849
BPSS0950,226,187,207,272,104,247,138,165,143,93,97,86
BPSS0951,348,289,301,385,203,372,185,255,255,161,142,155
BPSS0952,258,219,265,296,155,283,136,212,148,142,128,107
BPSS0953,264,229,267,314,151,246,147,189,154,121,113,108
BPSS0954,982,908,815,1168,497,782,558,494,442,288,362,344
BPSS0955,219,190,202,199,121,173,95,122,78,87,89,95
BPSS0956,340,294,233,228,139,255,128,132,116,103,129,132
BPSS0957,201,205,201,264,147,239,130,110,95,94,95,74
BPSS0958,379,371,427,456,298,373,253,275,201,259,229,213
BPSS0959,80,72,68,116,44,59,35,45,39,26,50,31
BPSS0960,1020,1105,1019,990,531,866,467,476,444,526,493,535
BPSS0961,575,606,516,636,354,505,350,256,280,301,289,276
BPSS0962,3075,3745,2565,2283,1155,1980,930,1054,940,635,1921,1160
BPSS0963,368,438,336,278,140,233,128,127,125,106,209,113
BPSS0964,2707,2763,2282,1941,1003,1579,1150,975,1217,780,1181,997
BPSS0965,9771,11823,4255,3400,2443,4633,3076,438,3239,412,3684,2420
BPSS0966,1492,1701,731,751,429,914,548,150,599,147,678,429
BPSS0967,442,443,411,480,186,300,179,171,245,219,176,217
BPSS0968,186,216,156,125,89,139,101,48,95,45,75,65
BPSS0969,246,229,183,158,121,203,114,63,142,85,114,92
BPSS0970,266,260,291,219,145,231,154,156,156,156,137,147
BPSS0971,22,17,26,12,10,22,13,18,10,13,7,4
BPSS0972,35,33,25,25,18,24,16,16,23,24,18,18
BPSS0974,4510,9539,4185,20895,11598,10934,10725,1909,5561,1686,2917,1940
BPSS0975,75,68,77,66,45,65,39,46,36,45,35,27
BPSS0976,332,396,339,393,206,274,203,166,175,192,151,175
BPSS0977,205,219,201,267,125,168,87,116,94,135,118,101
BPSS0978,278,231,220,187,115,190,87,84,90,95,109,105
BPSS0979,1161,1055,899,948,494,653,414,305,332,363,557,523
BPSS0980,316,278,369,272,126,212,139,102,113,174,143,144
BPSS0984,1574,1299,1411,1319,612,1298,775,801,959,717,577,656
BPSS0985,313,283,188,204,100,179,117,105,93,72,128,116
BPSS0986,549,500,376,233,175,298,208,153,250,106,236,218
BPSS0987,7030,8220,4032,1784,1731,3372,3785,1503,4063,506,3111,1964
BPSS0988,161,155,141,95,45,102,45,44,66,53,80,59
BPSS0989,18,14,20,14,14,24,3,2,7,5,16,8
BPSS0990,175,130,164,202,69,196,70,111,99,79,79,104
BPSS0994,593,408,554,458,239,509,222,237,278,379,260,262
BPSS0995,1014,1304,600,509,283,456,227,152,277,183,429,268
BPSS0996,1753,2425,971,847,469,634,370,127,350,169,658,402
BPSS0997,895,950,531,495,256,507,215,103,300,150,486,274
BPSS0998,1197,1432,740,669,340,739,289,158,355,209,758,351
BPSS0999,66,81,44,48,9,46,18,11,29,13,38,24
BPSS1000,461,458,265,220,177,316,120,57,149,84,250,150
BPSS1001,1091,1223,687,633,443,661,306,159,400,200,531,333
BPSS1002,2920,3312,1840,1662,1004,1713,963,396,940,527,1423,885
BPSS1003,42,62,20,26,15,23,9,2,12,8,33,12
BPSS1004,483,653,409,335,156,188,153,74,129,122,438,173
BPSS1005,337,484,292,260,119,130,88,98,90,151,275,125
BPSS1006,1134,1741,1068,665,404,493,303,336,339,369,1293,524
BPSS1007,1427,2378,1361,873,623,752,433,438,467,506,1864,701
BPSS1008,1497,2251,1326,914,601,912,471,469,579,427,1722,768
BPSS1009,497,673,409,285,251,370,187,157,218,174,459,229
BPSS1010,589,776,512,387,253,397,200,174,252,172,472,275
BPSS1011,233,260,211,146,84,145,79,104,77,84,190,106
BPSS1012,84,82,108,77,33,70,30,42,68,68,56,42
BPSS1013,13,2,18,11,3,15,4,14,8,14,7,10
BPSS1014,47,39,75,46,23,46,24,44,44,59,22,24
BPSS1015,468,390,400,509,253,478,290,370,406,288,206,210
BPSS1016,1215,901,1396,1071,403,996,501,599,726,717,456,487
BPSS1017,226,167,321,221,100,241,120,144,138,227,97,132
BPSS1018,257,190,470,222,103,269,95,168,195,327,136,178
BPSS1019,457,395,483,483,246,389,248,290,340,269,216,225
BPSS1020,155,157,143,134,73,124,60,95,97,86,75,70
BPSS1021,0,0,1,1,0,0,0,2,0,0,0,1
BPSS1022,6,9,8,8,6,6,3,2,5,4,4,4
BPSS1023,32,28,32,46,27,56,18,28,29,23,26,17
BPSS1024,21,29,25,18,12,19,14,15,12,18,16,6
BPSS1025,16,21,14,16,9,19,9,7,14,7,13,8
BPSS1026,6,6,12,5,4,7,3,2,4,4,9,3
BPSS1027,8,10,15,10,5,3,8,11,6,15,13,10
BPSS1028,9,11,15,8,3,14,6,10,4,17,12,4
BPSS1029,71,88,62,72,55,62,36,73,54,48,50,46
BPSS1030,15,8,16,5,7,4,6,5,11,5,9,5
BPSS1031,8,10,13,6,7,8,3,8,4,6,11,5
BPSS1032,59,46,62,38,34,43,14,33,31,46,50,41
BPSS1033,48,41,54,35,14,24,14,20,16,28,23,22
BPSS1034,1114,1052,1325,460,324,375,182,110,192,699,727,685
BPSS1035,63,72,98,22,9,15,10,3,7,31,42,37
BPSS1036,42,46,44,18,14,17,5,14,9,26,26,37
BPSS1037,30,25,38,13,6,13,6,10,12,16,11,22
BPSS1038,15,13,16,19,8,9,26,22,17,5,5,5
BPSS1044,1,1,2,2,0,0,0,1,0,1,0,0
BPSS1045,298,338,116,210,119,158,78,36,69,44,147,96
BPSS1046,1003,974,575,634,682,935,316,240,339,238,495,537
BPSS1047,883,891,753,971,675,1003,698,370,617,418,412,429
BPSS1047a,11,6,7,3,2,4,3,6,4,2,3,3
BPSS1048,611,704,680,403,227,451,306,209,292,358,231,268
BPSS1048a,4,5,3,4,4,0,3,0,1,1,1,2
BPSS1048b,4,5,3,1,4,2,4,6,0,2,4,5
BPSS1048c,3,3,0,0,2,1,2,1,1,0,2,0
BPSS1048d,0,1,0,0,0,0,0,0,0,0,0,0
BPSS1049,0,3,3,0,2,0,1,0,1,0,2,0
BPSS1050,104,135,112,68,41,61,57,57,42,55,59,69
BPSS1051,3,3,3,4,0,3,2,1,1,0,2,0
BPSS1052,113,164,128,114,50,84,70,51,52,56,53,48
BPSS1053,13,12,9,11,2,7,4,11,3,6,7,3
BPSS1054,3,1,3,2,0,2,3,1,1,1,4,3
BPSS1055,93,108,101,81,55,70,48,50,52,54,47,51
BPSS1056,6,0,3,3,1,0,0,1,0,0,0,2
BPSS1057,494,491,414,468,306,394,211,202,234,177,226,217
BPSS1058,589,568,437,634,261,456,246,173,277,198,231,218
BPSS1059,2081,2162,1457,2178,1159,1943,1147,987,1163,779,867,856
BPSS1060,148,198,161,158,186,241,95,81,114,82,135,124
BPSS1061,83,97,102,89,183,193,41,68,66,72,100,99
BPSS1062,249,253,260,221,257,329,98,121,139,150,188,165
BPSS1063,44,46,31,24,14,32,25,22,15,26,32,26
BPSS1064,22,36,44,13,12,15,11,11,9,17,23,18
BPSS1065,86,82,71,45,24,27,24,19,16,24,37,31
BPSS1066,22,29,17,14,6,16,9,5,10,0,1,1
BPSS1067,1,2,3,4,3,2,2,2,1,0,0,0
BPSS1068,3,1,3,1,0,0,1,1,0,0,0,0
BPSS1069,0,2,2,0,1,0,0,0,0,0,0,0
BPSS1070,2,5,2,0,2,3,1,1,0,0,0,0
BPSS1071,3,0,3,1,1,4,1,0,0,0,0,0
BPSS1072,29,26,20,22,11,11,13,15,13,0,0,0
BPSS1073,6,12,11,4,1,10,3,5,4,0,0,0
BPSS1073A,8,4,5,3,2,2,0,3,0,0,0,0
BPSS1074,25,18,14,9,3,12,6,7,5,8,8,7
BPSS1075,50,53,46,23,20,41,21,9,21,13,38,20
BPSS1076,19489,29477,5311,3664,3256,4383,5293,336,2822,248,6400,3725
BPSS1077,652,717,248,150,77,141,98,23,86,25,227,137
BPSS1078,22,20,18,9,3,7,7,4,4,5,2,5
BPSS1079,5,9,3,7,2,3,3,3,0,2,4,2
BPSS1080,35,29,23,9,4,16,10,8,13,11,15,14
BPSS1081,20,14,15,10,3,13,7,7,10,5,4,4
BPSS1082,27,37,27,15,13,15,12,12,18,24,22,16
BPSS1083,22,19,16,9,3,9,4,1,7,2,1,4
BPSS1084,0,0,0,0,0,0,0,0,0,0,0,0
BPSS1085,17,16,10,5,3,5,3,4,6,2,4,3
BPSS1086,1,6,4,2,1,6,1,0,1,1,2,4
BPSS1086a,0,0,0,0,0,0,0,0,0,0,0,0
BPSS1087,191,214,208,159,100,155,77,98,102,217,225,235
BPSS1088,22,19,23,21,7,20,9,6,5,26,31,18
BPSS1089,64,51,41,51,34,43,30,31,34,29,29,25
BPSS1091,746,547,966,975,517,1019,568,572,672,563,339,428
BPSS1092,1646,1391,2372,2382,1026,2063,973,1247,1351,1370,769,964
BPSS1093,192,188,197,212,111,217,76,148,106,114,101,83
BPSS1094,293,225,383,286,132,266,106,176,181,230,126,173
BPSS1095,1846,1427,2507,1824,816,1768,698,1268,1142,1232,967,929
BPSS1096,1325,1071,1746,1460,560,1332,452,1076,836,945,765,721
BPSS1097,696,696,658,529,482,570,326,367,300,280,461,404
BPSS1098,565,660,324,626,442,491,281,268,229,143,327,317
BPSS1099,199,187,238,188,150,143,114,216,113,128,132,107
BPSS1100,3167,3341,3828,3000,2675,2111,1582,3965,1457,2383,2223,1808
BPSS1101,2156,2604,2019,2208,2075,1397,1325,2817,927,1306,1546,1223
BPSS1102,6994,6843,7407,5087,2480,4596,2487,1293,2409,2104,3524,2947
BPSS1103,3153,3159,4149,6343,2406,4112,1677,2491,2139,2110,1932,1730
BPSS1104,1771,1792,2538,3392,1397,2379,857,1550,1333,1332,1067,945
BPSS1105,2554,2467,3366,4506,2037,3284,1281,1771,1835,1597,1493,1280
BPSS1106,4775,4641,6523,7909,3785,6060,2406,3240,2984,3066,2697,2402
BPSS1107,3045,3404,4155,5804,2567,3638,1872,2168,2020,1963,1729,1669
BPSS1108,2746,2617,4337,4130,2493,3801,1306,1699,1933,2254,1703,1562
BPSS1109,900,959,654,1037,501,697,266,124,326,184,529,332
BPSS1110,1222,1421,941,1546,758,1065,411,159,488,342,707,496
BPSS1111,383,329,479,337,197,369,121,145,171,295,235,163
BPSS1112,1767,1713,1749,2291,2521,731,1155,6776,535,1830,839,1081
BPSS1113,699,671,803,561,468,595,274,443,272,362,442,362
BPSS1115,8249,6931,9285,5205,3719,6263,2766,3767,3203,3537,4094,3650
BPSS1116,379,392,359,237,129,201,134,129,145,110,192,156
BPSS1117,189,180,215,218,96,191,141,123,193,110,111,80
BPSS1118,67,64,76,66,41,62,54,36,59,24,55,36
BPSS1119,200,184,231,168,103,187,116,92,177,97,133,109
BPSS1120,49,43,39,39,19,44,23,19,35,26,28,19
BPSS1122,479,475,460,780,272,419,227,203,233,194,280,206
BPSS1123,141,108,168,258,99,100,63,43,55,57,62,53
BPSS1124,172,186,165,292,98,144,76,56,78,76,107,79
BPSS1125,97,103,111,114,56,101,27,35,43,47,72,50
BPSS1126,391,424,327,577,188,283,137,92,134,69,189,117
BPSS1127,1016,922,848,573,352,599,296,108,321,166,525,378
BPSS1128,4346,3821,3756,1653,1165,2830,1277,411,1260,700,2254,1669
BPSS1129,779,831,801,275,248,681,256,92,290,162,469,345
BPSS1130,2316,1957,2292,1012,810,1965,653,255,844,534,1219,892
BPSS1131,1897,2106,2413,3690,2169,2302,1192,1000,1103,1204,1107,995
BPSS1132,349,383,332,305,246,455,188,117,201,153,193,164
BPSS1134,377,320,428,427,206,298,152,194,173,180,176,174
BPSS1135,186,139,267,205,100,221,83,137,113,214,140,132
BPSS1136,236,282,238,98,103,98,77,39,83,77,130,100
BPSS1137,138,103,246,83,93,150,119,32,133,151,63,67
BPSS1138,170,91,520,91,190,456,280,33,432,292,57,87
BPSS1139,82,54,202,53,148,164,201,27,289,173,36,45
BPSS1140,18088,16146,15733,13635,8306,11425,7575,9827,6718,5786,7816,7043
BPSS1141,1132,1035,1387,1056,554,940,540,530,441,669,553,534
BPSS1142,383,373,373,281,238,373,164,124,175,179,190,202
BPSS1143,1778,1430,2012,1184,1114,1800,656,532,785,879,1183,1179
BPSS1144,1085,875,1166,694,564,914,406,332,425,524,564,626
BPSS1145,313,242,326,225,176,283,116,83,115,134,172,175
BPSS1146,584,436,542,335,267,455,179,142,179,253,336,279
BPSS1147,2658,2317,3223,1816,1344,2300,938,956,976,1501,1495,1542
BPSS1148,318,240,270,201,165,238,109,88,107,120,129,116
BPSS1149,585,469,592,292,307,414,185,178,188,265,240,277
BPSS1150,240,154,202,104,130,214,64,99,75,119,119,122
BPSS1151,620,408,841,326,305,544,199,356,231,492,341,356
BPSS1152,154,115,137,115,61,109,72,71,69,95,52,61
BPSS1153,166,142,204,120,69,133,72,90,75,123,57,93
BPSS1155,183,218,152,142,121,146,47,34,63,58,125,70
BPSS1160,1925,1627,1887,1363,889,1421,753,1021,769,1268,998,895
BPSS1161,259,216,243,200,104,176,104,159,90,163,122,123
BPSS1162,1272,877,3330,1037,702,788,975,1853,890,2664,547,598
BPSS1163,3255,2461,7568,3770,1849,2298,2222,5955,1570,5762,1609,1839
BPSS1164,385,494,401,191,177,148,146,157,108,167,247,148
BPSS1165,16171,30389,6624,3849,8726,2312,8760,2139,4505,738,7217,1787
BPSS1166,1942,4502,1257,622,1689,630,1038,392,689,90,1846,271
BPSS1167,1844,3917,1305,637,1617,631,1048,436,680,126,1830,245
BPSS1168,3012,6656,1995,1080,2400,799,1758,709,1131,128,2548,350
BPSS1169,11967,32074,7561,4442,11496,3265,8398,2794,5144,597,10611,1444
BPSS1170,12309,30703,8459,4509,11732,3619,7551,2561,4697,490,12459,1522
BPSS1171,33927,87070,22706,14069,33483,9249,22275,8083,12915,1456,32170,4198
BPSS1172,37904,92575,25289,17447,38089,9909,25148,10091,14448,1776,32923,4774
BPSS1173,30344,69117,17995,15630,30818,8614,20024,9230,12682,1455,26868,4034
BPSS1174,22699,44691,13621,13366,22027,7085,16386,8393,9906,1603,17798,3422
BPSS1175,4011,6697,2507,2409,3523,1638,3022,1138,1627,589,2559,752
BPSS1176,2714,3477,1978,2520,1900,1691,1589,930,1248,723,1304,809
BPSS1177,1355,2048,924,908,1069,497,854,430,607,149,920,255
BPSS1178,1988,2997,1459,1045,1445,605,1121,583,859,203,1324,300
BPSS1179,114,262,95,64,88,46,68,33,43,28,101,24
BPSS1180,5162,10454,3574,2681,4259,1492,3627,1482,2143,429,3991,794
BPSS1181,10424,20451,6721,5493,8957,3350,6364,3462,4731,898,8682,1574
BPSS1182,4553,10469,1870,2675,3987,1173,3885,1226,2151,171,3217,564
BPSS1183,36395,77803,16605,18121,28125,8157,24431,9130,12862,1221,23261,4134
BPSS1184,815,1500,367,404,588,191,393,179,273,37,465,102
BPSS1185a,0,0,0,0,0,0,0,0,0,0,0,0
BPSS1187,350,451,226,224,340,382,219,107,257,39,223,90
BPSS1190,3859,3290,2943,1118,773,3660,861,99,1429,336,2100,1477
BPSS1191,4972,4342,3728,1499,1121,4435,1136,102,1854,387,2536,1835
BPSS1192,3061,2763,2261,954,790,2823,747,95,1226,326,1758,1294
BPSS1193,20660,18473,15021,5960,4380,18656,4788,587,8121,2032,11756,8007
BPSS1194,10706,9268,8549,2950,2280,9310,2499,360,3921,1349,6134,4116
BPSS1195,3996,3501,3586,1121,1008,3696,994,163,1591,647,2363,1615
BPSS1196,5151,4730,3798,1571,1147,3829,1360,195,2024,659,2420,1931
BPSS1197,48640,42456,44693,14363,11707,41668,12417,2519,18450,7937,26055,18996
BPSS1198,24016,21396,18441,7680,5130,14792,5775,1106,6972,2356,9044,7393
BPSS1199,32386,40464,15219,9842,7269,20787,11386,557,14001,1645,11908,9718
BPSS1200,629,597,795,392,250,629,193,199,289,357,379,289
BPSS1201,222,196,246,180,81,190,98,84,138,129,114,108
BPSS1202,302,217,393,313,153,269,126,154,196,186,141,150
BPSS1204,157,167,134,157,82,115,63,353,87,85,77,93
BPSS1205,59,66,88,49,29,53,22,85,24,40,52,36
BPSS1206,29,31,31,30,14,23,12,30,17,17,14,8
BPSS1209,304,278,233,224,129,190,115,84,104,108,147,149
BPSS1210,175,137,150,122,76,137,49,58,67,58,74,78
BPSS1211,2881,3103,2305,2413,1439,2097,1358,933,1171,1079,1194,1286
BPSS1212,1583,1667,1412,1306,753,1229,708,521,603,615,724,715
BPSS1213,1223,1001,1278,824,417,851,392,384,446,590,525,624
BPSS1214,2197,2076,1240,789,412,899,943,114,592,415,531,558
BPSS1215,1871,1628,968,692,326,851,757,119,537,412,396,510
BPSS1216,693,801,427,275,172,334,262,80,197,204,224,244
BPSS1217,205,190,191,138,84,171,79,61,91,72,98,93
BPSS1218,1433,3333,1337,5886,3436,3024,2799,844,1424,510,1249,809
BPSS1219,3098,2638,3489,3154,1597,2802,1604,1710,2071,1883,1430,1547
BPSS1221,969,960,960,783,579,931,492,369,564,375,492,406
BPSS1222,3026,2615,3459,3093,1556,2849,1413,1726,1986,1771,1519,1424
BPSS1223,111,114,95,98,39,102,43,58,66,33,44,34
BPSS1224,173,157,158,131,96,185,83,81,80,83,82,71
BPSS1225,35,30,38,27,18,40,15,20,20,6,22,9
BPSS1226,128,124,89,158,48,94,54,37,52,35,62,46
BPSS1227,1259,1393,808,1387,624,1046,614,429,658,327,579,505
BPSS1228,1362,1304,1158,1161,691,1222,568,585,651,489,709,588
BPSS1229,53,49,85,63,33,66,19,48,24,45,37,35
BPSS1230,108,97,120,114,49,108,54,75,71,89,67,58
BPSS1231,40,32,38,67,21,49,28,17,25,29,25,21
BPSS1232,68,72,65,43,39,72,23,34,39,37,54,54
BPSS1233,14,15,10,15,5,16,5,5,5,6,8,6
BPSS1234,20,7,13,10,4,11,2,1,2,4,6,1
BPSS1235,26,31,26,26,13,24,15,11,8,13,11,11
BPSS1236,39,35,29,22,30,32,19,17,16,26,37,22
BPSS1237,423,380,396,357,178,298,179,149,177,142,201,180
BPSS1238,514,487,502,512,227,448,188,267,230,192,261,199
BPSS1239,51,47,79,52,28,70,90,250,171,106,41,34
BPSS1241,4795,5036,3584,1231,847,1748,1022,322,1079,391,2429,1590
BPSS1242,550,594,442,146,123,219,130,36,145,58,326,236
BPSS1244,14,16,25,21,14,21,12,8,16,4,9,4
BPSS1245,11,8,11,13,4,6,3,8,3,8,3,2
BPSS1246,139,151,166,165,81,127,74,86,60,58,75,62
BPSS1247,237,229,233,259,151,203,127,148,140,116,121,84
BPSS1249,1653,1945,1260,1486,831,1204,698,385,627,432,1003,712
BPSS1250,1524,962,1311,2535,1350,2013,1299,1378,1204,541,768,758
BPSS1251,3549,2398,2915,6627,3183,4313,3313,3484,2950,1114,1624,1620
BPSS1252,1481,810,1452,2069,880,1649,1170,1300,1012,581,579,713
