gene,control-0,control-1,control-2,sample-0,sample-1,sample-2
"BCAL1530,BCAL1531",439,35,175,301,487,59
BCAL2931,49,5,13,52,34,6
BCAL3503,20,4,7,17,17,6
BCAL0949,74,7,50,88,80,15
"BCAL3222,BCAL3225",52,6,27,58,42,7
BCAL2125,33,6,6,40,33,4
BCAS0624,27,2,13,26,19,5
BCAL1954,565,73,251,571,505,116
BCAL2327,142,16,48,143,118,21
BCAM2136,39,2,8,28,26,3
"BCAL2276,BCAL2277",42,5,11,34,35,5
BCAL2682,71,5,30,42,102,6
BCAL0519,49,6,20,51,51,7
BCAL0641,62,1,9,32,22,5
BCAL0109,40,2,18,38,54,1
BCAL1918,40,2,23,18,36,9
BCAM0509,61,10,34,102,49,12
BCAL1292,66,5,26,65,57,7
BCAL1842,22,6,7,12,30,7
BCAL0110,154,18,76,162,126,30
BCAL0008,228,18,77,168,175,31
BCAL3205C,46,9,31,61,50,13
BCAL3228,133,22,73,151,184,23
BCAS0597,37,6,25,58,43,7
BCAM0258,325,29,152,287,267,54
BCAL0641A,69,1,36,46,54,9
BCAM0256,36,3,18,43,38,3
BCAS0715,37,6,14,41,36,6
"BCAL0871,BCAL0872",56,3,18,35,37,7
BCAL3444,63,0,17,29,40,4
BCAL1665,2382,307,977,2437,2135,367
BCAM1411,78,10,29,65,70,13
BCAS0190,357,37,183,380,300,59
BCAL0566,45,7,37,83,63,6
BCAL2700,68,1,16,31,33,6
BCAL0565,54,6,28,50,59,8
BCAL0543,45,4,7,23,24,6
BCAL2321,362,37,160,322,288,58
BCAL0038,184,14,51,145,110,20
BCAL1172,246,22,77,169,159,36
BCAM1873,65,6,17,50,34,9
BCAL0567,392,38,279,492,430,58
BCAM1015,712,34,180,364,472,67
BCAL1649,49,11,18,72,52,7
BCAL0568,95,9,46,88,97,11
BCAL2735,760,46,230,533,403,90
BCAL1733,64,11,26,68,47,13
BCAL3527,337,28,94,268,276,25
BCAS0773,131,11,54,93,114,17
BCAL0795,162,17,52,138,117,20
"BCAM2381,BCAM2382,BCAM2383,BCAM2384",117,16,29,113,89,13
BCAS0727,244,19,52,137,150,27
BCAM0185,99,4,7,53,46,4
BCAL0542,55,3,19,28,38,7
BCAL0584,186,17,47,104,134,23
BCAL1657,1800,138,456,1254,1117,182
"BCAL3241,BCAL3242",57,11,39,65,49,14
BCAL0885,1474,159,437,1094,1041,195
BCAL2817,82,9,22,63,57,10
BCAL1165,116,6,34,69,57,14
BCAS0712,40,8,10,59,44,2
BCAL3327,70,6,20,41,66,6
BCAL1104,102,11,26,84,87,8
BCAS0084,24,4,18,29,17,7
BCAL3526,61,5,32,39,49,11
pBCA091,143,9,44,91,93,15
BCAL2150,196,14,54,131,140,17
"BCAL2298,BCAL2299",118,10,57,123,105,10
"BCAL2717,BCAL2718",85,6,23,49,75,6
BCAL2206,2678,268,798,2401,1277,351
BCAL1623,57,7,29,54,54,8
BCAL1941,145,16,67,124,113,22
"BCAL2962a,BCAL2962b",150,27,51,153,111,21
BCAL0561,84,7,41,67,56,13
BCAL2686,79,1,21,32,36,7
BCAM0240,94,14,35,71,94,13
BCAS0725,1240,105,325,917,697,121
BCAL1274,67,5,20,40,50,6
BCAM1543,91,25,80,174,164,13
"BCAL2324,BCAL2325",147,24,56,135,112,24
BCAL1862,716,68,189,364,482,88
BCAL1492,73,6,21,56,47,6
BCAL2978,335,20,81,195,210,24
pBCA050,44,7,17,35,26,9
BCAL1302,43,6,40,68,67,4
BCAL3471,257,26,113,225,230,25
BCAL2420,456,43,142,313,284,53
"BCAL0523,BCAL0524,BCAL0525",190,24,92,206,202,21
BCAL2357,680,71,262,452,426,105
BCAM0987,217,28,118,195,187,35
BCAL0675,180,22,74,153,153,21
BCAL0008A,117,26,46,150,125,13
BCAL2159,89,14,46,89,78,14
BCAL3221,143,20,71,96,149,22
BCAL0154,133,15,31,115,90,9
BCAL1595,103,25,58,100,130,21
BCAL0682,101,5,17,31,32,12
BCAL0352,96,13,37,69,86,12
BCAM2421,50,10,27,43,64,8
BCAL1317,160,17,57,126,114,16
BCAM1053a,215,42,160,274,220,40
BCAL0569,124,14,55,110,94,13
"BCAM1815,BCAM1816",90,11,22,53,60,10
BCAL2110,121,5,31,51,54,11
BCAL2163,77,15,21,74,60,9
BCAM0512,286,29,103,191,161,36
BCAS0726,1323,95,322,817,710,94
BCAL0111,278,48,195,357,273,39
BCAL0884,2614,290,650,1644,1468,272
BCAL1663,13607,1812,4930,11521,8805,1553
BCAL1300,353,54,215,364,288,54
BCAL1278,121,9,29,48,66,12
BCAL2320,144,12,45,85,105,10
BCAL0870,385,25,100,207,165,34
BCAL0179,321,50,195,219,388,43
BCAL2401,262,19,81,163,100,27
BCAL0182,106,18,53,108,92,12
BCAL1503,157,18,32,109,106,8
BCAL1299,565,89,306,455,459,86
BCAM2619,239,23,69,164,162,14
BCAL1610,618,97,232,387,531,75
"BCAL0814,BCAL0815,BCAL0816",173,13,54,86,114,13
BCAL3475,156,22,52,98,89,21
BCAL1664,1991,231,661,1307,1176,204
BCAL0180,161,23,107,125,138,26
BCAL1824,328,24,90,135,225,22
"BCAL2367,BCAL2368",497,76,216,391,386,55
BCAL1258,244,25,89,137,159,24
BCAL1866,212,26,74,128,109,26
BCAL1301,224,42,110,191,217,24
BCAL3229,238,48,139,156,231,41
"BCAL1443,BCAL1444",450,38,166,243,237,42
"BCAL1658,BCAL1659",443,27,100,156,169,39
BCAL3449,317,48,147,199,244,41
BCAL2359,1453,165,516,880,772,148
BCAL0883,909,74,257,424,410,80
BCAL1294,453,56,172,340,252,40
BCAM0903,467,67,193,295,313,53
BCAL1482,913,195,479,857,780,107
BCAM1017,1432,145,483,713,897,104
BCAL1994,9287,1150,2855,2964,2698,415
BCAL0342,1348,166,415,383,397,59
BCAL2179,1608,206,625,491,443,90
BCAL2091,1026,122,359,332,263,48
BCAL3193,766,59,217,187,192,25
BCAL0389,456,56,171,120,133,23
BCAM0817,466,56,154,141,127,19
BCAL0230,580,86,219,174,156,33
BCAL1873,915,93,235,196,242,34
BCAL1416,447,43,146,105,90,22
BCAL2082,239,32,93,53,80,12
BCAL0957,563,66,260,151,209,22
BCAL2928,380,34,102,90,96,11
BCAL0536,543,56,143,147,121,18
BCAL0372,202,32,98,73,61,11
BCAL1493,447,37,126,107,133,9
BCAL2912,354,27,112,87,70,13
BCAL0683,647,91,246,271,153,24
BCAL0681,342,34,112,98,85,11
BCAL0245,248,41,118,84,65,16
BCAL0749,715,69,250,164,201,26
BCAL3008,2449,234,666,612,421,99
BCAL2839,1921,147,431,411,349,59
"BCAL3130,BCAL3131",974,184,454,339,316,46
BCAL2083,1393,195,451,352,424,56
BCAL3010,1313,109,316,267,241,47
BCAL0931,766,93,234,204,149,35
BCAL2430,441,40,112,69,71,22
"BCAL0024,BCAL0025",329,45,89,99,112,9
BCAL1943,297,61,138,126,87,16
BCAL1868,571,66,228,170,114,27
BCAL0471,181,28,83,53,70,7
BCAL0800,402,41,109,103,95,11
BCAL3305,276,27,86,44,49,15
BCAL0812,6669,901,2794,1982,1724,307
BCAL1845,201,11,64,57,41,3
BCAL1871,176,15,55,38,37,6
BCAL0804,586,67,136,145,129,17
BCAL2433,769,92,254,162,184,34
BCAL2724,437,40,148,95,116,13
BCAL2229,318,30,97,62,70,12
"BCAL1932,BCAL1933,BCAL1934",865,112,321,226,245,32
BCAL0229,655,74,214,173,141,24
BCAM0918,1366,156,483,327,346,51
BCAL0736,290,32,70,69,72,7
BCAM0804,224,16,32,38,26,7
BCAM0986,641,44,119,113,115,15
BCAL2071,230,42,94,59,55,15
"BCAL0418,BCAL0419,BCAL0420",202,27,91,61,55,8
BCAL0904,195,25,83,41,44,11
BCAL3035,285,25,89,66,62,8
BCAL3239,354,49,156,86,141,10
BCAL3373,553,52,220,130,116,22
BCAL0377,209,10,64,28,26,9
BCAL2601,189,32,69,37,51,11
BCAM2738,181,16,71,43,48,5
BCAL0907,214,28,116,60,63,10
BCAL2946,150,27,39,27,40,8
BCAL3096,190,10,42,51,29,2
BCAM2468,492,48,256,158,75,24
BCAL1612,329,40,103,114,77,6
BCAL0876,174,13,45,32,45,3
BCAL2070,131,20,62,47,29,6
BCAL0113,887,127,255,191,240,32
BCAL1182,335,44,138,110,98,8
pBCA057,186,30,130,65,68,9
BCAL1047,214,11,63,43,43,4
BCAL1887,566,96,274,203,177,20
BCAM1550,229,18,52,48,36,6
BCAL0031,518,99,295,148,165,31
BCAL0375,468,30,122,88,79,12
BCAL1266,293,44,110,66,66,15
BCAL0267,150,24,54,41,45,5
BCAL0421,1317,155,427,253,326,48
BCAL1051,499,39,140,85,86,17
