,SN148_R1 TPM,SN148_R2 TPM,SN148-w-Ca_R1 TPM,SN148-w-Ca_R2 TPM,crz1_R1 TPM,crz1_R2 TPM,crz1-w-Ca_R1 TPM,crz1-w-Ca_R2 TPM
C1_08670W_A,14.3974,13.6163,17.2151,18.3505,10.0841,10.4199,8.67761,9.40758
C1_08670W_B,12.8935,12.988,16.174,14.2806,12.832,12.0171,9.82992,7.8476
C1_08680C_A,49.9478,49.6819,62.6644,60.6338,71.6399,81.3984,50.8444,50.2957
C1_08680C_B,40.7161,42.0387,50.8498,48.2547,36.7244,30.737,35.3833,33.9829
C1_08690W_A,51.3154,51.9667,41.0559,46.6031,57.0945,44.3296,57.6929,62.9633
C1_08690W_B,59.14,56.2607,67.5754,59.5621,33.4579,44.3296,37.235,29.8187
C1_08700W_A,11.247,11.9148,14.8569,11.9372,15.7806,16.1582,13.7755,14.2361
C1_08700W_B,14.6426,13.3144,12.746,14.8458,12.19,11.227,9.52833,8.32999
C1_08710W_A,17.4856,15.9023,18.6617,18.238,4.49688,4.40287,8.58178,2.92318
C1_08710W_B,11.8509,12.8425,10.6345,10.3931,31.9401,31.2723,14.8834,20.0116
C1_08730W_A,11.6051,11.0372,10.9032,10.9707,19.7832,17.4282,22.0904,16.501
C1_08730W_B,19.387,19.0521,25.6952,24.0082,25.7318,27.1352,39.9918,41.6265
C1_08740C_A,50.361,52.3468,92.0953,93.2003,56.4537,57.2014,54.673,57.9082
C1_08740C_B,63.4366,59.3648,81.5693,75.9268,75.8483,71.8964,70.8749,64.4809
C1_08750W_A,27.3217,27.3772,15.6512,16.9659,6.66054,12.2589,15.8513,13.314
C1_08750W_B,21.3837,19.5811,8.59017,6.72517,35.5252,29.0449,5.49369,7.54848
C1_08760W_A,9.01939,8.83747,11.5488,12.2619,20.5099,21.6846,7.12907,8.39103
C1_08760W_B,11.8419,11.603,9.85727,8.65822,20.5099,18.4775,12.9534,11.2374
C1_08770W_A,6.82757,6.26997,18.2555,18.2923,21.6484,18.485,27.5873,26.7041
C1_08770W_B,6.82757,7.10975,11.3915,13.389,9.72925,12.2366,21.3031,22.0543
C1_08780W_A,36.1627,36.8632,47.483,46.8049,43.5994,46.6055,38.0961,36.5142
C1_08780W_B,13.6829,11.9751,15.4465,15.2247,29.8661,27.6582,11.0851,12.127
C1_08790W_A,237.402,229.723,253.395,235.491,245.568,240.088,91.0669,86.82
C1_08790W_B,233.813,231.813,238.161,243.424,206.756,202.051,92.3235,91.8922
C1_08800W_A,17.7632,17.114,16.4965,17.0191,24.723,21.6962,9.61492,11.8826
C1_08800W_B,16.9448,16.7104,12.4838,12.8664,23.3846,27.7088,16.4574,14.1622
C1_08810C_A,24.5154,23.9058,7.08462,6.8919,10.4193,10.8665,9.39321,9.3752
C1_08810C_B,27.523,27.083,7.73806,7.59428,15.2244,14.2412,11.287,10.8375
C1_08820C_A,10.0321,12.6092,22.8457,19.802,14.6193,4.14108,13.123,15.5986
C1_08820C_B,15.7054,12.6092,15.8583,19.802,26.2405,38.485,18.7957,15.5986
C1_08830C_A,3.86116,3.78328,15.7783,15.4201,6.78716,6.64526,6.69544,6.54409
C1_08830C_B,3.86116,3.78328,15.7783,15.4201,6.78716,6.64526,6.69544,6.54409
C1_08840W_A,3.6385,2.91474,7.20575,7.04217,2.76627,2.70843,7.80386,6.51419
C1_08840W_B,1.51848,2.13748,2.92668,2.86024,2.76252,2.70477,2.14019,4.16227
C1_08850C_A,1.6881,1.41335,4.10715,4.3557,2.16233,2.11712,3.32144,2.81854
C1_08850C_B,1.44244,1.65405,4.80662,4.3557,2.88295,2.82267,7.65353,7.90834
C1_08860C_A,10.1144,10.322,12.2896,11.1023,10.1931,9.75386,11.2245,11.5311
C1_08860C_B,8.9488,8.22178,10.6183,10.5191,8.50138,7.98513,11.7833,10.9565
C1_08870C_A,18.8673,18.3678,6.38272,5.55689,5.28514,5.5128,7.76267,7.93996
C1_08870C_B,22.214,21.8849,6.98562,7.50797,11.9433,11.3554,8.43345,7.3093
C1_08880W_A,31.9075,29.017,29.6135,28.5129,52.9292,53.0297,16.3768,17.7897
C1_08880W_B,23.6044,24.0163,33.6764,33.3402,45.1239,42.9735,29.3572,26.9104
C1_08890C_A,33.224,34.3066,48.2145,65.5944,0,0,29.3748,25.7349
C1_08890C_B,12.767,16.2536,34.8171,15.5522,8.19849,8.02708,8.48074,11.265
C1_08900W_A,23.0368,22.4921,21.0485,22.1529,19.7413,17.9859,16.6563,13.7687
C1_08900W_B,18.974,18.6714,15.9293,14.5065,19.7413,19.9035,13.4401,15.6474
C1_08910C_A,3.30483,3.2614,2.24312,2.46805,2.91028,2.84943,3.39205,3.31538
C1_08910C_B,2.68343,2.60608,2.80764,2.46805,3.90895,3.82722,3.39205,3.31538
C1_08920W_A,39.0953,34.3876,27.5683,25.8257,32.0715,26.7115,35.6402,30.6122
C1_08920W_B,37.6214,40.7817,19.1205,19.8032,14.6998,19.0819,23.3409,27.0356
C1_08930C_A,290.242,309.187,489.564,428.913,190.454,231.322,912.333,936.886
C1_08930C_B,422.405,392.811,489.564,538.567,533.092,477.096,621.882,539.834
C1_08940C_A,18.5805,19.1822,15.9517,17.6505,22.6235,21.9953,23.161,21.7672
C1_08940C_B,14.6736,13.7939,21.4341,19.26,18.9745,18.1869,22.4704,23.6304
C1_08950W_A,16.2067,16.4846,18.0902,17.6551,20.5094,17.4902,15.4124,14.8927
C1_08950W_B,15.7641,15.008,18.7922,17.6778,22.3036,24.0803,16.7615,16.554
C1_08980C_A,104.805,104.355,94.5072,86.3419,96.6029,91.0978,144.451,143.274
C1_08980C_B,93.6588,89.6959,92.2912,95.0533,106.378,106.783,117.878,111.872
C1_08990C_A,11.3997,11.2122,19.6958,16.6914,13.6712,15.4867,15.4565,13.9231
C1_08990C_B,16.4152,16.1454,19.6958,21.2165,10.5534,8.23141,13.0337,13.9231
C1_09000W_A,8.76597,8.01495,7.05397,5.97357,10.7856,11.2881,5.7785,7.42302
C1_09000W_B,8.21557,8.62525,12.6104,13.7759,9.36478,9.21987,8.99917,6.44578
C1_09010W_A,9.22233,8.48615,10.0889,5.84244,12.5147,9.67449,7.23952,5.98983
C1_09010W_B,12.6405,12.4349,8.13952,12.4295,8.59999,9.59798,4.58736,5.05659
C1_09020W_A,77.4303,73.6216,64.9878,69.5705,90.2968,96.5092,101.293,82.721
