,WT_1_FPKM,WT_2_FPKM,WT_3_FPKM,YCK2_1_FPKM,YCK2_2_FPKM,YCK2_3_FPKM
CAALFM_C103100WA,40.333565,41.367027,45.339026,65.624498,59.331462,54.900277
CAALFM_C103110WA,4238.615502,4086.258778,4469.381952,3021.794552,3168.377372,3539.66617
CAALFM_C103120WA,39.830984,54.711481,16.828451,32.473867,31.515538,23.8617
CAALFM_C103130CA,88.666527,90.499757,86.662419,88.326427,92.441937,87.692744
CAALFM_C103140WA,22.469299,19.786646,22.781763,17.54542,20.048683,17.741567
CAALFM_C103150CA,18.67362,19.001636,27.00121,54.501502,50.301327,59.924425
CAALFM_C103160CA,58.880712,72.386917,48.622939,60.851045,56.12309,55.616703
CAALFM_C103170CA,2.085343,2.750506,2.282834,3.099997,4.762994,3.995474
CAALFM_C103180WA,18.319584,14.421212,23.156568,21.144379,22.180988,24.498835
CAALFM_C103190CA,867.451776,1175.467786,1085.460085,882.530508,985.824095,947.724953
CAALFM_C103200CA,10.248618,6.272556,12.603509,7.386541,9.324018,10.535815
CAALFM_C103210CA,166.710693,174.148455,196.023033,238.843609,257.204046,254.316246
CAALFM_C103220CA,1049.3623,1122.939548,1137.049478,1009.140529,1046.315221,1040.776674
CAALFM_C103230CA,259.773766,204.912153,287.392711,190.255451,197.017599,231.161643
CAALFM_C103240WA,131.844346,120.642739,163.835499,100.066173,107.459627,126.591193
CAALFM_C103250CA,24.99679,27.641167,29.513139,24.889661,25.531803,26.068954
CAALFM_C103260WA,12.048732,11.650586,13.265636,12.38946,13.699182,11.955025
CAALFM_C103270WA,26.030187,28.966176,10.607392,19.113604,12.09789,12.315926
CAALFM_C103280WA,229.26733,215.133961,276.418546,236.171868,266.850359,261.198504
CAALFM_C103290WA,33.768748,29.651646,38.892787,36.640829,37.945706,33.77525
CAALFM_C103300CA,82.066151,81.50938,86.706616,78.520503,85.10721,84.138806
CAALFM_C103310WA,86.762878,104.772557,100.844454,88.096405,82.192773,85.216034
CAALFM_C103320CA,4.148057,3.975506,2.639965,34.563574,41.049029,32.856067
CAALFM_C103330CA,6.906898,8.493391,7.213732,12.917696,10.683987,12.599271
CAALFM_C103340CA,79.452165,83.815971,99.972504,136.604057,145.577149,145.373632
CAALFM_C103350CA,346.988169,253.214987,439.909286,327.215612,359.365454,359.882637
CAALFM_C103360WA,50.051673,49.372526,50.897127,43.74178,37.923297,36.667609
CAALFM_C103370WA,1038.363998,961.501163,1196.684611,737.23082,816.813631,812.503835
CAALFM_C103380WA,187.993008,244.031298,47.377443,83.947304,60.561974,55.500204
CAALFM_C103390WA,78.656698,102.49199,71.530113,62.04709,59.756138,69.891435
CAALFM_C103400WA,41.969251,45.121171,24.822813,31.214017,24.616927,25.351796
CAALFM_C103410WA,15.599784,15.654024,21.208972,21.56581,17.417328,17.901908
