,Untreated_1,Untreated_2,Untreated_3,SH9051_3,SH9051_2,SH9051_1,SH1009_1,SH1009_2,SH1009_3
CAALFM_CR06980WA,190.493717,194.6988431,185.3895554,183.9674596,184.1527403,209.9768278,185.5107176,209.1524343,207.4240267
CAALFM_CR06990WA,7.896112622,3.863072285,4.467218202,0,5.683726554,1.014380811,6.547437091,4.819180514,3.805945444
POL2,1762.807143,1635.624805,1939.889504,1875.880957,2242.798498,1971.956296,2257.774557,2022.128144,1950.54704
MIS11,14380.79511,13679.13896,14718.36717,10457.76724,10201.15242,11387.43898,13761.62153,13608.40193,14247.55677
CAALFM_CR07020WA,2394.496153,2492.454238,2284.98211,2942.500803,2832.769314,2515.664411,2103.909785,2867.412406,2305.451453
CAALFM_CR07030CA,979.1179652,754.0717099,986.1384181,1356.270739,1531.195934,1408.974946,2042.800372,1812.011873,1947.692581
SPT10,389.8705607,412.57612,457.8898657,552.880929,576.3298726,498.0609781,540.16356,724.8047493,590.8730301
URA2,16875.9667,16193.2264,17940.3483,13459.95961,14319.58068,14882.99526,18306.63411,16961.58774,17255.20516
CAALFM_CR07230WA,3638.133891,3289.019743,3912.166341,2752.662041,2937.349883,3127.33604,4873.475675,3667.396371,3613.745199
CRZ2,69.09098544,74.94360232,63.65785938,619.4223505,583.1503444,684.7070473,316.4594594,140.720071,105.6149861
ALS3,554.7019117,581.7786861,886.7428131,560.7093315,577.4666179,580.2258238,977.7506056,722.8770771,745.965307
CAALFM_CR07080WA,6957.462234,6791.281076,7064.905587,6573.901028,6639.72936,6706.071541,7671.413792,7816.710793,7531.014547
STT4,2110.236098,2059.790142,2224.674665,1881.752259,1879.039999,2194.105694,2179.205312,1867.914367,2110.396749
FLC2,1959.222944,2093.012564,2079.490073,2496.281858,2458.780107,2497.405556,2153.015564,2038.513357,2186.515657
CAALFM_CR07110CA,90.80529516,115.1195541,118.3812824,51.86316679,53.42702961,61.87722946,139.6786579,145.5392515,146.5288996
CAALFM_CR07120CA,476.7277996,462.0234452,543.8838161,209.4097678,192.1099575,187.66045,278.2660764,341.1979804,304.4756355
ALK8,23.68833787,28.58673491,12.28485006,12.72115412,12.50419842,19.27323541,13.09487418,8.674524925,13.32080905
CAALFM_CR07140CA,12.83118301,4.635686741,7.817631854,12.72115412,10.2307078,15.21571216,3.273718546,0.963836103,0
GLK1,6299.123844,6728.699305,6221.718151,6947.707249,6122.510244,6988.069406,3586.904287,3019.69851,3161.789177
CAALFM_CR07160CA,143.1170413,189.2905419,194.3239918,402.1841802,313.7417058,418.9392749,85.11668219,86.74524925,114.1783633
CAALFM_CR07480WA,807.3775156,978.1299024,794.0480354,2331.885405,1993.851275,2418.283853,424.4921714,506.0139539,394.8668398
CAALFM_CR07170WA,164.831351,179.246554,136.2501552,370.8705701,326.2459042,356.0476646,86.2079217,126.2625295,103.7120133
EMP46,1927.638494,1955.48719,1917.553413,1875.880957,1807.425044,1952.683061,2096.271109,2146.463001,2136.08688
CAALFM_CR07190WA,691.8968685,795.0202762,823.0849538,626.2722027,646.8080818,619.7866754,549.9847157,604.3252364,562.3284393
CAALFM_CR07200WA,415.5329267,345.3586622,367.4286971,727.0628854,669.542988,693.8364746,677.659739,666.9745831,777.3643569
ARC15,1507.170497,1540.593227,1490.934075,1758.454919,1634.639757,1645.325675,1520.096645,1490.090615,1491.930614
CAALFM_CR07220CA,103.6364782,78.8066746,89.34436404,64.58432091,88.66613424,94.33741541,65.47437091,83.85374094,78.0218816
CLG1,2916.6266,2285.393564,3368.282524,3017.849177,3347.71494,3596.994355,5954.894035,4072.207534,4810.715041
CAALFM_CR07250CA,127.324816,115.8921685,121.731696,158.5251513,146.6401451,177.5166419,86.2079217,117.5880045,96.10012245
CAALFM_CR07260CA,1.974028156,0,2.233609101,0,0,2.028761622,9.821155637,1.927672205,2.854459083
HGT16,221.0911534,159.9311926,214.4264737,224.0880225,226.2123168,203.890543,300.0908667,257.3442394,296.8637446
FRE30,333.6107583,233.329566,328.3405379,496.1250106,474.0227946,485.8884084,934.101025,714.2025521,823.9871886
FRE7,781.7151496,604.9571198,724.8061533,997.1427728,959.4130423,1068.142994,1896.574277,1553.703798,1823.999354
CAALFM_CR07300WA,5.922084467,9.271373483,16.75206826,7.828402534,13.64094373,15.21571216,15.27735321,8.674524925,6.660404527
CAALFM_CR07310WA,659.325404,541.6027343,584.0887799,933.5370022,1035.574978,901.7845409,1111.973066,1295.395722,1315.905637
CAALFM_CR07320CA,1716.417481,1592.358396,1552.358325,2133.239691,2223.473828,1991.229532,2288.329263,2436.577668,2300.694021
SMX4,1510.131539,1613.218986,1385.954447,1501.096186,1386.829279,1092.488133,1238.55685,1500.692812,1297.827396
CAALFM_CR07340CA,961.3517118,972.7216012,962.6855226,957.0222098,893.4818143,872.3674973,1044.316216,934.9210197,905.8150156
CAALFM_CR07350WA,1202.183147,1253.180649,1218.433765,1064.662745,1109.463423,1197.983738,1342.224604,1146.964962,1315.905637
PIF1,1364.053455,1218.412999,1409.407343,1568.616158,1671.015607,1670.685195,2061.351444,1745.507182,2033.326353
CAALFM_CR07370WA,984.0530356,1105.611288,945.9334543,1220.252245,1152.659745,988.0069098,996.3016774,1113.230699,993.3517608
KSR1,787.6372341,883.0983242,749.3758534,740.7625898,796.8584628,733.3973263,654.7437091,725.7685854,696.4880162
MRPL8,2949.198064,2684.835238,2644.593176,3256.615454,3118.092387,2950.833779,2933.251817,3557.519055,2904.88786
LPD1,14228.79495,14446.34512,15069.0438,14273.13492,13851.24161,14318.99953,14240.67567,13360.69606,13359.81999
tK(UUU)2,0.987014078,3.090457828,2.233609101,0,0,0,2.18247903,0.963836103,0
KGD2,4573.823236,4657.319946,4571.081025,6094.411373,5869.016039,6150.190856,4436.979869,4357.50302,4756.480318
ACE2,2092.469845,2128.552829,2376.560084,883.6309361,826.4138409,913.9571106,1655.410345,1606.714783,1691.74275
MNL1,1599.94982,1772.377564,1685.258067,2125.411288,1809.698535,2297.572537,1451.348555,1329.129986,1478.609805
CAALFM_CR07460CA,1310.754695,1481.101914,1423.925802,671.2855173,687.730913,760.7856081,1069.414725,1074.677255,1078.985533
CAALFM_CR07470WA,819.2216846,894.6875411,734.8573943,611.593948,495.6209555,428.0687022,506.3351351,703.600355,462.4223714
GLK4,2163.534859,2326.34213,2368.742452,2413.105081,2250.755715,2782.446564,1397.877819,1071.785746,1224.562947
CAALFM_CR07510WA,757.0397977,810.4725653,741.5582216,858.1886278,846.8752565,696.8796171,783.5099719,991.7873497,791.6366523
YPT31,4142.498084,4021.458248,4324.26722,3765.461619,3730.79811,4021.005534,4570.11109,3833.176181,4216.036065
ECM22,616.8837986,733.2111196,814.1505174,991.2714709,911.6697392,989.0212906,935.1922645,831.7905567,971.4675745
RGD3,471.7927292,533.8765897,521.5477251,417.8409853,392.1771322,400.6804203,323.0068965,379.7514245,366.322249
CAALFM_CR07570WA,691.8968685,737.0741919,719.2221306,712.3846306,734.3374708,665.4338119,665.6561043,728.6600937,677.458289
TSC11,252.6756039,266.5519876,242.3465875,266.1656862,247.8104777,283.0122462,318.6419384,267.9464366,327.3113082
EMP24,3225.562006,3290.564972,3288.989401,3380.891344,3577.337493,3081.688903,3373.021342,3561.3744,3402.515227
CAALFM_CR07600WA,2108.26207,1767.741877,2136.447105,2891.616186,3160.151964,3078.645761,3185.328145,3266.440552,3332.105236
AAT21,2304.677872,2281.530491,2440.217943,2139.110992,1989.304294,2199.177598,2219.581174,1927.672205,2153.213635
RPS27,40831.78538,40389.19335,41831.03125,39369.03634,39467.79719,38325.3358,46742.15339,46107.02765,40030.93418
CAALFM_CR07640CA,546.8057991,578.6882282,594.1400209,367.9349191,369.442226,406.7667052,473.5979496,417.3410325,374.8856262
