Gene_name,R1_T36_1,R1_T36_2,R1_T36_3,R1_Ctl_1,R1_Ctl_2,R1_Ctl_3
DAL8,61,115,102,61,69,108
DAL81,108,219,90,73,50,132
DAL9,182,215,312,194,225,234
DAM1,594,350,497,319,346,296
DAO1,435,407,486,105,136,204
DAO2,278,589,457,169,158,248
DAP1,5558,2829,6255,3882,3865,5209
DAP2,334,496,388,145,191,211
DBF2,176,114,69,23,24,44
DBF4,567,416,245,171,179,349
DBP2,1121,2992,2617,2008,2345,3962
DBP3,385,622,923,110,136,599
DBP5,2363,1691,2093,634,706,1756
DBP7,251,712,577,239,250,671
DBP8,213,655,413,269,278,496
DBR1,111,102,157,47,42,124
DCC1,219,129,154,34,35,152
DCG1,118,119,128,16,34,48
DCK1,3752,3281,4564,4949,5772,5976
DCK2,347,472,367,351,414,461
DCP2,2309,2228,1989,421,488,940
DCR1,1132,1024,1146,146,178,448
DCW1,2169,2960,2612,3195,3197,2647
DDC1,110,65,74,10,15,41
DDI1,3931,3515,5567,5253,5494,3545
DDR48,98102,100250,181176,95105,105372,119832
DED1,2851,7803,5583,9125,10244,6766
DED81,5489,4089,3695,1635,1883,4012
DEF1,9775,4759,5960,872,837,3327
DEM 1.00,352,350,489,333,344,538
DES1,8980,9188,9477,12349,12378,8489
DFG10,140,247,277,118,136,194
DFG16,271,320,386,121,99,183
DFG5,2307,2597,2712,2118,2305,1690
DFI1,5727,4604,5030,3821,4286,4351
DFR1,140,78,104,34,26,63
DHH1,380,421,421,221,192,334
DIE2,23,45,22,28,23,14
DIM1,81,188,107,62,62,152
DIP2,584,1549,977,466,569,1243
DIP5,491,1718,2224,5168,5876,4045
DIT1,69,46,69,14,17,70
DIT2,246,139,177,104,99,92
DJP1,428,484,488,83,90,185
DLD1,790,1093,593,704,722,575
DLD2,414,618,318,194,196,129
DLH1,0,0,4,2,9,4
DNA2,273,355,207,169,161,320
DNM1,964,1281,1094,626,658,920
DOA1,5033,3991,5838,1268,1405,1898
DOA4,994,695,974,311,388,497
DOG1,2439,2557,3980,1458,1635,2357
DOS2,428,381,341,39,50,131
DOT1,1239,975,651,309,340,590
DOT4,519,932,712,108,139,415
DOT5,848,2008,2154,354,320,804
DOT6,645,1069,496,383,404,598
DPB2,115,88,77,26,36,123
DPB4,390,285,235,70,62,124
DPM1,10255,7985,10602,3034,3201,2882
DPP1,348,382,719,137,176,145
DPP2,350,392,333,307,339,324
DPP3,110,338,271,149,125,58
DPS1-1,4415,4552,3997,1739,2269,4206
DQD1,1100,674,747,372,357,427
DRE2,83,97,100,15,10,33
DRG1,2173,1778,1685,813,846,1460
DRS1,539,1201,874,325,397,994
DSE1,86,285,162,51,58,70
DSL1,181,98,142,13,17,26
DTD2,963,968,860,357,308,376
DUG3,355,325,342,204,272,312
DUN1,303,199,192,46,54,104
DUO1,62,52,49,23,17,55
"DUR1,2",190,297,246,124,131,198
DUR3,19,20,13,17,28,26
DUR32,81,101,107,40,46,94
DUR35,3,10,10,13,19,7
DUR4,74,156,117,53,47,145
DUR7,155,345,270,356,385,371
DUS4,451,523,372,192,200,310
DUT1,674,518,427,306,342,442
DYN1,910,902,774,546,608,551
EAF3,68,73,43,9,11,19
EAF6,349,183,94,38,35,78
EAF7,502,574,470,104,89,200
EAP1,1137,1362,678,2529,2922,1167
EBP1,374,637,893,735,810,861
EBP7,955,759,866,168,218,290
ECE1,32790,42395,62585,294002,317007,122085
ECI1,73,371,220,65,57,114
ECM1,34,49,60,10,13,44
ECM14,1034,1371,1369,1325,1583,1525
ECM15,464,461,600,181,167,312
ECM17,947,3204,3009,2891,3285,3001
ECM18,51,130,95,35,38,51
ECM21,893,825,898,305,381,491
ECM22,607,825,603,170,209,238
ECM25,106,75,69,12,21,35
ECM29,1501,1518,1653,660,692,1281
ECM3,420,766,534,969,1060,761
ECM33,17957,16085,18949,23841,27791,24930
ECM331,8359,6405,8145,3841,4653,3930
ECM38,105,151,209,84,99,151
ECM39,313,427,440,288,291,723
ECM4,2203,3397,3863,1074,1255,1905
ECM42,833,1392,1845,1553,1611,1237
ECM7,508,481,506,397,441,458
EDC3,530,404,356,84,73,230
EFB1,17167,18755,14866,24139,24197,17755
EFG1,2312,1220,1441,990,1031,904
EFH1,109,189,183,283,330,313
EFT2,72714,93307,66854,106116,120139,104580
EGD1,5277,5358,5322,1977,2109,4348
EGD2,5299,5909,3781,2049,1989,4380
EHD3,68,120,183,14,11,43
EHT1,3248,2258,3175,5805,6503,5170
EIF4E,2604,2003,2375,635,724,1493
ELA1,43,79,48,16,14,24
ELC1,77,65,78,9,6,32
ELF1,1465,1975,2342,534,611,2283
ELP3,286,812,584,421,479,648
EMC9,1419,1328,1213,827,830,1320
EMP24,4608,4028,5590,3122,3147,2453
EMP46,890,829,747,131,160,398
EMP70,677,911,932,269,269,484
ENA2,341,1666,889,1769,2123,1393
ENA21,1385,2802,3091,3455,4036,4803
END3,266,175,167,13,21,44
ENG1,540,1974,652,1506,1743,1052
ENO1,660922,557249,369158,672548,682891,507645
