,WT_YPD.30C_1,WT_YPD.30C_2,WT_YPD.30C_3,WT_YPDserum.37C_1,WT_YPDserum.37C_2,WT_YPDserum.37C_3,WT_LI_1,WT_LI_2,WT_LI_3,WT_LI_4,WT_LI_5,ume6_YPD.30C_1,ume6_YPD.30C_2,ume6_YPD.30C_3,ume6_YPDserum.37C_1,ume6_YPDserum.37C_2,ume6_YPDserum.37C_3,ume6_LI_1,ume6_LI_2,ume6_LI_3,ume6_LI_4,ume6_LI_5
orf19.1340,5.93441,6.49375,10.925,2.17169,9.9747,8.46863,9.12865,7.97331,10.2225,13.9426,8.40307,4.64992,11.5817,8.75132,6.26579,8.53103,2.99031,7.1702,3.10498,5.33038,7.56177,11.915
orf19.1342,190.247,180.629,260.993,313.098,283.607,284.733,173.237,182.018,194.785,193.007,252.353,175.538,277.222,272.736,369.968,368.358,271.926,188.025,181.55,211.68,150.278,239.366
orf19.1343,9.50262,7.98086,12.176,8.86862,13.2746,13.3949,20.182,22.8764,16.9251,21.4759,26.8127,6.51759,10.3717,12.2311,11.3376,8.09528,7.70047,19.1165,17.5354,16.4841,17.7607,20.9227
orf19.1344,1,1,1,1,1.4049,6.87404,7.13093,9.74301,6.44984,19.1999,14.9245,1,1,1,1,1,1,4.55855,10.4642,7.06818,9.11446,6.68733
orf19.1349,1,1,1,1,1,1.19956,18.3126,13.9134,19.0443,10.2138,10.6028,1,1,1,2.10746,1,1,3.77911,4.72893,1.91027,5.61166,10.3884
orf19.135,8.99945,11.0853,17.3432,6.99022,16.5068,16.2615,48.5984,43.0337,36.1405,43.3536,32.557,8.06621,12.8629,15.1073,8.59668,9.87284,6.69419,40.2354,36.7671,35.4193,36.8252,38.2586
orf19.1350,1,1.69678,2.16761,4.70006,6.5299,6.80706,140.871,162.83,67.2423,91.169,80.7982,1.3894,2.50763,2.36186,4.03896,4.00821,3.77119,72.3514,103.116,56.2549,67.1157,85.0643
orf19.1352,18.8868,11.9771,30.6821,28.8777,51.6782,36.3491,131.354,128.62,115.474,148.594,106.845,16.5628,24.1668,22.1332,32.301,36.1138,28.6008,121.569,139.86,129.23,113.414,112.026
orf19.1353,26.5294,29.4822,62.7303,34.8328,36.3241,24.7004,53.98,47.6682,69.5241,43.1961,30.4768,45.6711,57.56,38.6272,20.3687,14.4073,35.523,39.5383,41.0689,52.5729,37.6382,40.3261
orf19.1354,1677.83,1535.39,1776.47,1457.59,2066.06,1632.49,10645.5,9949.38,8958.64,9420.9,7935.37,1139.44,1721.49,1585.59,1656.08,1553.56,1347.28,10973.2,9632.6,10537.6,10538.7,10493.6
orf19.1355,48.5075,58.7438,79.1475,32.0427,61.8349,57.9435,260.387,272.987,199.13,206.235,140.93,44.673,94.7651,84.7298,51.9842,58.6367,40.9884,180.416,245.885,147.97,159.875,160.658
orf19.1356,4.87591,3.55031,7.34313,7.09757,7.42218,7.2669,16.6347,18.1024,16.1881,23.8769,16.2074,5.32,7.28035,7.35143,5.53517,5.13639,4.39449,20.1774,17.7063,11.3876,19.4232,21.4761
orf19.1357,1311.73,506.414,1029.02,225.204,195.102,188.967,104.039,73.2435,76.7215,67.6691,108.459,1050.42,355.564,631.52,315.034,212.311,269.914,176.369,190.824,304.848,122.534,156.558
orf19.1358,184.061,239.639,364.209,155.774,360.735,229.932,671.883,667.123,530.35,562.002,663.776,145.715,358.968,344.239,192.926,209.262,116.512,742.218,796.531,530.592,470.917,496.018
orf19.1359,10.688,11.7212,20.9509,19.1508,23.7138,19.396,15.9063,14.31,14.4859,12.3365,19.6285,8.78905,20.1473,19.5003,21.1537,18.5508,12.3653,18.2913,13.9359,23.8431,16.7079,16.1368
