,II_KO2_CTRL(raw),III_KO3_CTRL(raw),I_KO1_CTRL(raw),II_KO2_treated(raw),III_KO3_treated(raw),I_KO1_treated(raw),II_QMY2_CTRL(raw),III_QMY3_CTRL(raw),I_QMY1_CTRL(raw),II_QMY2_treated(raw),III_QMY3_treated(raw),I_QMY1_treated(raw)
C5_00600C,1.488744,2.66114,1.537499,4.26719,6.33392,4.28815,1.543036,1.720542,1.233483,3.56368,4.24944,2.8889
C5_00610C,12.33464,13.39078,14.81881,16.3045,16.31274,14.73981,11.18494,14.85663,15.1871,11.01812,15.3607,14.27365
C5_00620W,11.13108,8.81216,10.18802,7.38699,13.28481,5.75982,11.08847,14.47718,11.50656,8.57667,11.24254,12.59989
C5_00630C,8.92156,11.12592,12.54236,21.132,24.6646,23.7899,8.26233,9.89507,10.92315,9.66103,15.59115,12.45421
C5_00640C,27.6647,22.8917,26.0725,48.4318,83.501,51.0036,21.4217,18.4465,17.40671,24.4403,28.9014,26.6621
C5_00650C,112.1761,100.947,121.9361,127.1464,132.2215,111.8551,103.6349,106.7933,103.2325,79.7426,99.7106,101.5763
C5_00660C,624.963,515.044,515.055,378.318,375.884,424.696,691.492,670.943,773.301,374.848,275.885,412.611
C5_00670C,39.6862,52.9414,49.3468,63.7075,83.4934,70.8898,39.9388,57.183,50.0658,47.4371,61.3371,51.2804
C5_00680W,15.12714,16.92053,17.99055,38.9008,43.3023,41.5988,14.01265,16.71547,16.66069,23.3317,26.2286,22.8229
C5_00690C,28.2845,29.3125,30.2417,28.6424,45.641,29.4396,31.137,32.9368,27.5476,26.2,30.0998,31.4909
C5_00700C,17.2056,17.18935,17.73948,16.62774,31.4936,24.7777,14.96928,29.2588,22.6922,11.97338,19.28009,22.0827
C5_00710W,8.56467,11.12226,10.44952,10.93711,14.23381,12.14467,9.02534,10.85533,12.1519,12.37655,16.52089,20.12688
C5_00730W,72.0411,71.254,70.1166,65.3202,53.0141,63.3052,68.7362,57.5451,67.47,47.0653,51.9267,58.5998
C5_00740W,11.41357,18.09601,15.84075,26.1139,38.2887,30.9503,11.35718,19.50796,15.75269,22.5479,26.063,29.7302
C5_00750C,86.5877,73.2834,77.2832,151.5642,143.3048,172.0309,90.7349,66.9325,84.9734,88.7205,79.1116,90.7672
C5_00760W,36.315,43.3598,44.6,49.8273,48.3892,48.5243,37.0826,41.4774,42.849,43.9396,49.2964,46.39
C5_00770C,17.38918,16.78819,18.39948,14.25802,14.91372,17.15247,15.14497,13.90728,16.92147,14.87868,12.63653,13.98244
C5_00780C,34.3433,35.7128,38.1356,44.3553,50.7253,45.8009,33.2502,37.0674,31.7022,37.411,44.0475,39.8076
