,CAI4_R1 TPM,CAI4_R2 TPM,CAI4-w-alpha_R1 TPM,CAI4-w-alpha_R2 TPM,CEk1CEk2_R1 TPM,CEk1CEk2_R2 TPM,CEk1CEk2-w-alpha_R1 TPM,CEk1CEk2-w-alpha_R2 TPM,CEK1_R1 TPM,CEK1_R2 TPM,CEK1-w-alpha_R1 TPM,CEK1-w-alpha_R2 TPM,CEk2_R1 TPM,CEk2_R2 TPM,CEk2-w-alpha_R1 TPM,CEk2-w-alpha_R2 TPM,CPP1CEK1_R1 TPM,CPP1CEK1_R2 TPM,CPP1CEK1-w-alpha_R1 TPM,CPP1CEK1-w-alpha_R2 TPM,CPP1CEK2_R1 TPM,CPP1CEK2_R2 TPM,CPP1CEK2-w-alpha_R1 TPM,CPP1CEK2-w-alpha_R2 TPM,CPP1_R1 TPM,CPP1_R2 TPM,CPP1-w-alpha_R1 TPM,CPP1-w-alpha_R2 TPM
C3_02470C_A,907.033,931.908,995.77,1043.02,1159.91,1181.04,1105.01,1074.55,35.2866,37.5684,2.06711,1.94489,1081.27,1120.57,950.25,948.647,1297.58,1352.91,1229.97,1213.86,775.899,793.467,408.722,404.785,658.986,678.736,1159.67,1149.58
C4_02820W_B,1.35821,0,0,0,1.02464,0,1.085,1.05972,0,0,1.44048,0,1.40108,0,1.10986,0,1.72772,1.25329,1.32767,0,1.46183,0,1.46245,1.40898,1.33047,0,0.88231,0.855268
C7_01160C_B,301.033,296.81,213.66,207.591,250.83,248.583,273.709,267.332,265.8,260.189,298.839,303.183,252.498,246.706,271.691,277.56,252.332,245.964,226.575,225.416,244.813,248.4,248.787,244.952,191.558,187.52,229.166,218.949
C2_10200W_A,104.595,103.116,119.54,118.624,134.341,133.573,131.853,128.781,105.443,99.7576,129.967,123.895,102.102,96.9624,150.88,147.394,43.4162,42.2603,67.3942,64.1682,38.8475,36.1719,107.907,103.625,36.8607,36.0835,88.4777,83.7182
C6_00750C_A,1713.9,1702.36,1481.05,1445,839.341,776.604,873.677,871.112,1310.59,1276.45,1252.5,1234.25,1463.49,1474.18,1779.67,1776.98,547.553,530.966,656.992,643.062,1194.37,1206.39,1469.01,1358.91,1477.78,1453.29,311.46,288.861
C2_05100C_A,79.8953,79.493,98.4892,92.6628,103.006,97.3298,99.6226,96.1406,59.9633,54.8197,66.1333,62.0258,81.6218,77.1461,78.5724,75.9519,114.419,105.88,72.3132,99.971,75.2422,43.1872,34.3332,22.8188,18.1832,19.8623,73.9198,58.4504
C1_08370W_A,85.0459,75.8429,91.6877,82.402,69.435,68.104,66.614,66.5871,125.855,126.293,107.808,101.016,84.5212,88.385,65.258,63.4211,15.9543,17.4183,18.7064,19.1201,120.148,117.513,43.7045,47.5253,124.394,118.951,30.0359,29.4476
C1_02730W_B,2.41623,2.38233,5.17648,3.88326,8.35893,7.05513,5.25712,5.13464,3.33043,3.26012,3.79835,3.71966,5.13285,5.01513,3.53929,3.45752,2.68043,2.61279,3.61289,2.91762,7.42152,6.58102,5.47111,4.49317,7.9156,7.7487,8.17206,7.4494
C2_05980C_B,2.13993,1.8519,2.16068,1.80189,1.15415,1.65324,2.19434,2.05845,2.91116,2.43266,1.95815,2.96726,1.81632,2.4935,2.77462,2.10572,14.9831,15.2144,16.0505,9.07282,3.49707,3.41823,14.6292,5.44243,8.38693,6.78111,15.3571,17.8442
C5_04120C_A,7.62639,8.11113,6.21675,6.04016,5.18347,5.05984,4.89026,4.77633,9.74758,10.0005,8.78938,8.6073,2.2324,2.1812,3.57496,2.02445,8.87276,9.064,9.14327,11.0416,6.61582,6.16821,4.08051,5.49932,4.28557,4.19521,9.34294,9.34224
C6_03460W_A,21.6772,21.2081,19.505,18.9016,10.1778,10.0862,11.0907,11.2982,15.7212,15.6004,13.0419,12.9573,20.7914,19.6854,14.8288,15.4131,22.8158,22.2719,29.5054,28.5793,12.907,12.0536,11.9921,11.1738,12.4243,12.147,8.07305,7.82562
C4_01870C_B,21.2376,20.3494,24.1533,23.6618,23.7008,22.5909,28.1793,26.7622,19.8611,20.8572,20.1275,21.6668,26.1576,24.4651,23.0564,22.5237,25.804,23.0647,22.782,22.1725,21.274,22.0071,43.2176,41.526,20.8651,20.5832,23.5092,22.4601
C1_09930W_A,2.60433,2.56779,1.73858,0,5.98145,5.83879,0,0,0,0,0,0,0,0,3.86946,4.93588,0,0,2.54576,2.4863,0,0,4.19246,6.41435,4.63861,3.73369,5.15057,4.99272
C7_03690W_A,6.31255,5.45636,3.51252,3.41275,4.13062,4.03211,4.88293,5.13319,8.54672,8.36628,6.59556,5.68671,4.81975,5.47759,3.64897,4.37078,2.71703,3.18871,5.1715,4.76855,4.07013,3.10223,10.6815,9.59482,6.09183,5.86139,2.24484,2.692
