,GD1_S1_R1_001 RNA-Seq (Reads) (extracted reads) [GD1_S1_R1_001] (single) sampled (GE) - CPM,GD2_S2_R1_001 RNA-Seq (Reads) (extracted reads) [GD2_S2_R1_001] (single) sampled (GE) - CPM,GD3_S3_R1_001 RNA-Seq (Reads) (extracted reads) [GD3_S3_R1_001] (single) sampled (GE) - CPM,GD4_S4_R1_001 RNA-Seq (Reads) (extracted reads) [GD4_S4_R1_001] (single) sampled (GE) - CPM,GD5_S5_R1_001 RNA-Seq (Reads) (extracted reads) [GD5_S5_R1_001] (single) sampled (GE) - CPM,GD6_S6_R1_001 RNA-Seq (Reads) (extracted reads) [GD6_S6_R1_001] (single) sampled (GE) - CPM,GD7_S7_R1_001 RNA-Seq (Reads) (extracted reads) [GD7_S7_R1_001] (single) sampled (GE) - CPM,GD8_S8_R1_001 RNA-Seq (Reads) (extracted reads) [GD8_S8_R1_001] (single) sampled (GE) - CPM,GD9_S9_R1_001 RNA-Seq (Reads) (extracted reads) [GD9_S9_R1_001] (single) sampled (GE) - CPM,GD10_S10_R1_001 RNA-Seq (Reads) (extracted reads) [GD10_S10_R1_001] (single) sampled (GE) - CPM,GD14_S14_R1_001 RNA-Seq (Reads) (extracted reads) [GD14_S14_R1_001] (single) sampled (GE) - CPM,GD15_S15_R1_001 RNA-Seq (Reads) (extracted reads) [GD15_S15_R1_001] (single) sampled (GE) - CPM,GD16_S16_R1_001 RNA-Seq (Reads) (extracted reads) [GD16_S16_R1_001] (single) sampled (GE) - CPM,GD17_S17_R1_001 RNA-Seq (Reads) (extracted reads) [GD17_S17_R1_001] (single) sampled (GE) - CPM,GD18_S18_R1_001 RNA-Seq (Reads) (extracted reads) [GD18_S18_R1_001] (single) sampled (GE) - CPM,GD19_S19_R1_001 RNA-Seq (Reads) (extracted reads) [GD19_S19_R1_001] (single) sampled (GE) - CPM
CAALFM_C303300CA,67.99169254,71.4702903,68.06617224,57.01695658,53.60395401,36.95120117,43.43453723,63.16233208,34.29931782,59.86055261,50.5790958,48.845317,46.99047857,39.58724787,63.58285032,58.04738554
CAALFM_C303310CA,11.52174494,10.31529963,9.705003363,12.7599785,11.04038077,9.028800285,10.50835578,13.23803615,8.15654509,14.70400151,11.44372285,10.71169233,10.20500292,7.672809277,14.01078681,12.7133697
RUB1,7.435544702,7.245269979,5.967265581,5.909884781,5.374922218,4.76520015,5.954734943,10.56226289,5.960552181,9.07952006,7.881054415,6.427015395,8.899711851,6.449607798,10.44872237,8.868350569
CAALFM_C303330CA,41.06296308,42.55061098,43.27906905,43.38392691,37.47918736,37.03480117,36.69167561,42.67154207,32.31246709,38.80892203,39.2433326,46.82539788,38.50608661,33.2488402,38.52966373,46.14022953
CAALFM_C303340CA,18.82331587,18.5429791,21.96740626,25.25132588,21.93549338,17.55600055,14.01114104,17.25169605,9.934253636,12.69525814,21.53795008,25.64685191,25.74983295,18.90402286,22.97531566,20.03130933
tE(UUC)1,0,0.184201779,0.196723041,0.067157782,0.072634084,0.167200005,0,0.070415086,0,0,0.10795965,0.06120967,0,0.055600067,0,0
FCY2,8.172400483,7.245269979,7.147603828,7.588829321,8.207651495,13.79400044,10.68349505,11.82973444,12.75767309,16.79309462,20.99815183,19.77072355,23.02058799,32.02563872,23.62836081,28.46554483
CAALFM_C303370CA,96.1931729,106.223026,107.4107805,158.1565757,191.89925,221.874407,216.9099773,410.8016113,305.0338722,454.2170522,101.64401,46.1520915,50.60969472,167.6342027,209.2712861,202.2356028
CAALFM_C303380WA,20.83292254,15.10454589,17.24605327,16.92376096,18.88486185,55.25960174,20.57886341,43.37569293,30.84847182,38.16612415,23.64316324,16.09814332,20.94398855,42.81205176,57.58670851,54.5124486
YAH1,21.1008701,24.56023722,22.75429843,24.31111694,22.2986638,25.16360079,21.27942046,20.63162018,18.404512,22.98002422,16.94966497,14.32306288,14.23953896,20.51642481,21.19428344,24.06237777
VTI1,39.65623841,31.43710364,31.27896354,30.82542175,31.16002205,38.70680122,19.70316709,44.57274939,22.06450018,40.89801514,36.49036154,28.95217411,31.08966006,40.64364914,50.93752155,40.3106844
