,Sample_1,Sample_2,Sample_3,Sample_4,Sample_5,Sample_6,Sample_7,Sample_8,Sample_9,Sample_10,Sample_11,Sample_12,Sample_13,Sample_14,Sample_15,Sample_16,Sample_17,Sample_18,Sample_19,Sample_20,Sample_21,Sample_22,Sample_23,Sample_24
orf19.1514,6.707202735,6.483739596,6.831997227,6.579840758,6.485613475,6.505202022,6.652733609,6.819346292,6.830575491,6.684410239,6.639720369,6.705306705,7.211801416,7.043738484,7.072923965,7.193197112,7.203116582,7.049064044,7.107096993,7.121472623,7.112031737,7.130698305,7.005611752,7.181166253
orf19.1515,0.79497813,0.679601691,0.940579324,-0.893766618,0.157986885,-0.160886223,-0.137052919,1.111130708,0.192398715,-0.069283621,0.314842307,0.379454532,2.902577548,2.998622896,3.066875033,2.989820761,3.075023184,2.671908701,3.161254803,3.457148412,3.395746146,2.732931608,3.039131417,3.236264235
orf19.1516,5.93038085,5.887109618,5.975557763,5.468282815,5.263043113,5.408493341,5.90360772,6.007708918,5.929100227,5.393980741,5.498646071,5.379635666,7.057901721,7.082131281,7.1688648,7.106966219,7.142990085,7.073769493,7.485711099,7.507187155,7.440001409,7.047604068,7.035980928,7.254229865
orf19.1517,9.299128878,9.610897673,9.389480889,9.385269608,9.449588631,9.375690692,10.04040543,9.971771655,9.936376799,9.455715673,9.496362318,9.399785367,7.655087475,7.63294815,7.601037608,7.751342655,7.611283663,8.076725938,7.644175988,7.846019218,7.700165823,8.120929362,8.121097598,7.930212666
orf19.1519,5.463638478,5.458313571,5.396534614,5.340115037,5.422781448,5.308473045,5.545589314,5.470178469,5.639694242,5.234912109,5.29768981,5.203487876,5.540459583,5.673033748,5.658565308,5.558951879,5.4846219,5.611120531,5.635238158,5.739797304,5.627611908,5.480605012,5.608587732,5.485011127
orf19.1522,3.576481478,3.456200192,3.324815605,3.206770291,2.880953154,2.856140676,3.406427066,3.291803923,3.132026502,3.090580712,2.928384196,2.812679497,6.262808169,6.390648687,6.396391389,6.092281898,5.895330988,5.966671895,6.191739774,6.13148827,6.098553877,5.792565106,5.961546709,5.933307012
orf19.1523,-0.274703409,-1.379563995,-0.47555561,-0.325995734,0.157986885,-0.565677363,0.270378801,0.297801128,0.468238883,0.065585619,-0.190254942,-0.060311651,2.563583254,2.556733885,2.838241103,2.450830414,2.463778758,2.671908701,3.480577999,3.318426044,3.478536016,3.011660458,3.136758602,3.150470798
orf19.1524,-5.708308745,-2.827641339,-5.708308745,-5.708308745,-5.708308745,-5.708308745,-5.708308745,-5.708308745,-5.708308745,-5.708308745,-5.708308745,-5.708308745,-5.708308745,-5.708308745,-5.708308745,-5.708308745,-5.708308745,-5.708308745,-5.708308745,-3.735768076,-5.708308745,-5.708308745,-5.708308745,-5.708308745
orf19.1525,4.300255117,4.397768632,4.505966404,4.235406236,4.125577886,4.131434057,4.640741842,4.440195884,4.546747624,4.188387748,4.080714754,4.247064512,4.233394561,4.51214105,4.394946493,4.572465685,4.447247487,4.488470244,4.479341482,4.726662842,4.62271971,4.612359962,4.526006902,4.78307799
orf19.1526,7.751671972,7.770116986,7.799860327,7.501267001,7.522069813,7.543634618,7.736626222,7.788574709,7.723313604,7.615857466,7.502092314,7.613097459,7.648584129,7.715322762,7.635716071,7.683444762,7.605066781,7.63164789,7.707585886,7.782197207,7.71603482,7.472762713,7.533946409,7.572591914
