Gene,Mac1.BCS.R1,Mac1.BCS.R2,Mac1.R1,Mac1.R2,WT.BCS.R1,WT.BCS.R2,WT.Copper.R1,WT.Copper.R2,WT.R1,WT.R2
C3_00010C_A,4016,5364,3249,5819,3945,7521,3801,5105,4015,2930
C3_00020W_A,58,128,66,93,81,132,115,102,98,57
C3_00030C_A,6268,8432,4718,8712,5004,10625,5467,8265,4167,3832
C3_00040W_A,21,25,13,29,19,44,39,22,22,15
C3_00050C_A,258,287,197,334,285,408,210,195,230,272
C3_00060W_A,575,532,369,920,395,1021,490,303,432,860
C3_00090W_A,133562,82098,95955,108268,114139,161061,151150,66457,98963,103688
C3_00100W_A,2059,1080,1498,1398,1036,1857,2867,1649,829,1258
C3_00110C_A,11066,10393,8747,12937,12063,20150,12797,11246,12157,15035
C3_00120W_A,185,155,175,246,215,303,279,188,235,253
C3_00130C_A,16283,11361,11753,14011,12567,20675,17234,14869,10224,15132
C3_00140W_A,11,31,27,25,27,47,32,26,32,28
C3_00150W_A,63,104,71,88,118,167,194,94,76,122
C3_00160C_A,4120,2774,3153,3177,4183,5513,5752,3065,3392,3504
C3_00170C_A,5626,5017,4299,5302,7694,11865,6573,2740,6597,5523
C3_00180C_A,737,455,571,531,920,1133,1421,471,1035,484
C3_00190W_A,64,92,75,135,212,348,40,74,176,231
C3_00200C_A,8313,9151,6210,10453,11981,18406,9534,7837,9391,11728
