,WT air-1,WT air-2,WT CO2-1,WT CO2-2,sfl2 air-1,sfl2 air-2,sfl2 CO2-1,sfl2 CO2-2
orf19.3366.1,1729.41,1780.59,1502.26,1408.18,2010.77,2070.21,2056.08,2353.88
orf19.3367,1547.31,1523.48,1823.13,1816.41,2329.54,2277.07,2268.5,2402.44
orf19.3368,4.95534,6.39578,8.33431,10.3088,15.5073,11.4926,9.85913,13.595
MOH1,519.072,406.771,217.231,247.28,1065.01,1057.32,1028.9,916.693
VTI1,1080.51,1263.22,1066.06,1041.25,1522.95,1551.66,1631.9,1530.99
DOT4,1720.74,1651.39,1901.77,1938.19,1486.79,1813.54,1498.62,1467.29
JAB1,982.397,1060.42,1119.92,1108.2,1484.39,1412.06,1599.87,1444.96
orf19.3373,44.5981,46.0496,42.7133,61.8529,68.0596,67.4234,55.5696,66.033
ECE1,2.47767,0,2.08358,3.09264,0.861514,0,2.68885,0
orf19.3375,0,0,0,0,0,0.766175,0.896284,0
orf19.3376,17.3437,19.1874,17.7104,17.525,14.6457,33.7117,22.4071,27.1901
orf19.3378,3.71651,1.27916,8.33431,9.27793,2.58454,3.83088,0.896284,1.94215
orf19.338,15316.9,14942,6873.97,7169.44,11454.5,10160.3,10264.1,9890.68
HWP2,18.5825,12.7916,37.5044,46.3896,34.4606,58.9955,37.6439,54.3801
NDE1,3614.92,3394.88,4155.69,4124.55,3760.51,3492.23,3706.14,3717.27
ADK1,6284.61,5203.61,7966.55,7981.08,8516.07,7300.12,7099.47,7352.97
DOG1,846.125,853.198,793.843,769.037,601.337,583.825,597.822,676.838
orf19.3393,1901.61,1804.89,1669.99,1676.21,1103.6,1168.42,913.314,831.239
orf19.3394,320.858,383.747,493.808,397.92,473.833,698.752,781.56,696.26
orf19.3395,391.472,455.38,288.575,321.635,242.947,224.489,216.901,207.81
HCH1,3733.85,4010.16,4822.44,4844.11,4312.74,4134.27,5007.54,6019.68
orf19.3399,1889.22,1785.7,1722.08,1861.77,1877.24,1854.15,1833.8,1712
GIT1,543.849,528.292,195.856,217.516,402.327,355.505,354.032,235
orf19.340,257.678,249.436,252.113,236.072,258.454,261.266,274.263,336.963
COQ3,896.917,927.389,903.23,809.241,1002.8,836.663,844.3,883.677
CTA1,1028.23,955.53,875.102,951.503,982.988,918.644,819.204,918.636
