,WTCA14,CA14 ^GDT1,CA14 ^PMR1,CA14 ^GDT1^PMR1
CAWG_01243,120,157,104,180
CAWG_01247,125,209,149,119
CAWG_01248,10,5,7,7
CAWG_01250,96,82,154,87
CAWG_01253,336,446,352,187
CAWG_01256,1158,929,834,793
CAWG_01261,4381,4037,3749,3040
CAWG_01263,983,1047,387,481
CAWG_01265,167,180,141,168
CAWG_01267,84,140,43,74
CAWG_01269,1322,1005,1224,1082
CAWG_01273,52,67,54,78
CAWG_01274,111,73,80,104
CAWG_01275,183,103,128,171
CAWG_01278,301,468,148,205
CAWG_01279,946,1266,941,1069
CAWG_01281,150,98,34,65
CAWG_01290,84,102,55,148
CAWG_01294,42,43,69,90
CAWG_01296,184,203,330,333
CAWG_01297,59,33,60,83
CAWG_01299,698,948,284,473
CAWG_01300,663,790,565,739
CAWG_01301,853,846,999,1219
CAWG_01302,1,41,122,31
CAWG_01306,153,175,244,132
CAWG_01307,172,284,201,208
CAWG_01308,331,431,232,225
CAWG_01309,695,404,281,376
CAWG_01316,306,412,422,297
CAWG_01319,502,310,348,384
CAWG_01320,777,796,839,1051
CAWG_01323,2159,2163,2185,1599
CAWG_01324,1560,1524,1403,1013
CAWG_01325,442,378,461,543
CAWG_01326,581,529,602,514
CAWG_01328,237,290,221,252
CAWG_01332,804,1278,1023,486
CAWG_01335,441,582,385,376
CAWG_01337,676,1328,1173,1009
CAWG_01339,284,282,289,270
CAWG_01342,110,170,162,244
CAWG_01344,111,123,146,176
CAWG_01345,20,8,22,23
CAWG_01346,2,8,14,7
CAWG_01349,1196,563,461,652
CAWG_01350,2535,2420,2526,2252
CAWG_01352,1464,1262,1622,1507
CAWG_01355,366,297,438,434
CAWG_01358,849,755,891,663
CAWG_01361,121,139,133,148
CAWG_00003,416,634,510,564
CAWG_00004,503,550,843,830
CAWG_00007,3552,3354,3922,3743
CAWG_00013,2312,1717,2284,1863
CAWG_00015,104,58,64,80
CAWG_00017,20,7,13,19
CAWG_00019,218,228,97,104
CAWG_00021,184,167,156,158
CAWG_00023,296,408,426,425
CAWG_00027,73,67,64,52
CAWG_00030,424,544,199,253
CAWG_00034,542,521,513,524
CAWG_00036,461,216,211,161
CAWG_00037,1017,1247,1242,1245
CAWG_00038,31,23,20,35
CAWG_00041,5909,4501,2087,2808
CAWG_00044,375,408,378,359
CAWG_00045,2354,1426,1198,1157
CAWG_00047,6283,5622,7895,5407
CAWG_00049,2156,1965,2086,2116
CAWG_00054,73,103,100,80
CAWG_00057,422,367,362,381
CAWG_00059,4864,3287,4005,5224
CAWG_00060,1219,974,541,550
CAWG_00061,354,457,183,233
CAWG_00065,4952,3839,819,3058
CAWG_00068,1059,1070,1167,1159
CAWG_00071,623,659,312,371
CAWG_00074,390,462,568,987
CAWG_00076,364,396,365,555
CAWG_00078,233,331,403,310
CAWG_00080,114,51,61,69
CAWG_00082,11425,10949,15778,16581
CAWG_00085,2703,1863,4096,2827
CAWG_00086,220,241,180,253
CAWG_00088,285,327,143,174
CAWG_00089,1418,1269,2129,1451
CAWG_00090,1372,1320,274,556
CAWG_00092,3,6,5,4
CAWG_00093,4,3,6,12
CAWG_00094,739,930,996,1161
CAWG_00095,102,120,211,256
CAWG_00096,36,33,15,28
CAWG_00098,157,122,206,173
CAWG_00099,230,286,288,199
CAWG_00103,77038,80206,65004,42580
CAWG_00104,189,332,264,236
CAWG_00105,17,20,21,12
CAWG_00106,35,51,137,62
CAWG_00110,154,103,55,66
CAWG_00112,1264,1504,398,687
CAWG_00113,29,12,7,14
CAWG_00114,25,11,6,14
CAWG_00119,61,90,47,64
CAWG_00121,1,1,2,3
CAWG_00123,646,797,637,552
CAWG_00124,613,707,611,555
CAWG_00126,487,553,211,528
CAWG_00130,5627,3772,3739,2853
CAWG_00131,3,4,11,6
CAWG_00133,3990,3539,4486,2471
CAWG_00134,163,179,62,76
CAWG_00139,0,1,2,0
CAWG_00140,3,1,0,1
CAWG_00143,1894,1303,1711,3062
CAWG_00146,522,489,284,334
CAWG_00149,153,178,132,163
CAWG_00152,117,128,110,103
CAWG_00153,60,77,98,61
CAWG_00157,12,12,11,9
CAWG_00158,21,16,13,16
CAWG_00161,120,147,148,138
CAWG_00162,4,5,6,2
CAWG_00164,255,276,282,434
CAWG_00165,623,415,241,476
CAWG_00166,49,51,8,30
CAWG_00168,184,322,125,226
CAWG_00169,105,144,32,50
CAWG_00172,86,113,179,183
CAWG_00174,336,150,94,114
CAWG_00176,60,51,32,35
CAWG_00178,39,59,30,35
CAWG_00180,988,1080,307,575
CAWG_00181,94,92,54,83
CAWG_00183,300,220,178,314
CAWG_00184,626,855,704,736
CAWG_00188,16,31,20,11
CAWG_00190,76,95,40,44
CAWG_00191,292,376,443,509
CAWG_00192,2392,2854,2475,2382
CAWG_00193,0,0,0,0
CAWG_00197,25,11,17,24
CAWG_00198,242,365,161,228
CAWG_00204,138,125,85,108
CAWG_00206,524,522,350,306
CAWG_00208,0,0,0,0
CAWG_00211,0,0,0,0
CAWG_00214,30,24,41,25
CAWG_00216,121,86,147,89
CAWG_00219,1990,1881,744,834
CAWG_00220,214,343,222,160
CAWG_00221,195,184,153,209
CAWG_00222,172,244,302,580
CAWG_00223,215,243,102,119
CAWG_00226,103,235,176,173
CAWG_00228,204,193,310,222
CAWG_00230,114,102,51,117
CAWG_00234,477,382,436,392
CAWG_00237,3294,3493,3910,3700
CAWG_00238,2,1,0,3
CAWG_00239,5863,3298,2160,3525
CAWG_00240,0,0,0,0
CAWG_00243,300,218,84,152
CAWG_00244,20,32,32,25
CAWG_00246,439,426,366,461
CAWG_00248,463,677,434,542
CAWG_00249,341,341,180,245
CAWG_00250,49,44,25,32
CAWG_00252,289,303,335,269
CAWG_00253,89,60,53,46
CAWG_00254,1777,437,295,705
CAWG_00255,2080,2467,2326,3911
CAWG_00256,1133,1457,1214,1111
CAWG_00257,169,191,83,104
CAWG_00259,33,51,47,65
CAWG_00262,284,306,262,382
CAWG_00263,33,37,21,36
CAWG_00264,495,676,375,579
CAWG_00265,24,34,19,37
CAWG_00268,114,218,92,106
CAWG_00270,8009,6888,7694,5138
CAWG_00271,32677,26549,17773,18501
CAWG_00272,2229,1915,2061,2752
CAWG_00275,124,145,166,222
CAWG_00277,2890,2886,3571,3663
CAWG_00279,301,256,240,191
CAWG_00282,652,369,313,489
CAWG_00289,25,28,17,21
CAWG_00293,48,34,28,66
CAWG_00294,99,48,24,56
CAWG_00297,1,0,2,0
CAWG_00298,106,103,87,108
CAWG_00300,2641,1487,2597,4137
CAWG_00302,26,43,64,42
CAWG_00307,333,244,248,187
CAWG_00308,168,109,158,158
CAWG_00309,18644,19447,19306,25517
CAWG_00310,283,535,405,588
CAWG_00312,38,37,19,46
CAWG_00315,38940,30118,52904,19809
CAWG_00316,218,372,222,157
CAWG_00317,1130,1211,1496,2160
